SRR15236518	SRR15236519	SRR15236520	ERR9081485	ERR9081486	ERR9081487	ERR9081488	ERR9081489	ERR9081490	SRR14214600	SRR14214601	CRR341293	CRR341294
AT1G01020;A5:1:8464-8571:8464-8594:-	0.755503327761368	0.740203542290573	0.683015019612578	0.721495404078342	0.75580894740457	0.791479958531152	0.791160428477474	0.752926562877795	0.435315976384814	0.80883509072343	0.759438502732747	0.767580328883756	0.664511448644796
AT1G01020;RI:1:7157:7232-7384:7450:-	0.0560891255600232	0.0286307120273691	0.0925027806961887	0.0859109879870611	0.114037071933043	0.0877776681418142	0.0472232521173777	0.0694004945977437	0.121472636834647	0.168507943208121	0.0788784038858448	0.805853204452874	0.520054185911478
AT1G01020;RI:1:8236:8325-8417:8464:-	0.159587418213282	0.108893809797922	0.172007444302591	0.121850281810117	0.0854719168134229	0.125277135760744	0.141008887773804	0.0917991703700275	0.103237113557277	0.0520084963708636	0.0912520932998343	0.0494600972609969	0.144457262733318
AT1G01030;RI:1:11649:12354-12424:13173:-	1	0.817104583071396	0.9438336801013	1	1	0.972663838407927	1	1	1	0.919889756417891	1	1	1
AT1G01040;A5:1:27536-27618:27533-27618:+	0.299735219246667	0.482556336208269	0.269734952639792	0.124043162926113	0.10538701447615	0.121786335061838	0.169391803373873	0.0932010401636355	0	0.116579857062479	0	0.640656827740408	0.621890262644189
AT1G01050;AF:1:32670-32839:33009:32670-33029:33171:-	0	0	0.00552389723023773	0	0.00222817834460627	0	0	0	0	0	0	0	0
AT1G01060;A3:1:35474-35567:35471-35567:-	0.627234128797795	0.640905198080889	0.601058644290099	0.705708418305083	0.738109285448496	0.594656824676833	0.600085838485618	0.611839282201889	0.814134717052673	1	1	0	1
AT1G01060;RI:1:37023:37203-37373:37398:-	0.0972206167142258	0.0672300157635928	0.0569792774653141	0.140685811132126	0.210400343907298	0.123466411346886	0.208466217057301	0.149020002603023	0.131285925492943	0.458518136839049	0	0	nan
AT1G01060;RI:1:37373:37398-37569:37780:-	0.0366196193207669	0.0180552370572786	0	0	0.0366477054465106	0	0.118666418125226	0.0263879442942206	0	nan	nan	0	1
AT1G01080;A5:1:46145-46373:46145-46376:-	0	0.0169250332654341	0.0790396233810091	0.0340419164781916	0.0962336206227872	0.11961442697897	0	0.0989874593318686	0.166336717330236	0.684131854180483	0.573220150458565	0.611184795373694	0.632381319222978
AT1G01080;RI:1:44970:45559-45646:45954:-	0.0820193608104142	0.106998515590281	0.113404026081411	0.138249285459479	0.147490412534485	0.140756943554609	0.129511375069714	0.168278576867875	0.120158433805554	0.264796236319634	0.223025389231093	0.335090646412118	0.216057501695637
AT1G01100;A5:1:50963-51123:50963-51126:-	0.00774154598899949	0	0.00284619971054588	0.00220784104105357	0.00423115566758225	0.0043974482784852	0.00585260071714582	0.00162717453165838	0.00537754262854337	0	0	0.0428825313550611	0.0331011697994414
AT1G01100;AF:1:50963-51064:51108:50963-51123:51187:-	0.957772202054827	1	0.971191501713964	0.811629353398423	0.786781971754814	0.831627380585098	0.837971147156261	0.879002973146758	0.793236185003885	1	1	0.984905887219508	0.98811462947563
AT1G01100;AF:1:50963-51064:51108:50963-51126:51197:-	0.670072023614744	0.689944420780912	0.488667320592623	0.196705361777812	0.353606490159536	0.380037446738468	0.601663321134624	0.257112990259881	0.420297983641157	0.88025210169901	0.830155849771202	0.911597685819812	0.866318770607431
AT1G01100;AF:1:50963-51064:51108:50963-51126:51210:-	0.16237120863043	0.173458207641216	0.0966562882284795	0.00982272643692331	0.0158856924161937	0.0221205062415859	0.030136247547861	0.0121110707631963	0.0209066081088688	0.119860249073323	0.0949946837427478	0.803160448097791	0.835391865663674
AT1G01100;RI:1:50419:50447-50496:50631:-	0.92645815800621	0.927686167502346	0.908388766954091	0.961517868273901	0.971897953942401	0.965321104194509	0.98054944044412	0.966244473117887	0.972120128865689	0.983956035258602	0.980935272015078	0.928557211837455	0.88681848258771
AT1G01140;A5:1:64475-64570:64475-64582:-	0.819024941511731	0.760946686550448	0.791856335430237	0	0	0	0	0	0	0	0.00457922029058123	0.33009502337279	0.273722830279863
AT1G01140;A5:1:65652-65733:65652-65739:-	0.0104580807634646	0.0431739006825677	0.00402246522500087	0.00286600972822701	0.00224545210261237	0.00235172587680247	0.00222847119825385	0	0.00175237320326047	0.0105244762833853	0.00506412638346103	0.266861732197651	0.271796458547435
