ERR9081485	ERR9081486	ERR9081487	ERR9081490
AT1G01010.1	15.139944	14.156537	14.913848	16.544602
AT1G01020.1	8.351465	9.286194	9.677559	7.578354
AT1G01020.2	1.147698	1.362531	1.036915	1.567958
AT1G01020.3	1.222903	0.751876	1.253295	1.234372
AT1G01020.4	0.587901	0.53738	0.640989	0.376739
AT1G01020.5	3.42191	2.78839	2.221641	2.932788
AT1G01020.6	0.129016	0.357601	0.290349	0.20858
AT1G01030.1	1.41259	1.580315	1.647783	1.560667
AT1G01030.2	0	0	0.04631	0
AT1G01040.1	11.505185	10.913535	10.172723	9.799685
AT1G01040.2	1.629235	1.285634	1.410703	1.655776
AT1G01050.1	82.024548	75.502175	85.312824	88.453833
AT1G01050.2	0	0.168608	0	0
AT1G01060.1	1.735668	1.810447	1.782564	1.380219
AT1G01060.2	0	0.059626	0	0
AT1G01060.3	0.062071	0	0.291276	0
AT1G01060.4	1.608463	1.567379	1.784028	1.991323
AT1G01060.5	0.058137	0.025233	0	0
AT1G01060.6	0	0	0	0
AT1G01060.7	0.557659	0.900071	0.54341	0.702764
AT1G01060.8	1.443544	1.622103	0	1.835763
AT1G01070.1	5.616441	5.078275	6.039827	4.963316
AT1G01070.2	0.389096	0.419483	0.320194	0.598703
AT1G01080.1	30.097153	26.739554	32.42873	28.113114
AT1G01080.2	1.230834	3.339839	5.127723	6.923412
AT1G01080.3	4.828438	4.626139	5.312314	3.709679
AT1G01090.1	199.603734	203.532855	197.882343	205.447681
AT1G01100.1	3.066636	4.911359	8.127116	3.599294
AT1G01100.2	309.13141	304.257349	359.274783	262.134753
AT1G01100.3	12.523361	8.977976	13.257924	9.531147
AT1G01100.4	0.711734	1.330979	1.645429	0.925971
AT1G01110.1	0	0.085761	0.293759	0
AT1G01110.2	2.983433	2.907298	4.526611	3.451707
AT1G01120.1	32.49447	35.399899	37.487099	43.298404
AT1G01130.1	1.909078	3.230139	4.257951	1.144637
AT1G01140.1	38.689085	40.8997	43.643291	43.505244
AT1G01140.2	0.111202	0.092045	0.102879	0.115986
AT1G01140.3	0	0	0	0
AT1G01150.1	0	0	0	0
AT1G01150.2	0	0.01914	0.023135	0
AT1G01150.3	0.133836	0	0	0.039784
AT1G01160.1	43.094383	40.942346	44.539782	42.249601
AT1G01160.2	0.374868	0.076615	0.147033	0.441149
AT1G01170.1	235.568426	235.042008	237.948042	234.029801
AT1G01170.2	11.424644	6.138043	6.60738	8.533891
AT1G01180.1	27.542934	31.684526	27.348467	29.052685
AT1G01190.1	0.434938	0.199215	0.041878	0
AT1G01190.2	0.771748	0.815189	0.411755	0.560034
AT1G01200.1	1.944157	1.328388	1.821385	1.322558
AT1G01210.1	21.775702	27.202548	28.132088	19.453696
AT1G01210.2	0	0	0.10231	0
AT1G01210.3	2.26366	1.561449	2.306489	1.909486
AT1G01220.1	1.527487	1.940557	1.250186	0.773333
AT1G01220.2	0.849641	0.104329	0.208787	0.633698
AT1G01220.3	0	0	0	0
AT1G01220.4	1.849816	2.39285	2.040575	1.380423
AT1G01220.5	0	0	0.546456	0
AT1G01220.6	1.220312	1.396947	0.89174	0.726084
AT1G01220.7	4.022489	3.260253	4.179235	4.708081
AT1G01220.8	0.306785	0.604528	0.868831	0.590833
AT1G01225.1	3.767172	2.802503	2.732874	2.630951
AT1G01230.1	59.776694	55.867278	57.243291	63.496286
AT1G01240.1	23.338517	26.716921	23.723472	23.592361
AT1G01240.2	1.671525	1.27993	1.124612	1.485928
AT1G01240.3	3.762852	3.07483	3.197908	3.41581
AT1G01240.4	1.843676	0.825407	1.633062	1.269029
AT1G01240.5	0	0	0	0
AT1G01250.1	0.753161	0.848574	0.897369	0.868463
AT1G01260.1	3.998379	5.10106	4.668495	5.150542
AT1G01260.2	2.36262	2.463107	2.409689	2.984011
AT1G01260.3	2.580231	2.946014	3.171805	2.237295
AT1G01280.1	0	0	0	0
AT1G01290.1	1.635611	1.162563	1.50814	1.525082
AT1G01290.2	7.890886	7.857599	8.139218	8.265725
AT1G01300.1	35.12203	34.812144	47.360653	39.292529
AT1G01305.1	0	0	0	0
AT1G01310.1	0	0.023955	0.145168	0
AT1G01320.1	0	0	0	0
AT1G01320.2	0	0.266278	0.464601	0.040891
AT1G01320.3	59.042576	56.458481	55.980639	60.370462
AT1G01335.1	0	0	0	0
