ERR9081509	ERR9081510	ERR9081512	ERR9081513
AT1G01010.1	9.624648	10.241535	12.303672	12.492366
AT1G01020.1	3.580326	4.2344	4.59402	4.50236
AT1G01020.2	0.234552	0.885519	0.651265	0
AT1G01020.3	0.366133	0.77394	0.247195	0.275479
AT1G01020.4	0.386187	1.621825	0.852026	1.277459
AT1G01020.5	7.099537	6.690486	8.351522	6.479069
AT1G01020.6	0.178768	0.573376	0.361342	0.54183
AT1G01030.1	1.424401	1.406302	2.227836	1.533426
AT1G01030.2	0.094381	0.219412	0	0
AT1G01040.1	6.643707	11.528451	11.377992	9.935482
AT1G01040.2	1.513519	0.1129	0.916779	1.007112
AT1G01050.1	68.521521	61.452279	80.257727	68.953823
AT1G01050.2	0	0	0	0
AT1G01060.1	4.599242	4.23274	4.016006	2.462543
AT1G01060.2	0	0.049964	0.133026	0
AT1G01060.3	0	0	0	0.206587
AT1G01060.4	1.874144	2.589013	2.323481	3.065408
AT1G01060.5	0	0	0.026309	0.155702
AT1G01060.6	0.032649	0.11074	0	0
AT1G01060.7	3.122304	2.74772	2.355592	2.414409
AT1G01060.8	2.432678	3.667375	3.33624	3.228326
AT1G01070.1	4.830563	5.895563	5.418404	5.243136
AT1G01070.2	0.053047	0.360946	0.149174	0
AT1G01080.1	27.664473	25.994994	33.629308	27.980681
AT1G01080.2	2.448393	5.029472	6.307549	1.1364
AT1G01080.3	2.326899	2.466289	4.654934	3.308553
AT1G01090.1	226.985734	240.357749	222.072561	214.784531
AT1G01100.1	6.201123	5.590629	5.403056	3.785381
AT1G01100.2	396.25393	408.903522	359.285157	378.201329
AT1G01100.3	14.69353	8.648511	14.032868	8.751296
AT1G01100.4	0.649225	3.087714	1.877568	3.618845
AT1G01110.1	0.046627	0.265502	0	0
AT1G01110.2	1.739356	1.835602	3.744201	2.525145
AT1G01120.1	32.944137	32.769718	31.411276	30.063178
AT1G01130.1	1.471815	2.71353	2.736805	2.561388
AT1G01140.1	45.551266	45.05991	50.679042	45.168603
AT1G01140.2	0.284994	0	0.623158	0.244637
AT1G01140.3	0	0	0	0
AT1G01150.1	0	0	0	0
AT1G01150.2	0	0	0	0
AT1G01150.3	0.091069	0	0	0.016933
AT1G01160.1	41.147879	42.368567	38.722958	43.556406
AT1G01160.2	0.396766	0.139818	0.292887	0.154921
AT1G01170.1	245.214597	235.68081	215.174982	240.664778
AT1G01170.2	11.042008	8.510899	7.598088	11.987218
AT1G01180.1	33.473911	29.429298	16.736233	28.871434
AT1G01190.1	0.200992	0.152901	0.033854	0.024792
AT1G01190.2	0.243044	0.310446	0.375311	0.474561
AT1G01200.1	1.420905	1.34552	2.014495	1.818732
AT1G01210.1	21.046167	20.274891	19.179905	23.557596
AT1G01210.2	0	0	0	0
AT1G01210.3	1.199316	1.661527	1.520157	1.167458
AT1G01220.1	0	0	2.160771	0.540863
AT1G01220.2	0	0.249243	0.405645	0
AT1G01220.3	0.667487	0	0	0.194749
AT1G01220.4	1.325646	3.532237	1.393343	2.71277
AT1G01220.5	0.251693	0	2.088513	0.354893
AT1G01220.6	3.233568	4.173728	3.038659	3.606771
AT1G01220.7	4.426846	5.221428	4.87523	5.157007
AT1G01220.8	0.759093	0.567341	1.022474	0.349816
AT1G01225.1	1.984452	1.792854	1.362026	2.543522
AT1G01230.1	59.215651	54.778282	59.123278	57.090098
AT1G01240.1	24.319502	25.932098	23.810174	26.241802
AT1G01240.2	0.973386	0.848279	0.769884	0.966858
AT1G01240.3	2.678399	3.236805	3.509893	3.174833
AT1G01240.4	1.311474	0	0.607349	1.435866
AT1G01240.5	0	0	0	0
AT1G01250.1	1.5708	1.12597	0.430885	0.978308
AT1G01260.1	7.372695	7.658197	9.009171	7.969005
AT1G01260.2	1.833276	2.677132	1.798623	2.481933
AT1G01260.3	1.782322	2.383333	1.772717	1.623117
AT1G01280.1	0	0	0	0
AT1G01290.1	0.951449	1.406728	1.487396	0.90244
AT1G01290.2	5.677891	5.156593	6.977176	6.818324
AT1G01300.1	41.263824	41.984104	53.576429	36.473603
AT1G01305.1	0	0	0	0
AT1G01310.1	0.062381	0.214068	0.053827	0.092518
AT1G01320.1	0	0	0.04171	0
AT1G01320.2	0.04105	0	0.099211	0.426442
AT1G01320.3	44.569474	68.069534	77.724306	57.437073
AT1G01335.1	0	0	0	0
AT1G01340.1	0	0.140616	0.080516	0
AT1G01340.2	6.437548	6.002838	4.167933	7.163301
AT1G01350.1	22.624144	20.689281	22.303925	22.59742
AT1G01355.1	0	0	0	0
AT1G01355.2	0.203915	0	0	0.264133
AT1G01355.3	0.106203	0.12554	0.315991	0.332015
AT1G01360.1	12.209492	13.087443	12.385613	11.774695
AT1G01370.1	0	0	0.447202	0.167361
AT1G01370.2	0.239652	0.556303	1.30159	0.207711
AT1G01370.3	0.34926	0.167189	0	0
AT1G01370.4	1.423238	1.459858	0	1.870206
AT1G01380.1	2.27248	2.362137	2.02288	0.974701
AT1G01380.2	0.050894	0	0.61179	0.035932
AT1G01380.3	0	0	0	0.254582
AT1G01390.1	0.653052	0.567515	0	0.646045
AT1G01390.2	0	0	1.217424	0
AT1G01400.1	0	0	0	0
AT1G01410.1	0	0	0	0
AT1G01420.1	5.88549	6.763769	5.499668	5.913855
AT1G01420.2	3.20535	3.595144	2.32242	4.619698
AT1G01430.1	89.111423	94.772155	80.15175	88.847492
AT1G01440.1	12.662871	13.880551	12.864867	12.534126
AT1G01450.1	0.151898	0.052283	0.049324	0.028281
AT1G01453.1	2.859676	1.812131	2.593506	2.599954
AT1G01453.2	0.133015	0.065526	0	0.155431
AT1G01460.1	0	0	0.011928	0
AT1G01470.1	42.403748	35.801246	43.964884	41.538783
AT1G01480.1	1.301102	1.096311	0.56038	1.400123
AT1G01480.2	0.313078	0	0	0
AT1G01490.1	61.952221	52.339847	55.508542	57.682628
AT1G01490.2	33.958936	34.787982	16.159171	31.047152
AT1G01490.3	3.01384	3.178383	3.341301	4.281793
AT1G01490.4	0.198615	0.157449	0.500224	0.491806
AT1G01500.1	22.530846	24.765932	18.157018	22.737978
AT1G01510.1	23.607034	25.563929	26.930015	23.025931
AT1G01520.1	0.463318	0.367851	1.150864	0.070666
AT1G01520.2	0	0	0	0
AT1G01520.3	0	0	0	0.04265
AT1G01520.4	0	0	0	0.059109
AT1G01520.5	0	0.129753	0	0
AT1G01530.1	0.091693	0	0	0
AT1G01540.1	5.599586	5.227012	3.730741	4.043504
AT1G01540.2	80.39536	84.405046	68.356705	73.458779
AT1G01550.1	115.981309	111.779128	121.420489	124.467597
AT1G01550.2	11.273232	12.948703	11.089713	9.089522
AT1G01560.1	0	0	0	0
AT1G01560.2	0.146893	0.404753	0.113152	0.121667
AT1G01560.3	0	0	0	0
AT1G01560.4	0	0	0	0
AT1G01570.1	0.567118	0	0	0
AT1G01570.2	1.460314	1.765354	1.850925	2.189659
AT1G01580.1	26.83017	21.475853	4.522846	23.390514
AT1G01580.2	2.871736	1.566263	0	0.514778
AT1G01590.1	0.018198	0.025116	0	0.0068
AT1G01600.1	4.578046	3.734934	3.003122	3.739767
AT1G01610.1	66.030005	65.134389	46.362451	55.860275
AT1G01620.1	583.687278	466.433883	399.228747	430.681563
AT1G01620.2	0.044274	0	0	0.101913
AT1G01630.1	57.54407	54.310037	42.450209	50.352602
AT1G01640.1	5.564155	6.53844	5.857206	6.026675
AT1G01640.2	0.063705	0	0	0.055238
AT1G01650.1	16.961707	18.633177	18.710503	17.618859
AT1G01650.2	0.130828	0.075254	0.145504	0.308858
AT1G01650.3	0.094318	0.119797	0.582802	0.213115
AT1G01650.4	0.198834	0	0.439582	0
AT1G01660.1	0.129675	0	0.116153	0.163414
AT1G01660.2	1.822621	1.728029	1.99393	2.076337
AT1G01670.1	0.87729	0.425303	2.060182	0.801798
AT1G01670.2	1.581874	2.071163	0	2.295285
AT1G01670.3	0	0	0	0
AT1G01680.1	0.190544	0.09826	0.041191	0.141664
AT1G01690.1	1.220935	0.121259	0.470011	0.637315
AT1G01690.2	0.823618	1.757624	1.339788	0.61367
AT1G01690.3	0.821584	1.318779	2.132157	1.181688
AT1G01695.1	0.108955	0.107241	0.229354	0.197301
AT1G01700.1	0.109888	0.416601	0.428846	0.259638
AT1G01700.2	0	0	0	0
AT1G01700.3	0	0	0	0
AT1G01700.4	0	0	0	0
AT1G01700.5	0	0	0	0.065477
AT1G01710.1	13.307345	13.806503	13.785813	14.511595
AT1G01715.1	1.15309	1.353574	1.462958	1.307817
AT1G01715.2	2.032538	1.272189	2.462931	1.691117
AT1G01720.1	55.772122	55.089235	65.432038	63.729325
AT1G01725.1	25.443215	23.222739	22.274603	29.723323
AT1G01730.1	40.934823	38.609763	39.248499	39.613212
AT1G01740.1	0	0	0	0
AT1G01740.2	0.842333	0.502909	0.439897	0.996563
AT1G01740.3	1.450012	1.619269	1.70894	1.144677
AT1G01740.4	0.281921	0.435669	0.129192	0.789304
AT1G01740.5	0.94513	1.104048	1.498527	1.123244
AT1G01750.1	20.940567	12.050699	16.337958	17.638499
AT1G01750.2	0.310643	0.262925	0.408813	0.541219
AT1G01760.1	2.899394	3.510994	4.959376	4.155047
AT1G01760.2	0.57038	1.590782	0.967224	1.004179
AT1G01760.3	1.58682	0	0	0.713464
AT1G01760.4	0	0	0	0
AT1G01770.1	34.070725	41.498631	38.783602	39.549165
AT1G01780.1	37.812877	35.711486	42.50417	41.30133
AT1G01790.1	23.32665	26.874599	27.853796	25.055815
AT1G01790.2	1.890297	1.192522	3.066929	2.634634
AT1G01800.1	98.131664	94.300543	95.787837	99.254393
AT1G01800.2	0.166089	0	0	0.517974
AT1G01810.1	0.644871	0.802138	1.215158	0.173279
AT1G01820.1	93.038575	93.059371	81.329036	95.554906
AT1G01830.1	0.520539	2.296825	0	2.37916
AT1G01830.2	4.301214	1.907002	4.460248	4.135238
AT1G01830.3	3.965868	3.327836	2.236125	0.857611
AT1G01840.1	0.564961	0.939957	0.695459	0.447872
AT1G01860.1	8.645074	8.83603	9.954598	9.233076
AT1G01860.2	0	0	0.152515	0
AT1G01860.3	2.827795	2.289384	2.006913	2.241682
AT1G01860.4	0	0	0	0.892037
AT1G01860.5	0.579985	0.891234	0	0
AT1G01880.1	1.19342	1.19422	1.086133	1.441468
AT1G01880.2	0	0	0	0
AT1G01880.3	0	0	0.060251	0
AT1G01880.4	0	0	0	0
AT1G01900.1	2.199795	1.973466	2.730139	1.787847
AT1G01910.1	33.527757	32.3418	23.449409	31.606652
AT1G01910.2	23.689167	25.302788	27.04044	21.608233
AT1G01910.3	0	0	0	0
AT1G01910.4	3.378126	1.84551	4.128593	3.684081
AT1G01910.5	1.026342	0	0	0.758734
AT1G01920.1	0.079661	0.44958	0.371909	0.203003
AT1G01920.2	10.661359	11.542538	12.066485	10.629658
AT1G01920.3	0.954466	0.618609	0.992932	1.059181
AT1G01920.4	0.979004	1.263849	0.589278	1.385373
AT1G01920.5	0.244679	0.527785	0.35544	0.521186
AT1G01930.1	15.284364	15.981178	14.352932	14.760479
AT1G01940.1	16.487713	15.839131	17.602984	16.107123
AT1G01950.1	7.337973	7.119395	8.513543	7.422532
AT1G01950.2	0	0	0	0.06204
AT1G01950.3	0	0	0	0
AT1G01950.4	0	0.092135	0.217155	0.193141
AT1G01960.1	28.648691	34.957906	40.022436	32.208059
AT1G01970.1	18.319585	19.049278	19.182796	18.257925
AT1G01980.1	0.038838	0	0	0.019324
AT1G01990.1	30.638424	32.550262	28.844669	30.481593
AT1G02000.1	9.707859	8.496969	8.803392	8.528375
AT1G02010.1	0	2.026381	2.147221	1.449559
AT1G02010.2	0	0	0	0
