	SRR14214602	SRR14214603	SRR14214604	SRR14214605
AT1G01010.1	5.160324	5.214843	7.09157	5.373783
AT1G01020.1	3.194516	1.854154	3.320292	2.116215
AT1G01020.2	0.546064	1.82744	0.65461	1.303918
AT1G01020.3	0	0.442156	0.203048	0.173668
AT1G01020.4	0.630222	0.840668	1.714223	1.77954
AT1G01020.5	8.333145	8.617298	6.718767	7.108372
AT1G01020.6	0.218042	0.104819	0	0.099832
AT1G01030.1	1.504031	1.442556	1.08064	1.294982
AT1G01030.2	0	0	0	0
AT1G01040.1	6.347182	6.211146	5.516984	5.089606
AT1G01040.2	0	0.979716	0	1.082524
AT1G01050.1	84.593377	96.18835	93.096716	93.173827
AT1G01050.2	0	0	0	0
AT1G01060.1	0.731553	0.6949	1.588822	0.978887
AT1G01060.2	0	0	0	0
AT1G01060.3	0	0	0	0.109437
AT1G01060.4	0.177478	0.847197	0	0
AT1G01060.5	0	0	0	0
AT1G01060.6	0	0	0	0
AT1G01060.7	0.484243	0.368997	0.484309	0.303188
AT1G01060.8	0	0	0	0
AT1G01070.1	6.571901	8.359041	9.710537	9.39975
AT1G01070.2	0.588802	0	0.30976	0.439278
AT1G01080.1	35.106917	30.682429	27.797908	32.494469
AT1G01080.2	59.385186	66.040329	61.602925	51.589706
AT1G01080.3	4.326469	6.51522	5.133074	7.32975
AT1G01090.1	138.920784	135.534446	132.423492	128.286583
AT1G01100.1	64.230217	52.050964	37.755326	29.889688
AT1G01100.2	496.778987	468.511226	424.350224	490.251114
AT1G01100.3	9.856844	8.706841	5.173987	10.381826
AT1G01100.4	0	0	4.696973	0
AT1G01110.1	0.728767	0	1.140511	0
AT1G01110.2	1.939668	2.323769	2.099847	2.895683
AT1G01120.1	45.050205	45.623766	32.28568	30.231454
AT1G01130.1	9.954937	6.259574	3.602647	5.174718
AT1G01140.1	26.040941	28.743561	42.807706	34.719147
AT1G01140.2	0	0	0	0.507704
AT1G01140.3	0	0	0	0
AT1G01150.1	0	0.049118	0	0
AT1G01150.2	0.181345	0	0	0
