ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	0,2	123,217	0,0	112,183	198	198
1	65,100	123,217	62,85	112,183	198	198
2	14,19	143,190	18,17	74,148	180	180
3	1,2	3,2	2,0	0,11	198	198
5	116,184	195,302	72,154	138,222	176	198
6	355,464	297,403	344,477	318,422	198	166
7	97,126	213,257	78,100	163,254	144	198
8	90,122	70,82	68,96	55,64	147	146
10	4,3	19,13	1,12	13,12	198	198
11	775,1024	86,87	593,964	52,91	166	117
13	700,909	305,382	519,833	253,357	149	133
14	96,108	136,195	47,93	83,131	180	180
15	94,125	125,192	43,78	84,127	180	180
16	57,67	98,99	38,76	72,83	138	156
17	18,25	72,128	17,23	60,114	198	198
18	1669,2201	1678,2148	1523,2341	1444,2259	177	198
19	51,68	91,130	62,73	92,171	151	198
20	503,709	315,397	483,680	228,394	198	165
21	75,91	31,41	88,145	12,28	198	198
22	92,92	143,192	82,149	157,238	147	168
23	24,44	112,138	23,60	134,189	119	152
24	116,172	247,396	158,241	278,496	170	198
26	394,555	479,841	502,691	802,1014	198	198
27	179,219	219,253	176,216	207,300	153	165
28	174,169	8,15	138,209	2,4	198	198
29	40,69	100,131	38,70	80,108	143	198
30	1104,1452	646,844	939,1503	526,917	170	180
31	613,745	337,443	573,795	314,467	180	143
32	41,61	39,73	31,67	24,47	198	171
34	90,122	92,123	65,119	85,127	159	159
35	255,338	8,12	372,476	10,38	198	198
36	6,0	8,2	6,12	4,7	192	192
37	1,0	89,130	1,1	54,99	125	198
38	142,138	175,230	78,100	87,162	179	198
39	63,71	90,82	32,49	36,82	159	168
40	25,19	19,38	11,15	17,18	165	160
41	75,39	74,63	26,66	34,67	198	197
42	43,77	80,93	55,59	53,112	198	176
43	218,307	515,635	200,318	403,659	131	198
44	57,63	274,366	46,112	230,335	198	162
45	27,33	371,530	57,79	351,618	133	162
46	160,193	265,410	85,147	143,272	198	197
47	0,2	20,24	8,6	16,28	198	198
48	684,834	415,469	632,971	336,517	198	154
49	144,286	118,199	254,391	169,270	198	198
50	303,320	104,116	233,310	61,83	184	143
51	202,312	124,147	201,374	88,100	143	162
52	229,239	367,504	120,173	361,569	162	159
53	76,104	37,60	76,72	40,45	198	198
54	4,3	8,11	3,5	5,20	159	159
55	65,70	115,183	53,57	78,161	165	198
56	2088,3234	3324,4918	1707,2514	2791,3948	159	192
57	41,57	18,20	21,35	10,15	198	107
58	52,80	18,20	43,48	10,15	198	107
59	68,89	18,20	42,61	10,15	198	107
60	4,9	1255,1695	6,7	991,1666	198	198
61	1657,2641	1255,1695	1414,1852	991,1666	198	198
62	220,242	243,242	203,270	185,325	181	177
63	218,235	172,227	108,215	135,219	174	177
64	311,399	168,238	217,340	117,167	151	138
66	202,360	291,398	187,341	258,378	167	198
67	1296,1679	781,941	950,1573	782,1225	198	148
68	56,87	128,196	30,57	67,119	135	183
69	1,0	128,196	1,1	67,119	150	183
70	101,127	69,56	73,92	35,44	180	138
71	75,48	111,66	55,87	76,129	140	164
73	15,21	1,5	7,7	3,1	198	198
74	322,413	302,394	224,375	226,342	198	198
75	128,177	203,238	128,176	207,291	168	198
76	3955,4762	3180,4081	2936,4155	2317,3536	198	198
77	2270,2805	2351,2972	1506,2420	1647,2688	183	198
79	227,232	112,136	170,277	88,110	198	160
81	70,98	136,129	52,83	121,204	198	198
82	121,170	118,144	153,303	61,100	139	146
83	126,148	619,879	102,148	534,782	147	198
85	65,99	107,80	53,103	49,85	198	198
86	107,138	97,104	79,103	59,80	198	188
88	45,40	166,210	10,13	146,229	198	192
89	13,14	0,0	5,17	2,0	164	152
90	219,307	125,172	166,297	121,188	198	165
91	17,23	72,62	15,26	28,45	198	178
92	1113,1654	1149,1466	1118,1570	1033,1584	147	147
93	1378,2054	1446,1804	1239,1796	1290,1951	165	168
94	1081,1629	782,1154	960,1566	659,1092	147	147
96	669,930	1,2	566,742	1,3	147	147
97	670,927	1042,1575	566,741	1014,1502	147	147
98	667,921	943,1384	564,743	839,1262	147	147
100	1041,1356	1067,1583	850,1233	1002,1431	165	165
101	27,26	73,112	10,20	56,52	197	148
103	631,1039	244,413	717,943	257,399	198	156
104	342,460	258,299	245,369	174,265	189	165
105	32,40	123,181	14,13	92,141	160	162
106	9,17	123,181	6,3	92,141	198	162
107	2,5	42,69	0,0	31,43	158	198
