ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	6,23	280,425	7,9	218,342	233	341	1	1.0	0.03,0.073	0.045,0.037	0.011
1	71,116	280,425	69,91	218,342	212	341	1	1.0	0.29,0.305	0.337,0.3	-0.021
2	14,19	143,190	18,17	74,148	180	180	1	1.0	0.089,0.091	0.196,0.103	-0.059
3	1,3	5,5	2,0	0,12	213	292	1	1.0	0.215,0.451	1.0,0.0	-0.167
5	116,185	237,371	72,155	193,270	176	222	1	1.0	0.382,0.386	0.32,0.42	0.014
6	371,487	297,403	360,500	318,422	205	166	1	1.0	0.503,0.495	0.478,0.49	0.015
7	97,126	239,281	78,100	172,271	144	207	1	1.0	0.368,0.392	0.395,0.347	0.009
8	90,122	70,82	68,96	55,64	147	146	1	1.0	0.561,0.596	0.551,0.598	0.004
10	5,6	19,15	1,13	13,14	210	203	1	1.0	0.203,0.279	0.069,0.473	-0.03
11	775,1026	86,87	593,964	52,91	166	117	1	1.0	0.864,0.893	0.889,0.882	-0.007
13	700,909	305,382	519,833	256,358	149	133	1	1.0	0.672,0.68	0.644,0.675	0.017
14	97,108	136,195	47,93	83,131	180	180	1	1.0	0.416,0.356	0.362,0.415	-0.002
15	94,125	126,192	43,78	84,127	180	180	1	1.0	0.427,0.394	0.339,0.38	0.051
16	57,67	98,99	38,76	72,83	138	156	1	1.0	0.397,0.433	0.374,0.509	-0.026
17	259,401	94,157	263,396	87,127	561	235	1	1.0	0.536,0.517	0.559,0.566	-0.036
18	1670,2201	2025,2561	1523,2341	1738,2684	177	213	1	1.0	0.498,0.508	0.513,0.512	-0.009
19	51,68	161,211	62,73	168,294	151	221	1	1.0	0.317,0.321	0.351,0.267	0.01
20	516,726	315,398	490,712	228,394	201	165	1	1.0	0.574,0.6	0.638,0.597	-0.03
21	82,91	37,44	88,145	27,60	201	210	1	1.0	0.698,0.684	0.773,0.716	-0.053
22	92,92	143,192	82,150	157,238	147	168	1	1.0	0.424,0.354	0.374,0.419	-0.007
23	24,44	112,138	23,60	134,189	119	152	1	1.0	0.215,0.289	0.18,0.289	0.018
24	116,173	322,482	158,241	378,631	170	240	1	1.0	0.337,0.336	0.371,0.35	-0.024
26	1764,2672	2418,3630	2464,3482	3737,4952	525	525	1	1.0	0.422,0.424	0.397,0.413	0.018
27	179,219	219,253	176,216	207,300	153	165	1	1.0	0.468,0.483	0.478,0.437	0.018
28	301,305	137,148	213,334	83,138	224	391	1	1.0	0.793,0.782	0.818,0.809	-0.026
29	40,69	115,138	38,70	89,122	143	216	1	1.0	0.344,0.43	0.392,0.464	-0.041
30	1104,1453	647,844	939,1503	527,918	170	180	1	1.0	0.644,0.646	0.654,0.634	0.001
31	614,745	337,443	574,796	314,467	180	143	1	1.0	0.591,0.572	0.592,0.575	-0.002
32	41,62	39,73	31,67	24,47	200	171	1	1.0	0.473,0.421	0.525,0.549	-0.09
33	92,125	0,0	65,123	1,0	159	159	1	1.0	1.0,1.0	0.985,1.0	0.008
34	93,123	92,123	65,120	86,127	159	159	1	1.0	0.503,0.5	0.43,0.486	0.044
35	514,710	11,24	742,1044	17,49	304	249	1	1.0	0.975,0.96	0.973,0.946	0.008
36	6,0	8,2	6,12	4,9	192	192	0.245781686313	1.0	0.429,0.0	0.6,0.571	-0.371
37	1,0	105,135	1,1	66,109	125	205	1	1.0	0.015,0.0	0.024,0.015	-0.012
38	143,138	338,399	78,100	211,309	179	276	1	1.0	0.395,0.348	0.363,0.333	0.024
39	63,72	90,82	32,49	36,82	159	168	1	1.0	0.425,0.481	0.484,0.387	0.017
40	25,19	19,38	11,15	17,18	165	160	1	1.0	0.561,0.327	0.386,0.447	0.028
41	88,56	74,63	33,82	34,67	223	197	1	1.0	0.512,0.44	0.462,0.52	-0.015
42	245,299	80,94	181,271	53,113	351	176	1	1.0	0.606,0.615	0.631,0.546	0.022
43	218,307	645,828	200,318	526,808	131	231	1	1.0	0.373,0.395	0.401,0.41	-0.021
44	59,72	275,366	50,124	230,335	201	162	1	1.0	0.147,0.137	0.149,0.23	-0.047
45	27,33	371,531	57,79	351,618	133	162	1	1.0	0.081,0.07	0.165,0.135	-0.075
46	168,210	266,410	91,161	143,272	202	197	1	1.0	0.381,0.333	0.383,0.366	-0.018
47	37,36	390,443	33,55	333,509	654	825	1	1.0	0.107,0.093	0.111,0.12	-0.015
48	709,868	415,469	659,1013	336,519	202	154	1	1.0	0.566,0.585	0.599,0.598	-0.023
49	455,739	408,653	626,1042	529,797	354	345	1	1.0	0.521,0.524	0.536,0.56	-0.026
50	303,320	104,116	234,310	61,83	184	143	1	1.0	0.694,0.682	0.749,0.744	-0.058
51	202,312	124,148	201,374	88,100	143	162	1	1.0	0.649,0.705	0.721,0.809	-0.088
52	229,240	367,504	120,173	361,569	162	159	0.687539479141	1.0	0.38,0.319	0.246,0.23	0.112
53	250,316	76,124	193,279	71,105	346	261	1	1.0	0.713,0.658	0.672,0.667	0.016
54	4,3	8,11	3,5	5,20	159	159	1	1.0	0.333,0.214	0.375,0.2	-0.014
55	65,70	169,285	53,57	109,223	165	241	1	1.0	0.36,0.264	0.415,0.272	-0.032
56	2089,3234	3333,4924	1709,2515	2799,3957	159	192	1	1.0	0.431,0.442	0.424,0.434	0.008
57	6212,7685	18,20	4419,6462	10,15	1796	107	1	1.0	0.954,0.958	0.963,0.962	-0.006
58	6232,7726	18,20	4447,6492	10,15	1799	107	1	1.0	0.954,0.958	0.964,0.963	-0.008
59	6284,7778	18,20	4467,6528	10,15	1836	107	1	1.0	0.953,0.958	0.963,0.962	-0.007
60	2530,4014	1432,1944	2124,3160	1130,1846	612	204	1	1.0	0.371,0.408	0.385,0.363	0.015
61	4170,6624	1432,1944	3525,4990	1130,1846	421	204	1	1.0	0.585,0.623	0.602,0.567	0.019
62	220,243	243,243	203,270	185,325	181	177	1	1.0	0.47,0.494	0.518,0.448	-0.001
63	219,235	172,228	108,215	136,219	174	177	1	1.0	0.564,0.512	0.447,0.5	0.065
64	311,399	168,238	218,340	117,167	151	138	1	1.0	0.629,0.605	0.63,0.65	-0.023
