IncLevel1	IncLevel2	IncLevelDifference
0.03,0.073	0.045,0.037	0.011
0.29,0.305	0.337,0.3	-0.021
0.089,0.091	0.196,0.103	-0.059
0.215,0.451	1.0,0.0	-0.167
0.382,0.386	0.32,0.42	0.014
0.503,0.495	0.478,0.49	0.015
0.368,0.392	0.395,0.347	0.009
0.561,0.596	0.551,0.598	0.004
0.203,0.279	0.069,0.473	-0.03
0.864,0.893	0.889,0.882	-0.007
0.672,0.68	0.644,0.675	0.017
0.416,0.356	0.362,0.415	-0.002
0.427,0.394	0.339,0.38	0.051
0.397,0.433	0.374,0.509	-0.026
0.536,0.517	0.559,0.566	-0.036
0.498,0.508	0.513,0.512	-0.009
0.317,0.321	0.351,0.267	0.01
0.574,0.6	0.638,0.597	-0.03
0.698,0.684	0.773,0.716	-0.053
0.424,0.354	0.374,0.419	-0.007
0.215,0.289	0.18,0.289	0.018
0.337,0.336	0.371,0.35	-0.024
0.422,0.424	0.397,0.413	0.018
0.468,0.483	0.478,0.437	0.018
0.793,0.782	0.818,0.809	-0.026
0.344,0.43	0.392,0.464	-0.041
0.644,0.646	0.654,0.634	0.001
0.591,0.572	0.592,0.575	-0.002
0.473,0.421	0.525,0.549	-0.09
1.0,1.0	0.985,1.0	0.008
0.503,0.5	0.43,0.486	0.044
0.975,0.96	0.973,0.946	0.008
0.429,0.0	0.6,0.571	-0.371
0.015,0.0	0.024,0.015	-0.012
0.395,0.348	0.363,0.333	0.024
0.425,0.481	0.484,0.387	0.017
0.561,0.327	0.386,0.447	0.028
0.512,0.44	0.462,0.52	-0.015
0.606,0.615	0.631,0.546	0.022
0.373,0.395	0.401,0.41	-0.021
0.147,0.137	0.149,0.23	-0.047
0.081,0.07	0.165,0.135	-0.075
0.381,0.333	0.383,0.366	-0.018
0.107,0.093	0.111,0.12	-0.015
0.566,0.585	0.599,0.598	-0.023
0.521,0.524	0.536,0.56	-0.026
0.694,0.682	0.749,0.744	-0.058
0.649,0.705	0.721,0.809	-0.088
0.38,0.319	0.246,0.23	0.112
0.713,0.658	0.672,0.667	0.016
0.333,0.214	0.375,0.2	-0.014
0.36,0.264	0.415,0.272	-0.032
0.431,0.442	0.424,0.434	0.008
0.954,0.958	0.963,0.962	-0.006
0.954,0.958	0.964,0.963	-0.008
0.953,0.958	0.963,0.962	-0.007
0.371,0.408	0.385,0.363	0.015
0.585,0.623	0.602,0.567	0.019
0.47,0.494	0.518,0.448	-0.001
0.564,0.512	0.447,0.5	0.065
0.629,0.605	0.63,0.65	-0.023
0.381,0.446	0.407,0.439	-0.01
0.603,0.636	0.543,0.558	0.069
0.372,0.376	0.378,0.394	-0.012
0.009,0.0	0.018,0.01	-0.009
0.529,0.635	0.615,0.616	-0.033
0.442,0.46	0.459,0.441	0.001
0.684,0.543	0.6,0.75	-0.061
0.466,0.473	0.458,0.479	0.001
0.41,0.436	0.399,0.406	0.02
0.501,0.493	0.49,0.485	0.01
0.455,0.447	0.431,0.442	0.015
0.724,0.684	0.692,0.748	-0.016
0.33,0.314	1.0,0.762	-0.559
0.284,0.311	0.246,0.289	0.03
0.519,0.554	0.722,0.761	-0.205
0.152,0.127	0.153,0.144	-0.009
0.425,0.528	0.585,0.544	-0.088
0.529,0.585	0.588,0.556	-0.015
0.275,0.252	0.124,0.124	0.14
1.0,1.0	0.699,1.0	0.151
0.641,0.641	0.599,0.612	0.036
0.361,0.441	0.505,0.517	-0.11
0.493,0.53	0.52,0.497	0.003
0.492,0.537	0.494,0.484	0.025
0.58,0.585	0.592,0.589	-0.008
0.895,0.944	0.956,0.924	-0.02
0.997,0.996	0.996,0.993	0.002
0.391,0.37	0.358,0.33	0.037
0.414,0.399	0.402,0.371	0.02
0.975,0.932	0.93,0.924	0.026
0.494,0.461	0.459,0.462	0.017
0.217,0.149	0.118,0.224	0.012
0.68,0.677	0.691,0.659	0.004
0.539,0.574	0.551,0.549	0.006
0.208,0.183	0.134,0.085	0.086
0.066,0.077	0.049,0.017	0.039
0.055,0.074	0.0,0.0	0.065
