IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3358,3823	3,6	2435,3824	3,4	188	99
396,556	2,4	391,500	1,2	296	99
414,556	0,1	326,488	0,0	187	99
6547,7680	1,0	6399,9973	0,0	177	99
192,193	0,0	122,144	3,0	140	99
49,60	0,0	25,47	1,0	149	99
928,1079	0,0	832,1329	0,1	235	99
945,1041	1,0	752,1194	0,0	160	99
811,998	0,1	690,1071	0,0	179	99
925,1135	0,1	789,1140	0,0	180	99
4,5	48,47	1,4	28,28	120	99
1433,1894	0,1	926,1562	0,0	163	99
197,243	116,131	63,124	95,146	157	99
1142,1704	12,6	784,1160	6,9	219	99
13,13	6,7	29,36	3,9	229	99
98,89	0,0	30,71	0,1	171	99
287,293	1,0	139,269	0,0	182	99
3001,3345	2,0	1933,3195	0,0	2955	99
607,677	1,2	418,571	0,5	212	99
408,566	0,0	355,581	0,2	175	99
524,541	0,1	303,477	0,0	247	99
2,0	6,13	0,1	4,14	229	99
292,351	4,8	239,336	2,2	169	99
55,62	0,0	36,84	2,0	235	99
96,111	1,4	61,103	1,2	152	99
109,125	1,4	89,124	1,2	155	99
9,8	0,4	1,3	0,0	181	99
16,29	5,2	2,2	0,0	161	99
17,27	0,1	0,5	0,0	141	99
14,19	0,0	8,26	1,1	363	99
10,11	0,0	7,16	1,1	147	99
65,109	1,3	34,72	0,0	136	99
10252,14021	1,0	7667,11963	0,0	173	99
845,1152	0,0	697,998	0,1	154	99
720,1076	0,1	670,1122	0,0	145	99
278,340	0,2	229,403	1,0	146	99
156,156	0,3	83,163	0,1	186	99
299,339	1,1	184,238	0,1	188	99
5159,5439	2,1	3392,6086	0,0	142	99
6,8	93,114	7,8	69,125	128	99
14,16	93,114	13,23	69,125	132	99
215,242	0,0	196,264	3,0	197	99
744,904	1,4	462,740	0,2	167	99
412,478	1,4	216,421	0,2	173	99
1189,1526	1,0	836,1249	0,0	148	99
5109,5527	0,1	3922,5683	0,0	733	99
692,723	0,1	526,676	0,1	170	99
523,584	0,1	409,636	0,0	203	99
391,444	1,1	102,124	0,0	216	99
975,1091	0,3	737,1128	1,3	117	99
8281,14022	22,43	6623,9260	28,36	166	99
14,23	435,588	9,15	329,420	245	99
762,868	0,1	532,888	0,0	264	99
122,148	0,2	82,101	0,0	173	99
598,501	1,0	366,525	0,0	199	99
8,5	3711,4566	6,8	2167,3776	164	99
1733,1531	0,0	903,1512	1,3	313	99
701,868	0,0	597,851	0,1	197	99
292,379	0,0	271,353	0,1	236	99
1321,1674	0,0	1365,2208	1,1	231	99
848,977	0,0	737,1318	0,1	131	99
397,434	1,0	427,560	0,0	243	99
402,527	0,1	237,360	0,0	174	99
257,377	0,0	134,267	0,1	138	99
291,349	72,73	171,342	52,65	442	99
74,93	221,204	53,84	125,169	157	99
71,64	221,204	74,70	125,169	160	99
136,139	0,1	86,119	0,0	250	99
378,563	0,0	345,621	1,0	195	99
33,21	8,1	10,37	4,7	249	99
29,20	2,0	14,40	0,1	249	99
125,150	0,2	73,158	1,0	237	99
73,112	0,1	52,108	0,0	169	99
4416,5327	0,0	4092,6004	0,1	208	99
112,159	2,10	107,141	5,2	212	99
45,61	41,45	20,40	38,50	169	99
304,449	0,2	233,369	0,0	489	99
319,460	0,2	251,390	0,0	341	99
1057,1494	0,0	808,1267	2,0	150	99
1095,1481	0,0	838,1364	0,2	170	99
218,226	0,1	136,239	0,1	153	99
408,507	0,0	325,487	1,0	218	99
243,312	0,0	191,308	1,0	221	99
166,201	0,1	133,215	0,3	175	99
171,255	0,0	197,258	0,1	198	99
49,42	5,13	34,61	7,10	147	99
445,673	0,7	464,639	2,5	334	99
11,30	1,0	10,11	0,1	161	99
17,19	0,0	7,5	0,2	177	99
495,472	0,0	366,601	1,3	244	99
332,375	0,1	231,401	0,0	506	99
129,188	1,5	104,172	0,1	139	99
9,14	2,0	9,16	0,0	185	99
3,12	2,0	6,13	0,0	178	99
115,157	1,1	82,185	0,1	263	99
86,70	0,0	56,52	1,0	230	99
359,399	5,7	281,416	29,22	155	99
198,186	0,2	123,195	0,0	170	99
3643,3655	0,0	2854,4208	1,0	128	99
372,443	0,0	293,397	0,1	195	99
2716,3263	0,0	1833,2754	0,1	1036	99
313,430	0,1	243,299	0,8	189	99
67,53	16,19	63,84	10,20	146	99
86,54	20,20	59,96	10,24	146	99
21,25	20,20	18,30	10,24	144	99
13,36	28,31	29,53	16,57	144	99
31643,39549	0,1	22807,32631	1,0	3668	99
3,0	37,41	1,0	21,22	241	99
145,199	0,3	198,290	0,3	279	99
672,696	1,6	247,422	0,0	197	99
20,33	0,0	15,23	1,0	206	99
608,756	0,0	452,850	0,1	170	99
1043,1281	0,0	767,1300	0,2	121	99
1224,2729	44,63	1663,2862	18,29	195	99
4,4	5,2	4,2	2,1	188	99
302,441	0,1	164,231	0,0	287	99
190,265	0,1	95,133	0,0	206	99
332,415	0,1	333,437	0,0	354	99
131,171	27,32	107,188	9,9	160	99
138,161	1,2	74,133	1,0	156	99
3,4	6,33	10,1	7,11	176	99
214,274	4,0	212,257	0,3	141	99
240,281	1,2	212,341	0,1	211	99
397,506	0,2	324,500	0,1	184	99
22686,31421	1,4	24482,34081	0,0	381	99
106,131	0,2	93,140	2,0	140	99
