ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3	2,1	263,234	0,0	120,66	180	99	1	1.0
4	16,6	1,2	8,3	0,2	158	99	1	1.0
6	2,0	21,17	0,0	11,0	109	99	1	1.0
8	165,81	19,10	95,63	11,7	134	99	1	1.0
9	152,76	1,0	89,61	0,0	134	99	1	1.0
10	11,6	385,424	18,8	152,117	309	99	1	1.0
11	5,0	1036,854	1,0	598,357	106	99	1	1.0
14	447,430	5,0	184,116	0,2	233	99	1	1.0
15	69,16	6,0	5,5	1,0	408	99	0.0145017474539	0.23996575786874527
16	5,8	3,12	3,2	9,1	192	99	0.786449023851	1.0
17	17,7	14,12	15,2	7,5	315	99	1	1.0
19	3,0	14,12	4,0	7,5	134	99	1	1.0
21	26,11	95,92	14,21	48,33	684	99	1	1.0
23	311,351	49,38	184,112	45,14	120	99	1	1.0
24	62,44	49,38	40,20	45,14	186	99	1	1.0
25	13,7	262,314	15,3	159,95	165	99	1	1.0
26	138,130	0,2	67,66	1,0	686	99	1	1.0
27	19,10	0,3	11,7	1,1	103	99	1	1.0
28	65,73	0,0	35,26	2,0	102	99	1	1.0
29	2,4	91,82	0,2	39,12	243	99	1	1.0
31	262,182	0,0	72,43	1,0	371	99	1	1.0
32	985,831	3,10	514,303	0,0	111	99	1	1.0
33	26,22	32,50	5,8	23,17	129	99	0.723144506044	1.0
34	8,10	297,301	12,9	195,104	309	99	1	1.0
35	24,17	168,187	26,6	98,64	138	99	1	1.0
36	9,7	121,98	14,6	30,37	258	99	1	1.0
37	6,4	173,207	7,6	88,90	345	99	1	1.0
38	5,3	26,16	0,0	10,6	111	99	0.683437103507	1.0
39	223,165	15,7	67,87	13,7	324	99	0.547704225424	1.0
40	9,1	494,326	1,1	226,128	138	99	1	1.0
41	80,47	2,13	30,16	0,1	218	99	0.245312814351	1.0
42	239,276	14,10	147,92	0,1	111	99	1	1.0
44	73,40	391,253	41,26	216,153	266	99	1	1.0
45	19,13	352,281	12,9	134,83	127	99	1	1.0
46	81,68	216,193	35,38	98,64	309	99	1	1.0
47	5,3	307,270	3,1	235,117	107	99	1	1.0
48	60,40	1,3	30,42	0,0	934	99	0.344786326945	1.0
50	117,120	0,2	70,58	0,0	117	99	1	1.0
53	115,119	0,1	95,45	0,0	120	99	1	1.0
54	174,152	1,0	143,87	0,0	311	99	1	1.0
55	208,180	1,0	188,109	0,0	501	99	1	1.0
56	36,30	1,0	46,22	0,0	289	99	1	1.0
57	115,143	0,0	98,67	2,1	289	99	1	1.0
58	37,31	109,93	25,11	66,37	218	99	1	1.0
59	545,439	10,4	459,261	25,8	665	99	0.243650823331	1.0
60	15,8	303,330	3,1	163,89	261	99	1	1.0
62	9,4	296,307	5,6	175,135	101	99	1	1.0
63	32,23	80,56	12,8	51,27	154	99	1	1.0
64	23,16	15,20	12,7	10,14	154	99	1	1.0
65	3,4	384,324	1,0	231,184	323	99	1	1.0
66	36,19	2,0	7,6	3,1	119	99	0.468504031614	1.0
67	28,9	4,0	13,9	0,0	103	99	1	1.0
68	26,19	26,13	11,6	21,12	111	99	0.23283038618	1.0
69	53,20	0,1	20,16	0,2	140	99	1	1.0
70	105,84	229,198	21,12	169,116	117	99	0.00173650039523	0.034997161811558465
71	3,3	382,433	3,2	177,128	107	99	1	1.0
72	34,33	75,95	25,12	31,34	475	99	1	1.0
73	14,19	40,27	1,4	15,4	183	99	0.837607866463	1.0
74	907,766	1,0	513,282	0,0	111	99	1	1.0
76	34,10	19,10	18,8	4,2	293	99	0.154978218722	1.0
77	190,179	0,1	74,47	0,0	227	99	1	1.0
78	717,709	5,4	475,300	1,1	797	99	1	1.0
79	794,784	5,4	523,338	1,1	825	99	1	1.0
81	2310,2262	1,0	1423,852	0,0	640	99	1	1.0
82	145,142	5,3	63,31	15,3	492	99	0.00615504183409	0.11158719812166877
83	27,20	983,1048	25,11	525,329	103	99	1	1.0
84	8,6	39,25	1,2	22,19	127	99	1	1.0
85	51,29	45,31	27,22	26,10	228	99	1	1.0
86	2,8	16,13	0,0	9,2	127	99	0.264422784349	1.0
87	5,4	0,1	4,1	3,1	131	99	0.0352817609127	0.48228633178055996
89	13,18	2259,2243	12,0	1661,819	103	99	1	1.0
90	975,942	6,4	705,529	0,0	356	99	1	1.0
91	40,43	1262,1217	25,27	800,451	102	99	1	1.0
92	9,2	0,1	5,1	0,0	111	99	1	1.0
93	60,47	254,249	27,15	135,112	293	99	1	1.0
94	1,5	7,3	1,1	3,1	117	99	0.463183501513	1.0
95	12,10	7,3	22,13	3,1	159	99	0.115457009863	1.0
96	11,6	0,1	21,12	0,0	141	99	1	1.0
98	435,331	7,1	313,181	2,0	358	99	1	1.0
99	0,2	23,23	0,0	14,3	156	99	1	1.0
100	0,0	31,24	1,1	34,16	104	99	1	1.0
