IncLevel1	IncLevel2	IncLevelDifference
0.004,0.002	0.0,0.0	0.003
0.909,0.653	1.0,0.485	0.039
0.08,0.0	0.0,NA	0.04
0.865,0.857	0.865,0.869	-0.006
0.991,1.0	1.0,1.0	-0.004
0.009,0.005	0.037,0.021	-0.022
0.004,0.0	0.002,0.0	0.001
0.974,1.0	1.0,0.961	0.007
0.736,1.0	0.548,1.0	0.094
0.462,0.256	0.147,0.508	0.031
0.276,0.155	0.402,0.112	-0.041
0.137,0.0	0.297,0.0	-0.08
0.038,0.017	0.041,0.084	-0.035
0.84,0.884	0.771,0.868	0.042
0.402,0.381	0.321,0.432	0.015
0.029,0.013	0.054,0.019	-0.015
1.0,0.904	0.906,1.0	-0.001
1.0,0.762	0.914,0.871	-0.012
1.0,1.0	0.944,1.0	0.028
0.009,0.019	0.0,0.064	-0.018
1.0,1.0	0.951,1.0	0.024
0.997,0.987	1.0,1.0	-0.008
0.384,0.252	0.143,0.265	0.114
0.009,0.011	0.019,0.027	-0.013
0.093,0.061	0.16,0.063	-0.035
0.028,0.027	0.152,0.059	-0.078
0.01,0.006	0.022,0.019	-0.012
0.146,0.143	0.0,0.0	0.144
0.82,0.878	0.612,0.792	0.147
0.013,0.002	0.003,0.006	0.003
0.948,0.621	1.0,0.879	-0.155
0.938,0.961	1.0,0.988	-0.044
0.065,0.056	0.066,0.059	-0.002
0.04,0.035	0.065,0.078	-0.034
0.107,0.101	0.103,0.16	-0.027
0.015,0.01	0.012,0.008	0.003
0.864,0.586	1.0,1.0	-0.275
1.0,0.981	1.0,1.0	-0.01
1.0,0.99	1.0,1.0	-0.005
0.982,1.0	1.0,1.0	-0.009
0.976,1.0	1.0,1.0	-0.012
0.925,1.0	1.0,1.0	-0.037
1.0,1.0	0.944,0.958	0.049
0.134,0.131	0.147,0.119	-0.001
0.89,0.942	0.732,0.829	0.135
0.018,0.009	0.007,0.004	0.008
0.029,0.013	0.027,0.042	-0.014
0.205,0.209	0.131,0.16	0.061
0.496,0.34	0.435,0.243	0.079
0.002,0.004	0.001,0.0	0.003
0.937,1.0	0.66,0.833	0.222
0.871,1.0	1.0,1.0	-0.065
0.471,0.566	0.318,0.308	0.205
1.0,0.934	1.0,0.85	0.042
0.28,0.264	0.095,0.08	0.185
0.007,0.006	0.015,0.014	-0.008
0.086,0.068	0.144,0.069	-0.029
0.159,0.276	0.035,0.351	0.025
0.999,1.0	1.0,1.0	-0.0
0.377,0.253	0.603,0.575	-0.274
1.0,0.987	1.0,1.0	-0.006
0.947,0.957	0.983,0.974	-0.026
0.95,0.959	0.984,0.976	-0.026
0.997,1.0	1.0,1.0	-0.002
0.854,0.905	0.458,0.675	0.313
0.026,0.018	0.044,0.031	-0.015
0.138,0.158	0.034,0.076	0.093
0.33,0.289	0.311,0.489	-0.091
0.089,0.324	0.0,0.0	0.207
1.0,0.751	0.502,0.43	0.409
0.006,0.008	0.007,0.0	0.004
0.978,0.985	1.0,1.0	-0.018
0.03,0.033	0.029,0.055	-0.011
1.0,0.641	1.0,1.0	-0.179
0.074,0.06	0.063,0.043	0.014
0.108,0.585	0.22,0.458	0.007
0.516,0.675	0.82,0.89	-0.259
1.0,0.808	1.0,1.0	-0.096
0.945,0.989	0.977,1.0	-0.021
0.0,0.052	0.0,0.0	0.026
0.0,0.0	0.027,0.056	-0.042
1.0,0.858	0.26,1.0	0.299
0.105,0.062	0.0,0.0	0.083
0.062,0.067	0.04,0.067	0.011
0.987,1.0	1.0,1.0	-0.006
0.063,0.06	0.061,0.106	-0.022
0.024,0.0	0.017,0.027	-0.01
0.976,0.972	1.0,0.943	0.002
1.0,0.985	1.0,0.956	0.014
0.954,0.912	0.989,0.959	-0.041
0.011,0.008	0.017,0.025	-0.012
0.901,0.884	0.926,0.933	-0.037
0.141,0.264	0.0,0.075	0.165
0.993,0.995	1.0,1.0	-0.006
0.319,0.214	0.0,0.522	0.006
0.022,0.086	0.078,0.0	0.015
1.0,1.0	1.0,0.974	0.013
0.01,0.009	0.011,0.011	-0.001
0.919,1.0	1.0,1.0	-0.04
0.061,0.0	0.0,0.125	-0.032
0.106,0.223	0.437,0.381	-0.245
0.115,0.055	0.0,0.0	0.085
0.008,0.006	0.005,0.0	0.005
0.007,0.002	0.003,0.0	0.003
0.907,1.0	0.965,0.87	0.036
0.005,0.003	0.018,0.006	-0.008
0.888,0.871	0.565,0.274	0.46
0.996,1.0	1.0,1.0	-0.002
0.74,0.758	0.812,0.748	-0.031
0.998,0.999	0.993,0.995	0.004
1.0,1.0	1.0,0.979	0.01
1.0,1.0	1.0,0.913	0.043
0.116,0.023	0.208,0.0	-0.034
0.703,0.708	1.0,1.0	-0.294
0.164,0.248	0.274,0.439	-0.151
0.004,0.001	0.004,0.0	0.001
0.102,0.1	0.045,0.076	0.041
0.97,0.956	0.981,0.979	-0.017
0.0,0.0	0.107,0.0	-0.053
0.0,0.082	0.068,0.0	0.007
0.003,0.01	0.017,0.01	-0.007
0.69,0.661	0.235,0.366	0.375
0.045,0.033	0.012,0.048	0.009
0.129,0.079	0.17,0.208	-0.085
0.207,0.263	0.061,0.091	0.159
0.001,0.0	0.0,0.0	0.001
0.032,0.017	0.067,0.178	-0.098
0.322,0.462	0.583,0.44	-0.119
0.019,0.016	0.01,0.015	0.005
0.003,0.009	0.01,0.007	-0.003
0.014,0.038	0.0,0.016	0.018
0.112,0.142	0.043,0.032	0.089
0.304,0.463	0.12,0.577	0.035
0.864,0.83	0.944,1.0	-0.125
0.74,0.677	0.381,0.532	0.252
0.001,0.001	0.002,0.003	-0.002
0.996,0.99	0.995,0.996	-0.003
0.524,0.287	0.706,0.868	-0.381
0.566,0.546	0.715,0.659	-0.131
1.0,0.878	0.339,0.204	0.667
