ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	6,3	11,11	0,0	5,1	175	99	0.408380742387	1.0	0.236,0.134	0.0,0.0	0.185
1	180,147	411,378	78,55	330,184	198	99	1	1.0	0.18,0.163	0.106,0.13	0.053
2	77,56	440,436	42,27	273,176	198	99	1	1.0	0.08,0.06	0.071,0.071	-0.001
3	9,14	47,20	12,4	14,7	177	99	0.790116502739	1.0	0.097,0.281	0.324,0.242	-0.094
4	78,51	204,168	37,11	119,76	198	99	1	1.0	0.16,0.132	0.135,0.067	0.045
5	25,26	230,183	10,17	115,58	196	99	1	1.0	0.052,0.067	0.042,0.129	-0.026
6	20,46	10,22	24,15	9,9	198	99	1	1.0	0.5,0.511	0.571,0.455	-0.007
7	54,45	4,8	26,20	2,5	191	99	1	1.0	0.875,0.745	0.871,0.675	0.037
8	965,614	190,162	442,201	127,75	188	99	1	1.0	0.728,0.666	0.647,0.585	0.081
9	26,3	0,1	22,4	2,2	192	99	0.488232831001	1.0	1.0,0.607	0.85,0.508	0.124
10	260,286	726,725	114,120	521,339	178	99	1	1.0	0.166,0.18	0.108,0.164	0.037
11	322,287	5409,4792	275,161	4030,2524	162	99	1	1.0	0.035,0.035	0.04,0.038	-0.004
12	71,57	85,135	40,30	67,33	198	99	1	1.0	0.295,0.174	0.23,0.312	-0.037
13	176,100	678,546	87,33	425,222	175	99	1	1.0	0.128,0.094	0.104,0.078	0.02
14	6,5	75,80	8,1	37,17	182	99	1	1.0	0.042,0.033	0.105,0.031	-0.03
15	39,37	76,87	19,15	37,23	196	99	1	1.0	0.206,0.177	0.206,0.248	-0.035
16	5,19	92,75	6,6	46,26	197	99	1	1.0	0.027,0.113	0.062,0.104	-0.013
17	219,174	13,29	77,52	23,10	198	99	0.318862353801	1.0	0.894,0.75	0.626,0.722	0.148
18	0,3	103,127	0,1	69,37	198	99	1	1.0	0.0,0.012	0.0,0.013	-0.0
19	70,54	140,156	36,28	74,43	182	99	1	1.0	0.214,0.158	0.209,0.262	-0.049
20	4,12	108,83	3,10	69,39	198	99	1	1.0	0.018,0.067	0.021,0.114	-0.025
21	5,0	37,31	5,3	18,15	175	99	1	1.0	0.071,0.0	0.136,0.102	-0.083
22	28,22	266,219	11,14	145,79	198	99	1	1.0	0.05,0.048	0.037,0.081	-0.01
23	6,0	26,15	2,3	9,5	194	99	1	1.0	0.105,0.0	0.102,0.234	-0.116
24	7,10	18,14	7,1	11,2	165	99	1	1.0	0.189,0.3	0.276,0.231	-0.009
