ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	6,3	11,11	0,0	5,1	175	99	0.408380742387	1.0
1	180,147	411,378	78,55	330,184	198	99	1	1.0
2	77,56	440,436	42,27	273,176	198	99	1	1.0
3	9,14	47,20	12,4	14,7	177	99	0.790116502739	1.0
4	78,51	204,168	37,11	119,76	198	99	1	1.0
5	25,26	230,183	10,17	115,58	196	99	1	1.0
6	20,46	10,22	24,15	9,9	198	99	1	1.0
7	54,45	4,8	26,20	2,5	191	99	1	1.0
8	965,614	190,162	442,201	127,75	188	99	1	1.0
9	26,3	0,1	22,4	2,2	192	99	0.488232831001	1.0
10	260,286	726,725	114,120	521,339	178	99	1	1.0
11	322,287	5409,4792	275,161	4030,2524	162	99	1	1.0
12	71,57	85,135	40,30	67,33	198	99	1	1.0
13	176,100	678,546	87,33	425,222	175	99	1	1.0
14	6,5	75,80	8,1	37,17	182	99	1	1.0
15	39,37	76,87	19,15	37,23	196	99	1	1.0
16	5,19	92,75	6,6	46,26	197	99	1	1.0
17	219,174	13,29	77,52	23,10	198	99	0.318862353801	1.0
18	0,3	103,127	0,1	69,37	198	99	1	1.0
19	70,54	140,156	36,28	74,43	182	99	1	1.0
20	4,12	108,83	3,10	69,39	198	99	1	1.0
21	5,0	37,31	5,3	18,15	175	99	1	1.0
22	28,22	266,219	11,14	145,79	198	99	1	1.0
23	6,0	26,15	2,3	9,5	194	99	1	1.0
24	7,10	18,14	7,1	11,2	165	99	1	1.0
26	131,97	126,118	102,52	61,50	198	99	1	1.0
27	15,16	425,444	15,7	288,154	181	99	1	1.0
28	12,22	0,0	33,15	0,1	191	99	1	1.0
29	88,78	3639,3295	55,25	1829,1189	174	99	1	1.0
30	53,41	3560,3448	13,15	1833,1185	190	99	1	1.0
31	9,21	284,205	4,8	176,92	187	99	1	1.0
32	185,147	7,5	108,106	1,5	198	99	1	1.0
33	304,198	1,0	188,141	0,0	198	99	1	1.0
34	9,12	47,26	60,68	20,7	198	99	4.51345549823e-09	1.0031961942512348e-06
35	105,96	756,655	91,69	401,250	180	99	1	1.0
36	20,18	88,75	11,1	36,26	198	99	1	1.0
37	10,3	122,123	3,1	60,40	171	99	1	1.0
40	33,54	403,332	22,9	238,138	170	99	1	1.0
41	312,314	30,33	133,88	9,12	177	99	1	1.0
43	24,11	21,18	9,10	15,8	196	99	1	1.0
44	22,15	22,13	19,7	30,5	172	99	1	1.0
45	11,2	7,5	0,0	2,2	177	99	0.0154073597593	0.41288356426014866
