IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
6,3	11,11	0,0	5,1	175	99
180,147	411,378	78,55	330,184	198	99
77,56	440,436	42,27	273,176	198	99
9,14	47,20	12,4	14,7	177	99
78,51	204,168	37,11	119,76	198	99
25,26	230,183	10,17	115,58	196	99
20,46	10,22	24,15	9,9	198	99
54,45	4,8	26,20	2,5	191	99
965,614	190,162	442,201	127,75	188	99
26,3	0,1	22,4	2,2	192	99
260,286	726,725	114,120	521,339	178	99
322,287	5409,4792	275,161	4030,2524	162	99
71,57	85,135	40,30	67,33	198	99
176,100	678,546	87,33	425,222	175	99
6,5	75,80	8,1	37,17	182	99
39,37	76,87	19,15	37,23	196	99
5,19	92,75	6,6	46,26	197	99
219,174	13,29	77,52	23,10	198	99
0,3	103,127	0,1	69,37	198	99
70,54	140,156	36,28	74,43	182	99
4,12	108,83	3,10	69,39	198	99
5,0	37,31	5,3	18,15	175	99
28,22	266,219	11,14	145,79	198	99
6,0	26,15	2,3	9,5	194	99
7,10	18,14	7,1	11,2	165	99
131,97	126,118	102,52	61,50	198	99
15,16	425,444	15,7	288,154	181	99
12,22	0,0	33,15	0,1	191	99
88,78	3639,3295	55,25	1829,1189	174	99
53,41	3560,3448	13,15	1833,1185	190	99
9,21	284,205	4,8	176,92	187	99
185,147	7,5	108,106	1,5	198	99
304,198	1,0	188,141	0,0	198	99
9,12	47,26	60,68	20,7	198	99
105,96	756,655	91,69	401,250	180	99
20,18	88,75	11,1	36,26	198	99
10,3	122,123	3,1	60,40	171	99
33,54	403,332	22,9	238,138	170	99
312,314	30,33	133,88	9,12	177	99
24,11	21,18	9,10	15,8	196	99
22,15	22,13	19,7	30,5	172	99
11,2	7,5	0,0	2,2	177	99
17,5	26,9	0,0	5,1	198	99
15,3	6,0	0,0	1,0	198	99
12,2	36,9	0,0	5,1	198	99
143,109	683,665	43,19	358,212	198	99
452,381	2,6	288,149	6,4	190	99
25,9	1,3	11,5	0,0	198	99
18,3	14,12	10,3	7,5	198	99
11,3	2,0	5,4	3,0	198	99
223,190	0,1	122,110	0,0	195	99
45,24	50,35	24,6	27,15	197	99
82,76	631,596	85,51	310,186	198	99
78,60	390,295	67,49	164,119	197	99
23,9	59,55	10,11	58,22	198	99
34,37	62,67	17,28	52,20	198	99
23,19	121,98	73,44	45,15	191	99
9,11	91,43	25,6	35,17	198	99
24,4	14,15	3,2	8,5	165	99
36,13	87,70	4,5	63,30	177	99
75,75	53,83	28,19	22,29	198	99
31,35	50,46	14,11	21,10	198	99
2,0	2,0	0,0	0,3	175	99
86,69	49,38	52,29	45,14	198	99
47,37	262,314	36,13	159,95	198	99
55,51	3,0	32,11	0,0	198	99
10,10	170,192	3,8	107,70	198	99
20,10	186,131	26,11	61,31	194	99
44,46	166,177	18,8	74,41	178	99
0,1	234,189	0,0	63,58	180	99
52,47	63,60	21,10	31,15	198	99
91,72	214,202	35,25	133,105	197	99
215,83	0,2	66,24	0,0	198	99
99,71	357,370	56,56	152,143	185	99
757,715	277,249	415,242	190,97	178	99
7,7	69,58	5,5	18,29	198	99
0,5	4,10	0,0	2,2	198	99
16,12	77,59	14,12	76,36	194	99
29,11	111,79	24,16	123,47	198	99
32,21	100,58	12,7	36,25	198	99
27,31	4,4	20,2	0,0	173	99
32,13	290,266	21,10	182,116	177	99
0,1	0,0	5,4	1,1	198	99
217,115	171,169	115,45	119,78	198	99
9,12	138,133	4,1	27,18	198	99
8,12	282,226	2,1	99,75	198	99
30,42	31,48	25,6	1,7	198	99
460,266	6872,5643	284,165	3703,2399	176	99
914,764	23,16	510,383	7,5	184	99
24,36	125,94	30,35	80,58	198	99
3810,2511	35,18	2829,1335	22,10	152	99
1870,1429	419,311	1086,496	247,91	189	99
34,21	168,187	26,12	98,64	198	99
29,17	18,13	19,10	17,1	198	99
2,1	32,16	0,0	8,9	179	99
45,15	10,16	24,9	8,3	188	99
349,194	247,169	80,57	167,89	198	99
3,1	14,22	2,0	2,8	198	99
22,30	56,54	13,13	34,25	178	99
6,5	44,73	6,5	41,26	198	99
57,59	15,14	27,29	6,8	196	99
18,13	77,88	17,4	52,28	190	99
17,10	365,357	8,7	153,110	198	99
14,4	129,101	7,1	47,33	172	99
102,88	144,121	75,50	71,22	198	99
86,95	140,105	33,31	29,57	198	99
84,79	15,7	36,33	13,7	198	99
77,53	114,120	35,23	44,50	198	99
72,53	3,0	33,28	1,0	197	99
406,310	72,54	248,128	28,15	178	99
12,6	76,47	2,8	43,23	198	99
32,14	43,22	28,19	18,13	198	99
1,1	9,21	0,0	6,8	181	99
92,87	72,73	66,38	85,53	198	99
40,45	132,123	96,58	138,64	198	99
255,189	40,34	116,107	4,6	198	99
121,116	580,579	74,55	239,185	194	99
28,12	63,48	15,10	18,19	198	99
29,12	49,51	15,11	26,15	198	99
59,57	343,322	43,27	202,117	198	99
3,8	16,10	4,8	0,1	198	99
43,33	5,5	21,9	0,1	198	99
21,19	1,3	2,9	0,0	198	99
42,36	0,0	11,12	5,0	198	99
11,4	17,24	15,2	17,16	183	99
50,55	15,15	21,13	14,5	198	99
14,4	17,37	6,7	12,6	198	99
29,19	27,43	11,9	23,14	198	99
32,24	34,25	19,9	7,8	177	99
4,6	41,27	0,1	25,16	177	99
25,17	49,32	4,2	19,17	168	99
0,2	26,12	16,14	23,8	198	99
3,3	53,36	12,5	49,24	198	99
18,13	225,229	14,8	156,103	174	99
8,7	9,16	0,0	6,5	198	99
10,6	18,13	0,1	10,5	198	99
14,15	12,7	7,5	5,1	198	99
191,214	480,389	108,59	216,145	198	99
6,0	2,1	1,1	0,0	165	99
28,24	282,162	10,11	138,76	181	99
86,80	467,418	85,30	279,141	198	99
19,10	2,2	7,6	1,0	198	99
25,23	4,1	14,9	0,0	198	99
44,32	3,7	27,4	5,4	181	99
93,87	416,361	85,54	417,241	198	99
116,98	2,2	72,79	5,1	198	99
48,40	80,113	42,26	52,45	198	99
48,47	0,0	55,25	2,1	198	99
48,40	111,135	49,23	56,43	198	99
152,146	6,8	109,68	1,5	198	99
1371,991	18,10	1080,579	17,7	198	99
1384,974	17,27	1128,561	11,18	198	99
39,28	109,93	27,8	66,37	198	99
26,20	11,11	18,4	7,2	198	99
44,50	111,130	14,23	31,23	178	99
86,67	270,242	93,64	145,93	198	99
43,58	298,211	93,60	149,93	192	99
3,1	197,137	3,1	90,45	195	99
6,6	7,5	1,1	9,8	189	99
16,6	61,56	2,8	15,32	196	99
61,66	260,195	33,34	111,87	182	99
71,72	35,52	59,24	36,16	198	99
47,49	141,177	16,23	98,71	198	99
13,8	288,143	45,28	313,217	185	99
7,13	110,88	7,2	47,24	186	99
24,12	131,133	4,3	88,64	187	99
24,30	1,1	17,10	0,3	195	99
20,23	119,111	23,6	77,60	198	99
45,46	97,49	45,34	45,15	189	99
34,27	50,62	33,35	41,16	191	99
5,3	33,29	9,9	51,24	192	99
21,40	59,49	7,8	46,15	198	99
64,63	7,26	20,18	10,6	189	99
20,7	126,129	1,2	91,53	172	99
165,205	5,9	78,78	7,5	183	99
0,2	1,3	1,0	0,0	190	99
2,5	4,6	5,5	4,3	198	99
2,2	2,8	0,8	10,4	174	99
9,17	191,184	0,0	42,44	171	99
9,13	195,163	7,10	111,60	198	99
0,2	14,211	0,0	8,4	198	99
6,6	79,104	7,2	38,15	186	99
35,45	83,78	9,10	52,14	197	99
5,7	12,26	2,3	11,3	189	99
17,14	20,27	9,10	7,1	168	99
21,13	23,21	10,6	7,7	198	99
64,40	558,408	26,10	317,167	198	99
3,12	169,188	1,2	75,50	198	99
21,26	415,375	18,6	206,95	196	99
549,585	151,114	359,187	121,48	168	99
152,136	0,0	110,67	4,0	198	99
54,44	1299,1163	44,18	820,498	198	99
28,32	56,43	4,2	9,4	198	99
15,13	146,107	3,6	44,30	198	99
182,186	5980,6523	85,58	4216,2768	198	99
22,7	3,2	10,6	2,1	198	99
12,24	13,3	7,4	9,0	198	99
13,13	183,140	4,1	77,46	173	99
18,11	139,96	7,2	84,43	198	99
35,11	91,87	8,4	40,21	187	99
22,19	65,79	7,8	30,28	198	99
47,27	46,43	8,19	23,19	187	99
60,77	12,9	42,38	9,2	198	99
152,181	5,4	95,83	1,1	198	99
187,222	38,26	132,106	19,19	195	99
338,373	8,18	251,205	4,3	168	99
163,101	1636,1136	83,40	734,453	198	99
3,1	36,19	3,1	10,9	186	99
20,7	20,5	10,12	4,2	185	99
13,9	849,634	28,19	286,185	198	99
26,10	62,49	10,6	36,27	198	99
25,29	80,67	71,30	44,25	168	99
20,6	50,38	15,10	7,10	185	99
