ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	39,40	40,65	22,11	41,20	182	99	1
1	32,28	0,2	34,10	0,0	198	99	1
2	11,14	145,154	8,3	105,59	128	99	1
3	499,458	40,46	418,191	16,10	108	99	1
4	717,739	20,43	512,299	31,12	105	99	1
6	233,239	0,6	150,68	0,0	105	99	1
7	88,90	0,0	48,29	0,1	102	99	1
8	201,218	0,0	127,64	2,0	109	99	1
10	1005,1309	2,1	704,348	2,0	103	99	1
11	59,44	7,14	27,14	2,0	132	99	0.0741033057456
12	97,107	0,2	51,28	0,0	150	99	1
13	35,22	214,262	15,12	166,78	110	99	1
14	11,1	339,424	9,4	187,117	198	99	1
15	473,453	3,1	382,189	3,1	104	99	1
17	781,884	4,12	709,374	5,2	106	99	1
18	21,12	99,72	6,2	50,26	102	99	1
19	109,69	12,9	38,12	5,10	107	99	0.653122550187
21	344,340	10,10	218,120	10,0	117	99	1
22	214,257	2,4	137,97	3,1	102	99	1
23	6,6	8,1	2,2	0,0	111	99	0.0344886876656
25	3140,3659	424,556	3490,1808	835,431	105	99	1
26	24,6	17,26	8,2	7,4	108	99	1
27	18,24	70,70	15,8	62,30	111	99	1
28	24,12	127,143	26,25	76,46	120	99	0.135529090796
29	37,39	26,25	37,39	34,23	198	99	1
30	38,43	154,167	37,41	84,52	198	99	0.734716741971
31	27,29	154,167	34,25	84,52	111	99	0.253935413202
33	9,9	181,186	2,4	130,65	198	99	1
34	52,34	38,60	20,11	32,15	106	99	1
36	154,214	11,8	114,71	7,4	102	99	1
37	14,13	75,79	25,6	106,47	136	99	1
38	174,200	4,5	126,71	2,2	102	99	1
39	32,35	26,25	18,2	10,9	119	99	0.770590977214
43	78,92	336,366	74,37	236,159	186	99	1
44	206,229	13,14	86,43	15,3	130	99	1
45	5,4	16,11	3,0	13,9	109	99	0.500984696483
46	13,10	26,38	9,4	17,10	114	99	1
47	3,1	45,45	0,0	29,18	116	99	1
48	16,16	36,23	10,5	25,13	117	99	1
49	129,168	7,7	84,70	6,7	198	99	1
50	52,48	7,7	24,20	6,7	198	99	0.560109949168
51	20,12	78,120	10,3	60,50	140	99	1
52	100,79	0,0	59,29	5,0	102	99	1
54	233,170	1,0	198,79	0,0	198	99	1
55	33,51	34,48	54,15	33,19	102	99	1
56	25,26	2,3	12,7	0,0	198	99	0.569976338459
57	24,21	4,0	7,7	4,0	193	99	0.911133740256
58	28,14	1,0	19,13	1,0	177	99	1
59	10,2	23,25	11,3	5,6	102	99	0.092024384471
62	59,54	15,32	35,16	26,16	102	99	0.381948307394
63	1757,1519	0,0	1361,636	3,2	104	99	1
64	10,19	2,9	8,4	5,1	198	99	1
65	37,55	41,43	26,10	38,14	198	99	1
69	147,190	3,6	90,80	1,2	114	99	1
71	280,288	53,53	188,119	24,14	102	99	1
72	60,68	4,5	21,13	1,1	160	99	1
75	2,8	11,7	3,3	4,1	108	99	0.513980163277
76	7,2	5,4	0,1	3,1	108	99	0.00664921552932
77	20,31	2,3	25,5	1,0	102	99	1
78	17,19	3,1	11,4	1,0	161	99	1
80	20,46	10,19	58,26	25,12	184	99	1
81	127,163	1,0	108,54	0,1	198	99	1
82	119,80	22,27	116,50	16,18	120	99	1
84	267,266	5,4	246,121	29,8	198	99	0.227693919612
85	15,14	73,73	15,5	34,15	102	99	0.790254436407
86	6,2	142,177	8,5	94,49	115	99	1
87	408,414	124,143	265,144	67,46	102	99	1
88	459,421	106,139	309,136	76,40	102	99	1
90	256,248	40,55	157,93	33,26	114	99	1
91	68,49	0,1	31,17	0,0	114	99	1
92	2,0	111,146	7,4	93,62	198	99	1
93	1,3	3,2	6,3	10,0	132	99	0.442771750309
94	26,23	331,416	17,15	241,160	108	99	1
95	2,12	62,82	3,11	68,37	117	99	1
96	1734,1769	6,0	1417,642	0,0	103	99	1
97	257,252	742,1009	116,74	538,310	182	99	1
99	135,196	23,31	85,58	16,10	180	99	1
100	9,10	80,116	4,0	106,30	113	99	1
102	91,94	117,157	113,70	97,45	106	99	0.157215528465
103	331,352	0,4	278,108	1,2	198	99	1
104	0,2	318,389	3,1	276,135	132	99	1
105	735,746	32,22	558,272	14,10	111	99	1
107	213,190	5,7	99,67	1,1	122	99	1
108	100,124	4301,4536	102,34	4114,2133	108	99	1
109	5947,6887	1,0	5417,2963	0,0	198	99	1
110	19,12	6,5	14,5	3,0	114	99	0.333379620741
111	0,1	19,15	0,0	13,6	115	99	1
112	127,155	1,4	135,66	0,1	198	99	1
113	11,3	12,22	0,0	7,5	102	99	0.0575526583603
114	32,21	0,1	15,6	1,2	134	99	1
116	30,20	9,12	20,7	16,1	108	99	1
117	77,64	0,1	48,33	2,0	134	99	1
118	127,127	0,4	63,33	0,0	198	99	1
121	211,178	5,1	121,88	1,1	172	99	1
122	5,3	65,42	4,0	28,25	120	99	1
123	6,5	377,404	0,3	401,205	135	99	1
124	64969,75447	652,616	67094,35634	674,308	120	99	1
125	97,66	2,3	20,23	6,0	156	99	1
127	6,10	26,31	3,4	20,10	198	99	1
128	53,52	26,31	48,30	20,10	198	99	1
130	64,67	30,33	73,35	50,22	198	99	1
131	61,53	42,61	36,39	57,34	198	99	1
132	27,29	2,1	28,14	4,1	116	99	1
133	17,32	769,792	15,10	608,316	198	99	1
135	249,354	9,24	189,111	13,14	198	99	1
136	97,60	728,644	63,16	624,281	118	99	1
137	86,105	58,69	40,22	33,21	104	99	1
138	6,9	224,230	1,3	219,149	198	99	1
140	3,2	9,3	1,0	3,2	102	99	0.244316440183
141	1292,1566	1,1	1167,631	0,0	127	99	1
142	5,0	0,0	3,0	1,0	104	99	1
143	1,0	30,40	0,1	19,9	111	99	1
144	38,48	192,249	34,24	173,112	198	99	1
146	51,70	8,7	65,17	1,5	102	99	1
147	4,7	268,230	3,1	158,50	147	99	1
148	403,507	105,137	341,196	66,65	159	99	1
149	4909,6328	5,7	5347,2366	8,1	168	99	1
150	225,235	15,17	84,48	15,5	121	99	1
151	17,23	2,2	17,3	6,2	108	99	0.283130434586
152	15,11	17,16	10,3	19,2	107	99	1
154	17,22	1,0	14,7	0,0	198	99	1
156	10,9	1,5	9,5	1,0	111	99	0.281982819634
157	208,231	70,73	238,105	53,41	198	99	1
158	19,21	118,117	8,3	97,61	129	99	1
159	39,36	0,0	18,6	1,0	108	99	1
160	6,1	73,81	5,1	50,22	198	99	1
161	0,6	71,100	0,0	38,34	159	99	1
162	104,92	0,1	39,18	0,0	108	99	1
163	39,66	32,32	24,19	14,10	114	99	1
164	81,75	0,0	70,35	1,1	112	99	1
165	10,21	118,185	10,8	104,59	111	99	1
166	86,125	7,10	50,29	8,3	160	99	1
167	304,334	13,22	312,177	18,8	138	99	1
168	32,44	63,82	35,5	75,40	116	99	0.886205558875
170	50,61	311,306	30,19	182,134	102	99	1
171	5,12	119,113	2,2	73,43	198	99	1
172	33,80	1,0	48,38	0,4	106	99	1
173	538,728	49,52	364,241	53,33	198	99	1
174	136,145	12,8	90,34	8,4	102	99	1
175	13,14	122,222	13,3	122,87	140	99	1
177	149,138	4,4	128,66	6,7	102	99	1
178	120,139	0,1	98,45	0,0	111	99	1
179	233,247	12,5	168,96	2,4	198	99	1
180	20,13	2,1	6,1	2,2	121	99	0.221822589746
181	1436,1158	37,15	1013,402	8,6	102	99	1
184	349,396	73,82	251,139	64,25	114	99	1
185	264,291	0,1	212,113	0,0	106	99	1
186	13,19	80,88	7,8	46,16	159	99	1
187	383,506	0,0	460,228	1,0	102	99	1
189	41,55	1,0	37,14	0,0	102	99	1
190	7,4	0,6	7,4	2,0	105	99	0.472314838022
191	6,3	1,2	10,5	6,2	128	99	0.590321955183
192	299,241	2,1	209,109	5,2	105	99	1
193	10,3	153,131	10,6	104,52	126	99	1
194	53,82	78,86	41,25	84,44	109	99	0.892936497783
195	18,23	153,181	8,7	112,77	132	99	1
196	598,561	25,28	493,235	32,20	111	99	1
198	95,92	48,40	76,27	16,16	113	99	1
199	14,17	122,117	9,3	109,44	118	99	1
200	87,109	444,441	54,44	327,166	198	99	1
202	107,118	47,57	96,62	24,9	152	99	0.132579383103
204	49,47	0,0	20,15	8,0	106	99	0.723988243656
205	77,65	0,0	52,27	8,0	112	99	1
206	30,23	2,5	35,13	3,1	105	99	1
207	4,2	476,441	5,2	323,184	198	99	1
208	12,10	31,12	8,0	17,1	113	99	0.963383518341
209	4,13	66,62	3,0	37,14	102	99	1
212	12,26	595,625	10,1	376,189	102	99	1
213	18,14	11,7	5,7	7,8	120	99	0.333432189209
214	92,69	80,90	18,15	84,36	102	99	0.00423063870304
215	299,303	6,10	209,83	5,1	110	99	1
216	116,139	947,1057	167,104	615,347	102	99	0.765555668245
217	24,21	1320,1320	21,12	1007,528	123	99	1
218	71,66	6,4	44,36	2,3	111	99	1
220	26,19	9,12	22,11	10,3	102	99	1
221	19,13	487,472	6,6	401,183	198	99	1
222	25,23	92,87	61,17	151,46	102	99	1
223	209,191	146,171	128,66	146,84	102	99	0.948967057894
225	10,17	383,430	16,9	300,153	102	99	1
226	8,11	533,512	9,8	324,170	130	99	1
227	6,5	35,30	3,1	28,9	102	99	1
228	21,38	135,151	17,10	85,54	153	99	1
229	59,95	135,151	52,26	85,54	174	99	1
230	40,60	2,3	38,16	2,0	120	99	1
231	79,80	32,31	58,21	18,7	102	99	1
232	69,65	112,140	34,13	113,62	108	99	0.376788251154
