ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3	1,1	184,234	5,0	150,66	180	99	1	1.0
4	2,6	1,2	6,3	4,2	158	99	0.750946696385	1.0
5	1,0	7,16	0,0	4,1	120	99	1	1.0
7	0,0	23,24	1,0	11,20	150	99	1	1.0
8	128,81	13,10	119,63	14,7	134	99	1	1.0
9	118,76	0,0	109,61	1,0	134	99	1	1.0
10	3,0	339,424	9,4	187,117	198	99	1	1.0
11	2,0	746,854	1,0	676,357	106	99	1	1.0
14	268,360	1,0	251,91	1,2	198	99	1	1.0
16	9,8	10,12	5,2	10,1	192	99	1	1.0
17	4,4	14,12	3,0	16,5	198	99	1	1.0
19	2,0	14,12	2,0	16,5	134	99	1	1.0
20	52,47	2,0	30,12	0,0	105	99	1	1.0
21	6,1	124,92	4,0	51,33	198	99	1	1.0
22	263,351	31,38	226,112	37,14	120	99	1	1.0
23	44,44	31,38	47,20	37,14	186	99	1	1.0
24	5,7	224,314	4,3	183,95	165	99	1	1.0
25	84,116	0,2	49,41	0,0	198	99	1	1.0
26	9,10	1,3	7,7	1,1	103	99	1	1.0
27	83,73	5,0	55,26	0,0	102	99	1	1.0
28	5,4	83,82	0,2	60,12	198	99	1	1.0
30	232,155	1,0	61,37	0,0	198	99	1	1.0
31	892,831	8,10	634,303	0,0	111	99	1	1.0
32	14,22	41,50	7,8	23,17	129	99	1	1.0
33	4,3	265,301	3,5	178,104	198	99	1	1.0
34	14,17	147,187	17,6	113,64	138	99	1	1.0
35	1,6	87,98	4,4	61,37	198	99	1	1.0
36	2,2	168,207	2,4	124,90	198	99	1	1.0
37	4,3	36,16	0,0	7,6	111	99	1	1.0
38	153,136	7,7	97,70	6,7	198	99	1	1.0
39	3,1	409,326	3,1	326,128	138	99	1	1.0
40	88,44	7,13	25,16	0,1	198	99	0.0115456876983	0.19779919913900768
41	213,276	8,10	176,92	5,1	111	99	1	1.0
43	11,21	281,253	23,17	309,153	198	99	1	1.0
44	33,13	293,281	17,9	161,83	127	99	1	1.0
45	65,62	221,193	41,36	125,64	198	99	1	1.0
46	2,3	187,270	1,1	197,117	107	99	1	1.0
