ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	128,135	93,117	128,65	87,41	167	146	1
1	106,134	20,16	100,34	10,7	198	169	1
2	14,19	143,92	18,10	74,36	180	180	1
3	1,3	3,2	2,0	0,2	198	198	1
5	97,133	213,287	78,29	163,71	144	198	1
6	90,72	70,67	68,37	55,26	147	146	1
8	775,817	86,59	593,265	52,31	166	117	1
9	700,712	305,358	519,318	253,141	149	133	1
10	96,102	136,95	47,40	83,47	180	180	1
11	94,103	125,135	43,24	84,44	180	180	1
12	5,7	201,224	8,6	198,77	198	182	1
13	109,151	201,224	89,43	198,77	167	182	1
14	57,85	98,90	38,25	72,32	138	156	1
15	18,23	72,89	17,10	60,39	198	198	1
16	269,291	142,215	269,132	119,85	198	172	1
17	1669,1734	1678,1700	1523,755	1444,691	177	198	1
18	51,63	91,98	62,32	92,43	151	198	1
19	75,96	31,58	88,50	12,10	198	198	0.020339630215
20	150,173	293,300	131,43	228,87	148	175	1
21	92,107	143,171	82,62	157,103	147	168	1
22	24,26	112,88	23,8	134,78	119	152	1
23	234,273	235,224	130,107	186,86	197	175	1
24	116,188	247,272	158,84	278,125	170	198	1
25	51,45	109,108	55,16	96,47	158	198	1
27	394,449	479,585	502,246	802,413	198	198	1
28	146,123	86,102	100,49	61,44	198	198	1
29	40,57	100,116	38,15	80,33	143	198	1
30	494,559	528,620	590,321	541,308	198	198	1
31	41,42	39,38	31,16	24,6	198	171	0.899167890691
33	90,69	92,107	65,36	85,56	159	159	1
34	255,300	8,19	372,176	10,9	198	198	1
35	6,5	8,12	6,6	4,6	192	192	0.420222931229
36	1,1	89,84	1,0	54,19	125	198	1
37	173,165	195,211	156,94	161,86	159	177	1
38	25,34	19,33	11,5	17,4	165	160	1
39	75,80	74,53	26,26	34,26	198	197	1
40	43,71	80,99	55,38	53,19	198	176	0.183410744577
41	218,287	515,542	200,116	403,207	131	198	1
42	57,35	274,295	46,29	230,120	198	162	1
43	27,22	371,488	57,37	351,198	133	162	0.704262030832
44	174,218	200,206	183,113	189,105	162	152	1
45	160,131	265,290	85,47	143,91	198	197	1
46	0,3	20,36	8,2	16,10	198	198	0.100562680805
47	181,199	176,186	215,107	179,109	198	184	1
48	144,196	118,172	254,113	169,87	198	198	1
49	229,183	367,367	120,59	361,181	162	159	0.715677326683
50	97,97	87,102	102,44	59,42	198	158	1
51	4,17	8,15	3,2	5,3	159	159	1
52	2088,2460	3324,3475	1707,814	2791,1324	159	192	1
53	41,64	18,31	21,18	10,4	198	107	1
54	52,56	18,31	43,27	10,4	198	107	0.227381025908
55	68,75	18,31	42,28	10,4	198	107	0.680405097852
56	270,328	579,556	173,77	410,179	153	198	1
58	202,280	291,309	187,87	258,141	167	198	1
59	56,53	128,100	30,14	67,54	135	183	1
60	1,1	128,100	1,2	67,54	150	183	1
61	101,120	69,72	73,33	35,15	180	138	1
62	75,56	111,64	55,26	76,38	140	164	1
64	15,16	1,4	7,3	3,0	198	198	1
65	128,135	203,208	128,76	207,107	168	198	1
66	3955,3882	3180,3149	2936,1394	2317,1203	198	198	1
67	2270,2359	2351,2789	1506,747	1647,903	183	198	1
68	1052,1189	1861,2238	1090,624	2000,1245	137	198	1
70	0,1	0,4	4,0	0,0	198	198	1
71	121,156	118,114	153,98	61,31	139	146	0.0274133225558
72	139,118	215,197	97,55	176,52	141	161	1
74	65,92	107,95	53,18	49,15	198	198	1
76	45,28	166,200	10,6	146,69	198	192	1
77	13,22	0,6	5,1	2,0	164	152	1
78	219,271	125,156	166,87	121,52	198	165	1
79	1113,1327	1149,1390	1118,456	1033,521	147	147	1
80	1378,1654	1446,1663	1239,619	1290,649	165	168	1
81	669,786	1,0	566,298	1,0	147	147	1
82	670,790	1042,1279	566,294	1014,446	147	147	1
83	667,785	943,1161	564,294	839,407	147	147	1
84	667,786	696,958	564,294	681,332	147	147	1
85	1041,1190	1067,1364	850,419	1002,473	165	165	1
87	631,694	244,314	717,262	257,126	198	156	1
88	2,5	42,66	0,0	31,21	158	198	1
89	1707,2151	1600,2020	1357,773	1297,766	183	157	1
