IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3357,3646	3,9	2434,1228	3,0	188	99
38,33	0,2	26,14	0,0	165	99
235,241	2,0	259,127	1,0	198	99
6544,7302	1,0	6398,3158	0,0	177	99
192,157	0,0	122,57	3,1	140	99
49,34	0,0	25,17	1,0	149	99
149,231	0,2	105,63	0,0	188	99
944,881	1,0	752,385	0,0	160	99
810,863	0,0	690,328	0,1	179	99
923,979	0,0	789,421	0,1	180	99
4,2	48,49	1,1	28,19	120	99
1433,1907	0,2	926,429	0,0	163	99
197,251	116,98	63,34	95,67	157	99
1014,985	12,0	694,300	6,3	198	99
11,10	6,0	26,6	3,12	198	99
286,232	1,0	139,51	0,0	182	99
92,122	2,0	88,64	0,1	198	99
506,483	1,6	378,162	0,1	198	99
390,315	0,0	222,134	0,2	198	99
2,0	6,13	0,0	4,0	198	99
292,292	4,1	239,130	2,0	169	99
47,56	0,0	30,13	2,0	198	99
431,416	0,4	236,139	0,0	198	99
96,103	1,0	61,24	1,2	152	99
109,126	1,0	89,35	1,2	155	99
16,25	5,2	2,2	0,0	161	99
2,3	0,0	0,0	1,1	198	99
10,4	0,0	7,3	1,1	147	99
64,107	1,2	34,17	0,0	136	99
10249,11799	1,0	7664,3729	0,0	173	99
845,938	0,0	697,330	0,3	154	99
720,856	0,1	670,321	0,0	145	99
278,367	0,0	229,158	1,1	146	99
311,381	0,1	270,184	0,0	167	99
156,170	0,2	83,66	0,0	186	99
297,304	1,1	184,103	0,1	188	99
5158,5246	2,0	3392,1814	0,0	142	99
6,7	93,88	7,4	69,33	128	99
14,14	93,88	13,10	69,33	132	99
215,246	0,0	196,87	3,0	197	99
744,846	1,6	462,275	0,1	167	99
412,429	1,6	215,159	0,1	173	99
1189,1473	1,0	835,413	0,0	148	99
691,576	0,1	525,208	0,0	170	99
149,141	0,0	121,54	0,2	174	99
368,280	1,0	94,55	0,0	198	99
975,975	0,1	737,288	1,0	117	99
8278,11468	22,36	6619,3339	28,15	166	99
7,16	435,467	4,0	329,128	198	99
598,516	1,0	366,183	0,0	198	99
8,9	3711,4205	6,3	2167,1149	164	99
959,978	0,0	528,253	1,0	198	99
701,617	0,1	597,244	0,0	197	99
292,291	0,1	271,116	0,0	198	99
1111,1192	0,1	1213,581	1,0	198	99
240,196	1,0	269,117	0,0	198	99
111,158	72,64	55,48	52,27	198	99
74,71	221,193	53,38	125,64	157	99
71,76	221,193	74,32	125,64	160	99
