ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	6,7	11,20	0,2	5,6	175	99
1	180,162	411,354	78,151	330,457	198	99
2	77,78	440,445	42,109	273,461	198	99
3	9,8	47,27	12,7	14,39	177	99
4	78,62	204,202	37,40	119,216	198	99
5	25,20	230,184	10,29	115,149	196	99
6	20,31	10,11	24,31	9,18	198	99
7	54,39	4,10	26,49	2,10	191	99
8	965,941	190,182	442,661	127,185	188	99
9	26,16	0,0	22,24	2,0	192	99
10	260,293	726,816	114,217	521,822	178	99
11	322,353	5409,6046	275,443	4030,6664	162	99
12	71,69	85,119	40,65	67,91	198	99
13	176,142	678,611	87,161	425,758	175	99
14	6,7	75,53	8,5	37,68	182	99
15	39,31	76,97	19,53	37,71	196	99
16	5,15	92,85	6,25	46,96	197	99
17	219,213	13,40	77,175	23,20	198	99
18	0,0	103,115	0,2	69,97	198	99
19	70,87	140,160	36,81	74,136	182	99
20	4,10	108,108	3,28	69,113	198	99
21	5,4	37,28	5,4	18,26	175	99
22	28,15	266,242	11,25	145,260	198	99
23	6,11	26,13	2,2	9,8	194	99
24	7,18	18,13	7,12	11,15	165	99
26	131,136	126,145	102,183	61,112	198	99
27	15,12	425,447	15,31	288,466	181	99
28	12,23	0,0	33,38	0,1	191	99
29	88,107	3639,4008	55,85	1829,3822	174	99
30	53,67	3560,4114	13,46	1833,3767	190	99
31	9,16	284,360	4,23	176,287	187	99
32	185,223	7,0	108,219	1,0	198	99
33	304,367	1,0	188,343	0,0	198	99
34	9,18	47,35	60,75	20,25	198	99
35	105,119	756,784	91,157	401,751	180	99
36	20,16	88,68	11,8	36,85	198	99
37	10,10	122,141	3,1	60,113	171	99
40	33,60	403,393	22,33	238,355	170	99
41	312,290	30,30	133,316	9,36	177	99
43	24,14	21,13	9,32	15,15	196	99
44	22,10	22,12	19,17	30,20	172	99
45	11,2	7,5	0,2	2,0	177	99
46	12,2	15,11	0,2	0,3	189	99
47	17,6	26,14	0,1	5,1	198	99
48	15,14	6,1	0,4	1,0	198	99
49	12,14	36,20	0,4	5,5	198	99
50	143,153	683,653	43,88	358,629	198	99
51	452,483	2,4	288,460	6,7	190	99
52	25,16	1,4	11,33	0,0	198	99
53	18,15	14,15	10,21	7,21	198	99
54	11,8	2,4	5,12	3,7	198	99
59	45,22	50,41	24,48	27,35	197	99
60	82,107	631,645	85,134	310,590	198	99
61	78,59	390,306	67,128	164,260	197	99
62	23,30	59,76	10,22	58,54	198	99
64	34,50	62,115	17,38	52,88	198	99
65	23,34	121,153	73,129	45,70	191	99
66	9,14	91,54	25,14	35,48	198	99
67	24,10	14,20	3,10	8,14	165	99
68	36,21	87,64	4,15	63,86	177	99
69	75,72	53,96	28,66	22,61	198	99
70	31,42	50,48	14,28	21,32	198	99
73	2,0	2,0	0,2	0,0	175	99
74	86,87	49,24	52,108	45,71	198	99
75	47,35	262,279	36,59	159,233	198	99
76	55,39	3,0	32,66	0,0	198	99
77	10,17	170,154	3,15	107,196	198	99
78	20,34	186,141	26,27	61,122	194	99
79	44,39	166,233	18,25	74,151	178	99
80	0,2	234,240	0,1	63,167	180	99
81	52,56	63,75	21,18	31,56	198	99
82	91,65	214,260	35,96	133,238	197	99
84	99,97	357,431	56,167	152,382	185	99
85	757,800	277,377	415,859	190,355	178	99
86	7,10	69,61	5,11	18,80	198	99
89	0,0	4,8	0,3	2,11	198	99
90	16,14	77,91	14,48	76,156	194	99
91	29,14	111,137	24,41	123,160	198	99
92	32,26	100,87	12,10	36,81	198	99
93	27,26	4,4	20,22	0,2	173	99
94	32,32	290,381	21,32	182,374	177	99
96	0,1	0,0	5,7	1,1	198	99
97	217,199	171,214	115,127	119,161	198	99
98	9,4	138,197	4,21	27,24	198	99
99	8,14	282,263	2,4	99,229	198	99
100	30,43	31,48	25,31	1,36	198	99
101	460,485	6872,8011	284,433	3703,6340	176	99
102	914,889	23,41	510,952	7,19	184	99
104	24,50	125,152	30,76	80,159	198	99
105	3810,3143	35,41	2829,3967	22,30	152	99
106	1870,2010	419,408	1086,1845	247,420	189	99
107	34,39	168,260	26,28	98,204	198	99
108	29,27	18,7	19,25	17,18	198	99
109	2,4	32,15	0,2	8,13	179	99
110	45,39	10,21	24,32	8,22	188	99
112	349,252	247,256	80,232	167,308	198	99
113	3,1	14,14	2,0	2,15	198	99
114	22,35	56,63	13,36	34,82	178	99
115	6,6	44,85	6,11	41,45	198	99
116	57,44	15,21	27,69	6,15	196	99
117	18,11	77,76	17,6	52,73	190	99
