ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
3	2,4	263,249	0,0	120,188	180	99	1
4	16,6	1,9	8,13	0,8	158	99	0.936144280729
6	2,0	21,17	0,0	11,15	109	99	1
7	0,1	31,26	0,0	17,23	150	99	1
8	165,188	19,17	95,170	11,18	134	99	1
9	152,177	1,0	89,145	0,0	134	99	1
10	11,13	385,372	18,35	152,277	309	99	1
11	5,3	1036,1103	1,1	598,1071	106	99	1
14	447,409	5,4	184,428	0,2	233	99	1
15	69,33	6,1	5,6	1,0	408	99	0.0121142880903
16	5,8	3,9	3,13	9,12	192	99	0.909741675607
17	17,20	14,15	15,25	7,21	315	99	1
19	3,2	14,15	4,1	7,21	134	99	1
20	53,54	0,0	24,57	0,1	105	99	1
21	26,21	95,92	14,23	48,116	684	99	1
23	311,335	49,24	184,285	45,71	120	99	0.683868300442
24	62,63	49,24	40,69	45,71	186	99	0.435515118839
25	13,7	262,279	15,17	159,233	165	99	1
26	138,123	0,3	67,119	1,1	686	99	1
27	19,12	0,4	11,16	1,1	103	99	1
28	65,77	0,0	35,89	2,0	102	99	1
29	2,3	91,67	0,0	39,59	243	99	1
30	0,1	4,6	0,0	4,5	114	99	1
31	262,252	0,1	72,124	1,0	371	99	1
32	985,941	3,6	514,980	0,0	111	99	1
33	26,16	32,55	5,12	23,66	129	99	0.450426531538
34	8,23	297,381	12,7	195,297	309	99	1
35	24,25	168,260	26,24	98,204	138	99	1
36	9,7	121,110	14,9	30,78	258	99	1
37	6,13	173,226	7,20	88,185	345	99	1
38	5,1	26,20	0,2	10,17	111	99	1
39	223,231	15,19	67,209	13,17	324	99	1
40	9,3	494,491	1,5	226,498	138	99	1
41	80,85	2,0	30,53	0,6	218	99	1
42	239,194	14,8	147,195	0,8	111	99	1
43	43,45	0,2	41,56	0,0	105	99	1
44	73,75	391,425	41,71	216,399	266	99	1
45	19,14	352,302	12,26	134,265	127	99	1
46	81,81	216,204	35,83	98,169	309	99	1
47	5,4	307,299	3,13	235,358	107	99	1
48	60,45	1,0	30,60	0,1	934	99	1
50	469,508	0,2	230,472	0,0	1859	99	1
51	117,125	0,1	70,156	0,0	117	99	1
55	174,211	1,0	143,276	0,0	311	99	1
56	208,265	1,0	188,348	0,0	501	99	1
57	36,55	1,0	46,76	0,0	289	99	1
58	115,187	0,5	98,189	2,1	289	99	1
59	37,31	109,97	25,67	66,111	218	99	1
60	545,453	10,7	459,838	25,22	665	99	1
61	15,16	303,324	3,1	163,229	261	99	1
62	323,357	0,2	215,327	0,1	107	99	1
63	9,3	296,315	5,6	175,326	101	99	1
64	32,19	80,60	12,18	51,109	154	99	1
65	23,10	15,19	12,9	10,20	154	99	1
66	3,2	384,354	1,2	231,457	323	99	1
67	36,26	2,3	7,9	3,9	119	99	0.00751410669992
68	28,44	4,4	13,23	0,1	103	99	1
69	26,47	26,22	11,15	21,41	111	99	0.0166535391784
70	53,49	0,3	20,30	0,0	140	99	1
71	105,140	229,285	21,28	169,279	117	99	2.88476772082e-05
72	3,7	382,512	3,4	177,406	107	99	1
73	34,49	75,131	25,26	31,72	475	99	1
74	14,23	40,37	1,12	15,15	183	99	1
75	907,856	1,0	513,865	0,0	111	99	1
77	34,21	19,11	18,15	4,2	293	99	0.113872343587
78	717,800	5,3	475,771	1,3	797	99	1
79	794,869	5,3	523,829	1,3	825	99	1
81	2310,2299	1,0	1423,2575	0,0	640	99	1
82	3,2	0,1	2,2	0,0	103	99	1
83	145,191	5,10	63,137	15,15	492	99	0.0360491092572
84	27,23	983,1048	25,40	525,968	103	99	1
85	8,4	39,58	1,12	22,24	127	99	1
86	51,63	45,56	27,35	26,45	228	99	1
87	2,3	16,22	0,2	9,10	127	99	1
88	5,2	0,0	4,2	3,11	131	99	9.13933995594e-07
90	412,433	0,1	165,359	0,0	250	99	1
91	13,12	2259,2389	12,13	1661,2832	103	99	1
92	975,1081	6,4	705,1306	0,0	356	99	1
93	40,47	1262,1375	25,62	800,1337	102	99	1
95	60,59	254,277	27,41	135,229	293	99	1
96	1,0	7,8	1,3	3,0	117	99	0.0498158114718
97	12,5	7,8	22,19	3,0	159	99	0.000442940204172
99	278,210	0,2	177,344	0,1	139	99	1
100	435,490	7,0	313,502	2,6	358	99	1
102	0,1	31,25	1,0	34,33	104	99	1
103	33,75	0,2	38,45	6,3	1782	99	0.0141005947029
104	7,14	56,66	0,0	41,40	105	99	0.482057849746
105	2,5	24,9	1,3	19,35	125	99	1
106	575,620	1,0	420,718	0,0	733	99	1
107	16,22	150,138	13,26	127,263	156	99	1
108	5,1	103,101	2,0	58,121	192	99	1
109	172,131	3,4	39,86	0,2	141	99	1
111	276,263	6,8	210,301	1,2	222	99	1
112	35,35	838,848	32,41	514,833	362	99	1
113	353,502	13,7	225,324	6,11	296	99	1
114	12,11	61,58	0,7	46,82	119	99	0.867049060781
116	1842,1916	10,13	1063,1754	0,5	126	99	1
117	4,2	7,7	0,7	6,26	121	99	0.855494557324
118	3,6	128,140	7,13	79,160	104	99	1
119	236,318	0,0	165,219	0,5	201	99	1
120	86,59	1367,1215	33,61	466,965	635	99	1
121	99,79	2,3	16,33	0,0	434	99	1
122	3,5	40,21	0,2	8,19	115	99	1
124	4,10	29,21	9,7	10,11	115	99	0.28233522791
125	5,1	21,35	0,1	16,28	181	99	1
126	6,2	543,573	2,4	277,490	132	99	1
127	12,13	517,539	3,18	299,520	318	99	1
128	219,137	9,6	208,266	3,7	247	99	1
129	5,3	1029,738	15,14	785,1367	103	99	1
130	110,94	2,5	27,46	3,5	687	99	0.185784630157
131	305,271	1,0	137,232	0,0	124	99	1
132	107,90	30,48	54,91	10,11	124	99	0.131776307245
133	1614,1801	3,6	894,1655	6,10	105	99	1
134	192,171	0,0	125,290	0,2	149	99	1
