ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	46,40	26,65	29,11	40,20	182	99	1	1.0	0.49,0.251	0.283,0.23	0.114
1	38,32	0,2	40,12	1,0	243	99	1	1.0	1.0,0.867	0.942,1.0	-0.037
2	9,14	112,154	6,3	141,59	128	99	1	1.0	0.059,0.066	0.032,0.038	0.027
3	454,458	48,46	548,191	43,10	108	99	1	1.0	0.897,0.901	0.921,0.946	-0.034
4	518,739	17,43	586,299	44,12	105	99	1	1.0	0.966,0.942	0.926,0.959	0.011
6	169,239	0,6	139,68	0,0	105	99	1	1.0	1.0,0.974	1.0,1.0	-0.013
7	70,90	0,0	67,29	1,1	102	99	1	1.0	1.0,1.0	0.985,0.966	0.024
8	168,218	1,0	136,64	0,0	109	99	1	1.0	0.993,1.0	1.0,1.0	-0.004
10	1024,1309	4,1	805,348	1,0	103	99	1	1.0	0.996,0.999	0.999,1.0	-0.002
11	57,44	12,14	28,14	4,0	132	99	0.225903767493	1.0	0.781,0.702	0.84,1.0	-0.178
12	226,258	1,0	216,103	0,0	449	99	1	1.0	0.98,1.0	1.0,1.0	-0.01
13	61,107	0,2	50,28	0,0	150	99	1	1.0	1.0,0.972	1.0,1.0	-0.014
14	21,22	176,262	17,12	234,78	110	99	1	1.0	0.097,0.07	0.061,0.122	-0.008
15	8,2	221,424	16,8	274,117	260	99	1	1.0	0.014,0.002	0.022,0.025	-0.015
16	326,453	1,1	367,189	1,1	104	99	1	1.0	0.997,0.998	0.997,0.994	0.002
17	608,884	6,12	874,374	7,2	106	99	1	1.0	0.99,0.986	0.991,0.994	-0.004
18	8,12	82,72	14,2	51,26	102	99	1	1.0	0.087,0.139	0.21,0.069	-0.027
19	70,69	12,9	29,12	19,10	107	99	0.00352175741212	0.45719930085904004	0.844,0.876	0.585,0.526	0.304
21	253,340	8,10	261,120	10,0	117	99	1	1.0	0.964,0.966	0.957,1.0	-0.013
22	144,257	6,4	198,97	3,1	102	99	1	1.0	0.959,0.984	0.985,0.989	-0.015
23	7,6	11,1	0,2	6,0	111	99	0.451260655671	1.0	0.362,0.843	0.0,1.0	0.103
24	9,11	3,0	1,1	0,0	245	99	1	1.0	0.548,1.0	1.0,1.0	-0.226
25	2618,3659	398,556	3984,1808	899,431	105	99	1	1.0	0.861,0.861	0.807,0.798	0.058
26	10,6	25,26	2,2	11,4	108	99	1	1.0	0.268,0.175	0.143,0.314	-0.007
27	12,24	49,70	8,8	67,30	111	99	1	1.0	0.179,0.234	0.096,0.192	0.062
28	20,12	135,143	41,25	97,46	120	99	0.00960359421249	0.714507409409256	0.109,0.065	0.259,0.31	-0.197
29	48,67	23,25	47,54	51,23	297	99	0.760006779129	1.0	0.41,0.472	0.235,0.439	0.104
30	51,71	101,167	50,56	76,52	309	99	1	1.0	0.139,0.12	0.174,0.257	-0.086
31	26,29	101,167	54,25	76,52	111	99	0.0284469428185	1.0	0.187,0.134	0.388,0.3	-0.183
32	1,0	0,2	2,0	1,1	102	99	1	1.0	1.0,0.0	0.66,0.0	0.17
33	8,9	127,186	0,6	151,65	282	99	1	1.0	0.022,0.017	0.0,0.031	0.004
34	38,34	45,60	29,11	31,15	106	99	1	1.0	0.441,0.346	0.466,0.406	-0.043
