IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
54,79	83,107	38,20	51,26	160	188
404,532	228,281	461,215	266,122	180	168
114,135	98,117	134,65	131,41	167	146
11,12	232,297	3,5	224,96	233	341
103,141	22,16	110,38	17,7	212	169
75,98	230,309	65,24	228,101	212	489
75,98	232,297	65,24	224,96	212	341
5,19	74,92	17,10	92,36	180	180
58,54	79,95	37,20	78,30	160	153
6,7	4,11	3,3	10,7	210	203
635,817	68,59	683,265	58,31	166	117
28,48	66,115	18,22	56,41	151	253
146,181	176,217	95,42	113,50	181	163
249,295	113,215	317,132	177,85	200	172
597,718	159,254	187,228	52,47	389	184
40,63	123,177	36,32	172,95	151	221
194,245	40,68	227,80	39,24	169	127
2290,2222	2536,2333	3146,1516	3446,1895	126	123
78,107	136,171	154,62	192,103	147	168
28,26	83,88	19,8	137,78	119	152
192,273	217,225	176,107	246,87	197	175
135,188	316,342	125,84	365,175	170	240
48,45	99,127	57,16	139,57	158	213
82,86	115,134	60,28	152,88	148	214
1109,2016	1484,2667	2705,1264	3874,2088	525	525
37,57	81,129	38,15	112,37	143	216
551,653	293,414	610,336	337,198	180	143
93,146	129,200	158,69	150,85	176	170
409,591	387,685	695,347	707,339	203	215
56,69	67,107	85,37	86,56	159	159
4349,6380	4553,6937	5715,2127	6529,2713	366	369
460,565	15,25	582,344	26,16	304	249
9,5	8,12	6,6	3,6	192	192
58,91	39,53	69,30	40,26	223	197
178,287	534,688	292,116	574,263	131	231
436,579	140,232	482,228	195,101	231	150
28,42	230,295	63,30	229,120	201	162
24,22	350,488	64,37	400,198	133	162
156,219	163,206	154,113	193,105	162	152
160,151	279,290	85,51	178,91	202	197
32,31	329,479	34,14	333,169	654	825
20,41	1580,2726	36,5	1755,944	137	323
416,539	123,186	563,302	198,109	345	184
459,549	407,512	613,331	541,282	354	345
162,183	279,367	191,59	376,181	162	159
108,125	75,103	102,56	78,42	217	158
55,68	176,200	48,35	160,86	165	241
1692,2462	2810,3480	1967,814	3270,1328	159	192
5374,6483	11,31	4674,2053	12,4	1796	107
5390,6487	11,31	4704,2068	12,4	1799	107
5440,6548	11,31	4723,2085	12,4	1836	107
22,21	13,20	14,8	7,4	220	174
460,663	859,1096	365,143	860,351	160	202
443,682	881,1367	407,191	832,450	121	156
376,417	681,940	441,174	914,380	156	183
198,280	356,510	273,87	474,227	167	241
60,70	341,423	30,17	222,67	224	197
23,39	48,30	18,12	31,20	346	181
54,53	116,100	47,14	77,54	135	183
4,1	116,100	0,2	77,54	150	183
60,120	70,72	73,33	35,15	180	138
50,56	75,64	85,26	85,38	140	164
12,26	3,20	10,6	3,1	288	288
1658,2363	2994,4353	1749,749	3018,1471	183	252
794,1190	1490,2317	1374,624	2600,1280	137	201
0,12	0,5	3,0	7,0	487	520
60,59	80,85	21,22	38,37	178	231
91,118	188,197	99,55	222,52	141	161
115,133	109,126	85,32	53,24	238	244
55,46	139,200	28,21	185,69	242	192
13,22	1,6	5,1	3,0	164	152
853,1328	790,1390	1259,456	1212,521	147	147
451,792	849,1279	561,295	1214,447	147	147
971,1696	838,1444	1332,536	1217,518	165	162
451,788	546,1021	560,295	871,349	147	147
694,1190	844,1366	980,419	1098,473	165	165
1,4	227,326	8,4	251,130	107	255
54,98	10,14	50,18	22,5	133	107
28,41	95,121	25,12	91,57	160	162
3,11	95,121	2,2	91,57	204	162
138,227	105,205	188,105	155,83	247	208
1,5	27,72	0,0	47,23	158	210
1308,2152	1278,2021	1600,773	1548,766	183	157
