IncLevel1	IncLevel2	IncLevelDifference
0.433,0.465	0.467,0.475	-0.022
0.623,0.639	0.618,0.622	0.011
0.504,0.502	0.472,0.581	-0.023
0.008,0.0	0.0,0.0	0.004
0.787,0.877	0.844,0.806	0.007
0.36,0.404	0.354,0.286	0.062
0.354,0.389	0.344,0.282	0.059
0.063,0.171	0.156,0.217	-0.069
0.412,0.352	0.312,0.389	0.031
0.556,0.353	0.25,0.3	0.179
0.868,0.907	0.892,0.858	0.012
0.461,0.46	0.403,0.452	0.033
0.43,0.429	0.431,0.431	-0.002
0.652,0.54	0.608,0.574	0.005
0.539,0.473	0.559,0.607	-0.077
0.408,0.457	0.349,0.494	0.011
0.785,0.73	0.814,0.715	-0.007
0.469,0.482	0.471,0.439	0.021
0.396,0.417	0.478,0.408	-0.036
0.301,0.274	0.15,0.116	0.154
0.44,0.52	0.39,0.525	0.022
0.388,0.446	0.35,0.439	0.023
0.432,0.343	0.377,0.299	0.05
0.513,0.494	0.38,0.345	0.141
0.389,0.434	0.351,0.373	0.049
0.403,0.405	0.338,0.386	0.042
0.599,0.555	0.59,0.574	-0.005
0.411,0.414	0.504,0.439	-0.059
0.518,0.474	0.5,0.51	-0.009
0.455,0.392	0.5,0.391	-0.022
0.507,0.482	0.461,0.446	0.041
0.961,0.94	0.929,0.951	0.01
0.562,0.294	0.667,0.5	-0.155
0.55,0.6	0.573,0.499	0.039
0.392,0.445	0.487,0.459	-0.054
0.633,0.587	0.591,0.563	0.033
0.088,0.088	0.172,0.165	-0.08
0.077,0.052	0.163,0.185	-0.109
0.473,0.498	0.428,0.502	0.021
0.351,0.31	0.306,0.339	0.008
0.0,0.077	0.0,0.167	-0.045
0.035,0.039	0.056,0.015	0.002
0.503,0.499	0.466,0.477	0.029
0.575,0.533	0.601,0.565	-0.029
0.363,0.329	0.333,0.242	0.058
0.447,0.431	0.424,0.455	-0.001
0.355,0.377	0.363,0.424	-0.027
0.421,0.461	0.421,0.426	0.018
0.693,0.527	0.403,0.709	0.054
0.737,0.494	0.637,0.785	-0.096
0.77,0.567	0.674,0.791	-0.064
0.575,0.428	0.557,0.569	-0.061
0.415,0.439	0.354,0.352	0.074
0.394,0.391	0.387,0.355	0.022
0.393,0.342	0.362,0.349	0.012
0.523,0.518	0.522,0.422	0.048
0.037,0.038	0.047,0.056	-0.014
0.245,0.422	0.277,0.242	0.074
0.389,0.418	0.453,0.26	0.047
0.041,0.012	0.0,0.043	0.005
0.397,0.561	0.612,0.628	-0.141
0.439,0.506	0.539,0.445	-0.019
0.75,0.8	1.0,1.0	-0.225
0.495,0.478	0.51,0.472	-0.005
0.447,0.434	0.441,0.42	0.01
NA,0.2	0.0,NA	0.2
0.514,0.491	0.446,0.485	0.037
0.356,0.406	0.337,0.547	-0.061
0.486,0.492	0.63,0.545	-0.099
0.122,0.12	0.059,0.078	0.052
0.923,0.773	0.607,1.0	0.045
0.519,0.488	0.509,0.467	0.016
0.347,0.382	0.316,0.397	0.008
0.532,0.535	0.518,0.504	0.023
0.467,0.451	0.407,0.47	0.021
0.451,0.466	0.471,0.47	-0.012
0.014,0.037	0.085,0.087	-0.06
0.813,0.849	0.646,0.743	0.136
0.23,0.255	0.218,0.176	0.045
0.025,0.069	0.018,0.028	0.024
0.5,0.401	0.395,0.51	-0.002
0.056,0.087	0.0,0.0	0.071
0.467,0.477	0.469,0.464	0.005
