ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	396,546	224,344	500,558	311,363	180	168	1	1.0
1	0,2	152,217	0,0	149,183	198	198	1	1.0
2	87,100	152,217	83,85	149,183	198	198	1	1.0
3	10,19	92,190	27,17	135,148	180	180	1	1.0
5	131,184	172,302	52,154	100,222	176	198	1	1.0
6	375,464	292,403	533,477	367,422	198	166	1	1.0
7	325,543	378,618	785,1053	824,1043	181	168	1	1.0
9	597,1024	52,87	722,964	68,91	166	117	1	1.0
10	106,160	154,257	110,145	204,235	178	198	1	1.0
11	550,953	462,660	857,860	548,725	174	147	1	1.0
12	23,39	62,32	37,52	77,46	151	198	1	1.0
14	50,67	49,99	67,76	102,83	138	156	1	1.0
15	42,68	94,130	74,73	144,171	151	198	1	1.0
16	469,709	292,397	545,680	268,394	198	165	1	1.0
17	77,92	113,192	122,149	190,238	147	168	1	1.0
18	28,44	101,138	36,60	128,189	119	152	1	1.0
19	185,272	230,280	246,254	309,280	197	175	1	1.0
20	128,172	228,396	233,241	365,496	170	198	1	1.0
22	67,91	105,162	115,142	173,142	148	198	1	1.0
23	1925,2758	1970,2789	1950,2496	2058,2648	173	159	1	1.0
24	91,153	231,344	125,154	248,257	133	198	1	1.0
25	33,46	57,87	58,59	71,78	198	198	1	1.0
26	399,555	536,841	842,691	1112,1014	198	198	1	1.0
27	36,69	110,131	26,70	116,108	143	198	1	1.0
28	879,1452	484,844	1076,1503	653,917	170	180	1	1.0
29	518,745	255,443	621,795	350,467	180	143	1	1.0
30	78,122	99,123	100,119	156,127	159	159	1	1.0
31	97,158	132,176	116,163	144,205	198	189	1	1.0
32	201,338	2,12	369,476	15,38	198	198	1	1.0
33	0,11	1,1	0,6	1,2	159	152	0.19869091345	1.0
34	2,0	6,2	8,12	15,7	192	192	0.0314958056005	1.0
35	113,151	67,131	142,113	99,106	167	188	1	1.0
36	28,19	27,38	13,15	16,18	165	160	1	1.0
37	115,150	166,202	140,182	214,220	188	171	1	1.0
38	506,830	2421,3824	592,906	2581,4092	173	198	1	1.0
39	151,307	359,635	262,318	564,659	131	198	1	1.0
40	29,63	245,366	88,112	292,335	198	162	1	1.0
41	32,33	374,530	71,79	440,618	133	162	1	1.0
42	119,193	209,410	150,147	254,272	198	197	1	1.0
43	5,2	24,24	1,6	20,28	198	198	1	1.0
44	621,834	319,469	742,971	457,517	198	154	1	1.0
45	38,58	920,1631	28,44	943,1271	137	198	1	1.0
46	166,286	127,199	265,391	195,270	198	198	1	1.0
47	221,320	68,116	327,310	80,83	184	143	1	1.0
48	175,312	91,147	232,374	83,100	143	162	1	1.0
49	147,239	267,504	196,173	412,569	162	159	1	1.0
50	77,104	43,60	95,72	70,45	198	198	1	1.0
51	48,70	92,183	44,57	145,161	165	198	1	1.0
52	1986,3234	3263,4918	1839,2514	2819,3948	159	192	1	1.0
53	44,57	8,20	35,35	12,15	198	107	1	1.0
54	49,80	8,20	41,48	12,15	198	107	1	1.0
