IncLevel1	IncLevel2	IncLevelDifference
0.049,0.165	0.0,0.159	0.028
0.163,0.186	0.162,0.142	0.022
0.107,0.081	0.095,0.106	-0.007
0.181,0.142	0.168,0.091	0.032
0.128,0.133	0.145,0.085	0.016
0.035,0.052	0.072,0.09	-0.037
0.574,0.585	0.63,0.463	0.033
0.841,0.669	0.609,0.717	0.092
0.709,0.731	0.704,0.653	0.041
1.0,1.0	0.823,1.0	0.089
0.136,0.166	0.131,0.128	0.022
0.037,0.034	0.044,0.039	-0.006
0.303,0.225	0.289,0.263	-0.012
0.105,0.116	0.112,0.107	0.001
0.056,0.067	0.04,0.038	0.022
0.083,0.139	0.28,0.274	-0.166
0.122,0.081	0.092,0.116	-0.003
0.778,0.727	0.676,0.814	0.007
0.0,0.0	0.036,0.01	-0.023
0.167,0.228	0.302,0.245	-0.076
0.045,0.044	0.034,0.11	-0.028
0.039,0.075	0.052,0.08	-0.009
0.017,0.03	0.054,0.046	-0.027
0.113,0.302	0.284,0.113	0.009
0.306,0.454	0.225,0.324	0.105
0.43,0.319	0.344,0.45	-0.023
0.014,0.014	0.024,0.035	-0.016
1.0,1.0	1.0,0.952	0.024
0.01,0.015	0.008,0.012	0.003
0.011,0.008	0.006,0.006	0.003
0.029,0.023	0.025,0.041	-0.007
1.0,1.0	0.942,1.0	0.029
0.148,0.205	0.726,0.6	-0.487
0.107,0.077	0.099,0.103	-0.009
0.059,0.105	0.055,0.045	0.032
0.052,0.039	0.013,0.005	0.036
0.063,0.082	0.094,0.051	0.0
0.914,0.844	0.83,0.831	0.048
0.391,0.352	0.209,0.519	0.008
0.463,0.324	0.324,0.329	0.067
0.528,0.183	NA,1.0	-0.644
1.0,0.087	0.0,0.259	0.414
0.0,0.176	0.0,0.333	-0.079
NA,0.875	NA,1.0	-0.125
0.0,0.259	0.0,0.286	-0.013
0.086,0.105	0.063,0.065	0.032
0.995,0.984	0.994,0.972	0.007
1.0,0.667	1.0,1.0	-0.166
0.302,0.333	0.224,0.333	0.039
0.478,0.5	0.412,0.462	0.052
1.0,1.0	0.984,1.0	0.008
0.247,0.212	0.462,0.408	-0.206
0.059,0.077	0.092,0.102	-0.029
0.082,0.088	0.164,0.198	-0.096
0.206,0.165	0.216,0.169	-0.007
0.298,0.179	0.472,0.178	-0.086
0.156,0.103	0.5,0.489	-0.365
0.029,0.115	0.056,0.127	-0.019
