ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	2272,2605	1,3	1582,2556	2,4	188	99
3	159,236	2,4	167,198	1,2	198	99
4	270,362	0,1	230,321	0,0	187	99
5	4316,5169	1,0	4212,6607	0,0	177	99
6	116,130	0,0	84,97	2,0	140	99
7	519,614	0,0	464,722	0,1	198	99
8	619,661	1,0	477,781	0,0	160	99
9	551,658	0,1	449,698	0,0	179	99
10	3,3	29,29	0,2	13,16	120	99
11	975,1239	0,1	596,1036	0,0	163	99
12	134,151	74,81	38,82	55,91	157	99
14	675,969	8,5	469,713	4,7	198	99
15	9,8	5,5	17,21	3,8	198	99
16	65,62	0,0	23,54	0,1	171	99
17	61,70	2,0	59,73	0,0	198	99
18	331,398	1,2	242,328	0,4	198	99
19	283,394	0,0	241,391	0,1	175	99
22	1,0	4,11	0,0	3,10	198	99
24	192,253	4,8	152,224	2,0	169	99
25	28,31	0,0	16,54	2,0	198	99
27	73,65	1,4	41,70	0,1	152	99
28	77,74	1,4	63,77	0,1	155	99
29	6,6	0,4	1,1	0,0	181	99
30	11,21	4,1	2,1	0,0	161	99
31	8,17	0,1	0,5	0,0	141	99
32	2,2	0,0	0,0	1,1	198	99
33	7,6	0,0	4,11	1,1	147	99
34	39,68	1,2	25,48	0,0	136	99
35	6832,9454	1,0	5143,8002	0,0	173	99
36	572,786	0,0	438,652	0,1	154	99
37	477,733	0,1	422,713	0,0	145	99
38	185,226	0,2	156,257	0,0	146	99
39	106,108	0,2	54,105	0,1	186	99
40	203,237	1,1	125,163	0,1	188	99
41	3413,3643	2,1	2223,4017	0,0	142	99
42	5,6	63,79	6,6	41,78	128	99
43	7,12	63,79	9,17	41,78	132	99
44	139,156	0,0	115,183	2,0	197	99
45	497,591	1,2	320,513	0,0	167	99
46	258,311	1,2	146,274	0,0	173	99
47	824,898	0,1	675,964	0,0	198	99
48	489,467	0,1	355,476	0,1	170	99
49	344,365	0,1	258,408	0,0	198	99
50	242,257	1,1	62,80	0,0	198	99
51	656,742	0,2	484,743	1,3	117	99
52	5429,9369	16,29	4456,6211	14,25	166	99
53	5,11	276,384	2,7	240,277	198	99
54	332,372	0,1	243,381	0,0	198	99
55	72,105	0,1	52,65	0,0	173	99
56	396,338	1,0	234,343	0,0	198	99
57	7,4	2451,3033	5,5	1422,2527	164	99
58	644,579	0,0	358,482	1,1	198	99
59	774,990	0,0	818,1324	1,0	198	99
60	573,626	0,0	499,868	0,1	131	99
61	266,356	0,1	153,251	0,0	174	99
62	163,248	0,0	70,170	0,1	138	99
63	74,87	54,53	46,92	36,43	198	99
64	53,62	144,137	36,45	84,111	157	99
65	53,51	144,137	50,44	84,111	160	99
66	14,8	6,0	3,13	4,6	198	99
67	11,8	2,0	5,15	0,1	198	99
68	51,74	0,2	32,74	1,0	198	99
70	53,77	0,1	42,64	0,0	169	99
71	79,90	1,10	61,94	4,2	198	99
72	24,38	32,31	10,27	24,36	169	99
73	88,141	0,1	86,130	0,0	198	99
74	114,165	0,1	104,158	0,0	198	99
75	674,975	0,0	543,872	1,0	150	99
76	710,1007	0,0	559,900	0,2	170	99
77	146,151	0,1	88,161	0,0	153	99
78	103,139	0,0	92,141	0,3	175	99
79	112,176	0,0	132,183	0,1	198	99
80	33,27	5,6	26,42	4,8	147	99
81	148,225	0,4	155,210	2,3	198	99
82	8,18	1,0	4,5	0,0	161	99
84	242,226	0,0	184,320	0,2	198	99
85	83,106	0,1	67,82	0,0	198	99
86	73,123	0,2	74,112	0,1	139	99
87	7,8	2,0	8,8	0,0	185	99
88	1,7	2,0	6,9	0,0	178	99
89	50,74	1,1	36,85	0,1	198	99
90	248,258	4,5	192,270	16,12	155	99
91	128,112	0,2	80,144	0,0	170	99
92	2400,2447	0,0	1876,2835	1,0	128	99
94	197,295	0,1	155,176	0,7	189	99
95	54,36	9,9	47,58	6,16	146	99
96	67,41	11,12	41,65	6,17	146	99
97	16,10	11,12	15,24	6,17	144	99
98	12,17	20,21	27,39	11,38	144	99
101	944,1229	0,1	720,1125	1,0	198	99
103	75,82	0,2	84,113	0,3	198	99
104	428,465	1,6	177,270	0,0	197	99
105	13,17	0,0	8,13	1,0	198	99
106	403,485	0,0	312,576	0,1	170	99
107	688,840	0,0	489,831	0,2	121	99
108	847,1862	32,42	1107,1892	9,26	195	99
109	3,0	3,1	1,0	1,1	188	99
110	177,234	0,1	89,118	0,0	198	99
111	131,164	0,1	60,85	0,0	198	99
112	182,263	0,1	226,300	0,0	198	99
113	77,122	20,20	73,125	4,7	160	99
115	93,102	0,1	48,90	1,0	156	99
116	3,2	3,20	7,1	4,6	176	99
117	145,170	2,0	143,172	0,2	141	99
118	132,158	0,2	117,179	0,1	198	99
119	263,321	0,1	211,327	0,1	184	99
120	7135,9846	1,3	7627,10912	0,0	198	99
121	65,88	0,2	61,94	2,0	140	99
122	8,12	53,72	8,16	23,46	180	99
123	59,61	4,3	27,59	8,4	180	99
124	113,153	0,1	146,225	0,0	148	99
125	289,387	0,0	254,274	1,0	141	99
126	281,265	0,0	174,317	2,0	198	99
127	265,314	2,1	185,299	1,6	146	99
128	157,255	0,0	163,172	3,0	160	99
129	7822,10459	1,0	7059,10932	0,0	198	99
130	6,5	1,8	3,7	0,2	162	99
131	30,72	2,0	29,37	0,0	198	99
132	9,36	2,2	11,21	1,2	164	99
133	121,194	0,4	74,117	0,0	183	99
134	236,271	21,34	197,221	18,45	140	99
135	127,147	0,0	69,103	0,2	182	99
136	114,130	1,0	78,97	0,0	151	99
137	115,111	2,0	74,103	0,0	172	99
138	4,3	0,0	0,7	1,0	198	99
139	79,110	7,1	46,93	0,6	198	99
140	675,811	0,1	573,808	0,0	189	99
141	219,293	0,0	197,214	1,0	198	99
142	683,728	0,0	427,686	0,2	153	99
143	186,256	7,7	146,254	0,2	198	99
144	112,124	0,2	81,158	0,0	184	99
147	170,155	1,0	76,140	0,1	154	99
148	24,36	17,40	10,27	14,30	170	99
149	23,35	27,17	7,21	20,16	170	99
150	42,72	17,40	32,36	14,30	142	99
151	28,49	27,17	10,27	20,16	142	99
152	1049,1278	1,0	791,1402	0,0	198	99
153	532,656	1,0	381,733	0,0	198	99
154	241,304	0,1	154,217	0,0	176	99
155	296,407	0,0	213,295	0,1	198	99
156	249,405	3,3	201,270	0,2	198	99
157	217,294	9,28	156,188	10,15	145	99
158	469,641	0,1	359,619	0,0	198	99
159	264,394	0,0	189,251	0,2	192	99
161	56,55	0,1	12,18	0,0	198	99
162	40,51	0,1	13,25	1,1	198	99
163	119,101	3,1	76,124	2,1	190	99
165	355,427	5,2	473,656	0,2	158	99
166	0,1	136,176	0,0	93,185	198	99
167	406,492	0,1	373,559	0,0	198	99
168	4083,5279	3,6	3372,5095	0,4	156	99
169	49,56	2889,3749	27,47	2329,3559	172	99
170	296,371	0,2	303,453	0,3	137	99
171	7,17	133,175	6,2	106,138	193	99
172	131,135	1,3	80,172	1,0	166	99
173	3373,3711	2,0	3033,4321	1,1	183	99
174	46,41	0,0	27,47	0,1	165	99
175	147,176	0,1	106,151	0,0	160	99
176	688,1127	0,1	576,911	0,0	175	99
177	45,21	0,0	5,17	1,0	182	99
178	293,347	1,0	131,226	0,0	198	99
180	83,71	3,0	58,62	0,2	158	99
181	2,1	1,2	0,0	3,2	198	99
182	104,175	42,76	130,211	35,65	198	99
183	167,250	2,0	192,348	0,0	198	99
184	93,139	2,0	90,175	0,0	159	99
187	1353,1841	1,0	1148,1757	2,1	171	99
188	35,42	0,0	29,47	0,2	198	99
190	80,107	0,0	65,140	0,2	186	99
191	86,110	1,0	46,112	0,0	198	99
192	144,214	2,0	114,175	0,0	161	99
193	131,161	0,0	91,145	0,2	198	99
194	130,172	12,13	95,175	5,3	198	99
195	218,299	0,1	188,231	0,0	198	99
196	449,631	0,1	356,545	0,0	198	99
197	165,222	2,0	144,211	0,1	198	99
198	4,2	166,222	3,2	144,211	148	99
200	12,18	18,36	16,23	37,28	123	99
203	12,3	3,0	10,24	0,0	198	99
204	0,0	139,181	0,1	97,117	185	99
205	91,68	1,5	50,100	1,2	160	99
206	672,914	0,0	531,762	0,2	198	99
208	68,83	33,47	73,73	36,56	135	99
209	149,196	0,1	123,173	0,0	138	99
211	865,1097	15,14	501,700	7,10	194	99
212	20,11	95,87	8,13	62,77	181	99
213	160,206	3,0	136,208	0,3	198	99
214	356,471	3,0	277,436	0,3	198	99
215	147,158	22,6	101,115	10,10	187	99
217	1285,1726	1,1	1199,1922	2,5	197	99
219	521,695	0,1	522,731	0,0	198	99
220	489,656	0,0	499,700	0,3	166	99
221	313,335	2,0	327,419	0,0	161	99
222	705,805	0,1	437,635	0,0	171	99
226	15,2	31,57	13,16	46,68	179	99
227	111,317	1,0	86,198	1,3	129	99
228	543,564	0,1	329,471	0,0	154	99
230	28,39	2,1	19,46	0,6	198	99
231	149,185	0,1	89,152	0,0	182	99
232	5,13	1,2	12,7	1,0	198	99
233	639,729	0,1	364,582	0,0	198	99
234	33,23	1,0	38,54	0,0	140	99
236	10,21	0,1	5,13	0,0	171	99
237	888,955	11,6	449,747	2,5	192	99
238	408,441	11,6	267,362	2,5	185	99
239	170,190	0,3	93,174	0,1	173	99
240	75,111	191,239	40,40	172,268	105	99
241	118,138	6,5	154,278	3,6	161	99
242	254,355	3,0	246,420	0,4	187	99
244	587,866	0,0	1064,1587	1,0	181	99
245	245,365	0,0	416,713	1,0	185	99
247	294,392	1,0	244,340	0,0	198	99
248	286,479	1,2	268,368	10,2	176	99
249	82,103	5,0	61,96	0,0	188	99
250	180,196	5,0	143,236	0,0	197	99
251	306,291	1,0	177,271	0,0	169	99
252	703,704	1,0	417,657	0,0	166	99
253	214,236	1,0	93,193	0,0	194	99
254	144,179	1,2	74,122	0,0	158	99
255	1505,1928	0,1	1251,1877	0,0	198	99
256	705,828	0,1	611,857	0,0	198	99
257	83,89	1,1	42,103	1,0	198	99
258	212,206	1,1	168,207	0,0	155	99
259	3,3	1,0	4,4	0,2	159	99
260	4,6	431,463	5,3	444,658	198	99
261	743,778	0,0	590,771	0,2	198	99
262	408,403	0,0	260,451	0,1	198	99
263	145,189	0,0	96,143	1,0	147	99
264	46,57	1,1	40,42	0,0	146	99
266	52,46	0,0	24,62	0,3	141	99
267	47,16	2,0	15,37	0,0	179	99
268	514,581	0,1	360,498	0,0	161	99
269	136,226	1,0	415,655	3,3	179	99
271	128,135	1,0	63,119	0,0	198	99
274	281,282	0,0	227,313	0,2	141	99
