ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	2273,2606	1,3	1582,2557	2,4	188	99	1	1.0	0.999,0.998	0.998,0.997	0.001
3	279,381	2,4	250,319	1,2	296	99	1	1.0	0.979,0.97	0.988,0.982	-0.011
4	271,363	0,1	230,321	0,0	187	99	1	1.0	1.0,0.995	1.0,1.0	-0.002
5	4319,5172	1,0	4213,6608	0,0	177	99	1	1.0	1.0,1.0	1.0,1.0	0.0
6	116,130	0,0	84,97	2,0	140	99	1	1.0	1.0,1.0	0.967,1.0	0.016
7	627,734	0,0	538,885	0,1	235	99	1	1.0	1.0,1.0	1.0,0.997	0.002
8	620,661	1,0	477,781	0,0	160	99	1	1.0	0.997,1.0	1.0,1.0	-0.002
9	551,658	0,1	449,698	0,0	179	99	1	1.0	1.0,0.997	1.0,1.0	-0.002
10	3,3	29,29	0,2	13,16	120	99	1	1.0	0.079,0.079	0.0,0.093	0.033
11	975,1239	0,1	596,1036	0,0	163	99	1	1.0	1.0,0.999	1.0,1.0	-0.0
12	134,151	74,81	38,82	55,91	157	99	0.0265029639975	1.0	0.533,0.54	0.303,0.362	0.204
14	752,1099	8,5	522,807	4,7	219	99	1	1.0	0.977,0.99	0.983,0.981	0.002
15	10,11	5,5	20,24	3,8	229	99	0.493572223737	1.0	0.464,0.487	0.742,0.565	-0.178
16	65,62	0,0	23,54	0,1	171	99	1	1.0	1.0,1.0	1.0,0.969	0.016
17	1967,2185	2,0	1312,2145	0,0	2955	99	1	1.0	0.971,1.0	1.0,1.0	-0.014
18	402,462	1,2	271,387	0,4	212	99	1	1.0	0.995,0.991	1.0,0.978	0.004
19	283,394	0,0	241,392	0,1	175	99	1	1.0	1.0,1.0	1.0,0.996	0.002
22	1,0	4,11	0,1	3,10	229	99	1	1.0	0.098,0.0	0.0,0.041	0.029
24	192,253	4,8	152,225	2,0	169	99	1	1.0	0.966,0.949	0.978,1.0	-0.031
25	32,40	0,0	19,62	2,0	235	99	1	1.0	1.0,1.0	0.8,1.0	0.1
27	73,65	1,4	41,70	0,1	152	99	1	1.0	0.979,0.914	1.0,0.979	-0.043
28	77,74	1,4	63,77	0,1	155	99	1	1.0	0.98,0.922	1.0,0.98	-0.039
29	6,6	0,4	1,1	0,0	181	99	0.514013315064	1.0	1.0,0.451	1.0,1.0	-0.274
30	11,21	4,1	2,1	0,0	161	99	0.599231031333	1.0	0.628,0.928	1.0,1.0	-0.222
31	8,17	0,1	0,5	0,0	141	99	1	1.0	1.0,0.923	NA,1.0	-0.038
32	9,10	0,0	1,17	1,1	363	99	1	1.0	1.0,1.0	0.214,0.823	0.482
33	7,6	0,0	4,11	1,1	147	99	1	1.0	1.0,1.0	0.729,0.881	0.195
34	40,68	1,2	25,48	0,0	136	99	1	1.0	0.967,0.961	1.0,1.0	-0.036
35	6834,9455	1,0	5144,8006	0,0	173	99	1	1.0	1.0,1.0	1.0,1.0	0.0
36	572,786	0,0	438,652	0,1	154	99	1	1.0	1.0,1.0	1.0,0.998	0.001
37	477,733	0,1	422,713	0,0	145	99	1	1.0	1.0,0.998	1.0,1.0	-0.001
38	185,226	0,2	156,257	0,0	146	99	1	1.0	1.0,0.987	1.0,1.0	-0.006
39	106,109	0,2	54,105	0,1	186	99	1	1.0	1.0,0.967	1.0,0.982	-0.007
40	204,239	1,1	125,163	0,1	188	99	1	1.0	0.991,0.992	1.0,0.988	-0.002
41	3413,3643	2,1	2223,4017	0,0	142	99	1	1.0	0.999,1.0	1.0,1.0	-0.0
42	5,6	63,79	6,6	41,78	128	99	1	1.0	0.058,0.055	0.102,0.056	-0.022
43	7,12	63,79	9,17	41,78	132	99	1	1.0	0.077,0.102	0.141,0.14	-0.051
44	139,156	0,0	115,183	2,0	197	99	1	1.0	1.0,1.0	0.967,1.0	0.016
45	497,591	1,2	320,513	0,0	167	99	1	1.0	0.997,0.994	1.0,1.0	-0.004
