IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
2273,2606	1,3	1582,2557	2,4	188	99
279,381	2,4	250,319	1,2	296	99
271,363	0,1	230,321	0,0	187	99
4319,5172	1,0	4213,6608	0,0	177	99
116,130	0,0	84,97	2,0	140	99
627,734	0,0	538,885	0,1	235	99
620,661	1,0	477,781	0,0	160	99
551,658	0,1	449,698	0,0	179	99
3,3	29,29	0,2	13,16	120	99
975,1239	0,1	596,1036	0,0	163	99
134,151	74,81	38,82	55,91	157	99
752,1099	8,5	522,807	4,7	219	99
10,11	5,5	20,24	3,8	229	99
65,62	0,0	23,54	0,1	171	99
1967,2185	2,0	1312,2145	0,0	2955	99
402,462	1,2	271,387	0,4	212	99
283,394	0,0	241,392	0,1	175	99
1,0	4,11	0,1	3,10	229	99
192,253	4,8	152,225	2,0	169	99
32,40	0,0	19,62	2,0	235	99
73,65	1,4	41,70	0,1	152	99
77,74	1,4	63,77	0,1	155	99
6,6	0,4	1,1	0,0	181	99
11,21	4,1	2,1	0,0	161	99
8,17	0,1	0,5	0,0	141	99
9,10	0,0	1,17	1,1	363	99
7,6	0,0	4,11	1,1	147	99
40,68	1,2	25,48	0,0	136	99
6834,9455	1,0	5144,8006	0,0	173	99
572,786	0,0	438,652	0,1	154	99
477,733	0,1	422,713	0,0	145	99
185,226	0,2	156,257	0,0	146	99
106,109	0,2	54,105	0,1	186	99
204,239	1,1	125,163	0,1	188	99
3413,3643	2,1	2223,4017	0,0	142	99
5,6	63,79	6,6	41,78	128	99
7,12	63,79	9,17	41,78	132	99
139,156	0,0	115,183	2,0	197	99
497,591	1,2	320,513	0,0	167	99
258,311	1,2	147,274	0,0	173	99
3398,3677	0,1	2624,3830	0,0	733	99
490,467	0,1	356,477	0,1	170	99
354,375	0,1	267,424	0,0	203	99
259,271	1,1	66,87	0,0	216	99
656,742	0,2	484,743	1,3	117	99
5432,9371	16,29	4460,6215	14,25	166	99
8,14	276,384	5,10	240,277	245	99
483,556	0,1	365,558	0,0	264	99
72,105	0,1	52,65	0,0	173	99
396,338	1,0	234,345	0,0	199	99
7,4	2451,3033	5,5	1422,2527	164	99
1158,1053	0,0	610,975	1,1	313	99
921,1130	0,0	903,1521	1,0	231	99
573,626	0,0	499,868	0,1	131	99
266,356	0,1	153,251	0,0	174	99
163,248	0,0	70,170	0,1	138	99
200,217	54,53	132,240	36,43	442	99
53,62	144,137	36,45	84,111	157	99
53,51	144,137	50,44	84,111	160	99
23,14	6,0	6,26	4,6	249	99
20,14	2,0	8,28	0,1	249	99
74,100	0,2	44,98	1,0	237	99
53,77	0,1	42,64	0,0	169	99
82,100	1,10	67,98	4,2	212	99
24,38	32,31	10,27	24,36	169	99
206,299	0,1	160,241	0,0	489	99
225,307	0,1	171,257	0,0	341	99
674,975	0,0	543,872	1,0	150	99
710,1007	0,0	559,900	0,2	170	99
146,151	0,1	88,161	0,0	153	99
103,139	0,0	92,141	0,3	175	99
113,176	0,0	132,183	0,1	198	99
33,27	5,6	26,42	4,8	147	99
299,461	0,4	299,411	2,3	334	99
8,18	1,0	4,5	0,0	161	99
327,292	0,0	245,401	0,2	244	99
221,257	0,1	172,256	0,0	506	99
73,123	0,2	74,112	0,1	139	99
7,8	2,0	8,8	0,0	185	99
1,7	2,0	6,9	0,0	178	99
67,104	1,1	45,125	0,1	263	99
248,258	4,5	192,270	16,12	155	99
128,112	0,2	80,144	0,0	170	99
2400,2447	0,0	1876,2835	1,0	128	99
197,295	0,1	155,176	0,7	189	99
54,36	9,9	47,58	6,16	146	99
67,41	11,12	41,65	6,17	146	99
16,10	11,12	15,24	6,17	144	99
12,17	20,21	27,39	11,38	144	99
21051,26526	0,1	15118,21704	1,0	3668	99
0,0	24,29	1,0	10,19	241	99
93,143	0,2	134,178	0,3	279	99
428,465	1,6	177,270	0,0	197	99
13,19	0,0	9,14	1,0	206	99
403,485	0,0	312,576	0,1	170	99
688,840	0,0	489,831	0,2	121	99
847,1865	32,42	1107,1893	9,26	195	99
3,0	3,1	1,0	1,1	188	99
212,305	0,1	108,156	0,0	287	99
137,177	0,1	63,90	0,0	206	99
186,271	0,1	228,310	0,0	354	99
78,122	20,20	73,125	4,7	160	99
93,102	0,1	48,90	1,0	156	99
3,2	3,20	7,1	4,6	176	99
145,170	2,0	143,173	0,2	141	99
157,183	0,2	139,230	0,1	211	99
263,322	0,1	211,327	0,1	184	99
15166,20860	1,3	16443,22839	0,0	381	99
65,88	0,2	61,94	2,0	140	99
8,12	53,72	8,16	23,46	180	99
59,61	4,3	27,59	8,4	180	99
113,153	0,1	146,225	0,0	148	99
289,388	0,0	255,274	1,0	141	99
323,307	0,0	190,361	2,0	230	99
265,314	2,1	185,299	1,6	146	99
158,255	0,0	163,172	3,0	160	99
8020,10767	1,0	7265,11209	0,0	204	99
6,5	1,8	3,7	0,2	162	99
44,81	2,0	38,39	0,0	238	99
9,36	2,2	11,21	1,2	164	99
121,194	0,4	74,117	0,0	183	99
236,271	21,34	197,221	18,45	140	99
127,147	0,0	69,103	0,2	182	99
114,130	1,0	78,97	0,0	151	99
115,111	2,0	74,103	0,0	172	99
5,6	0,0	0,7	1,0	292	99
89,125	7,1	51,110	0,6	213	99
675,811	0,1	573,808	0,0	189	99
283,370	0,0	221,258	1,0	241	99
684,728	0,0	427,686	0,2	153	99
301,399	7,7	256,423	0,2	317	99
112,124	0,2	82,158	0,0	184	99
170,155	1,0	76,140	0,1	154	99
25,36	17,40	10,27	14,30	170	99
24,35	27,17	7,21	20,16	170	99
43,72	17,40	32,36	14,30	142	99
29,49	27,17	10,27	20,16	142	99
1050,1280	1,0	791,1404	0,0	198	99
546,691	1,0	399,759	0,0	379	99
241,305	0,1	154,218	0,0	176	99
321,457	0,0	250,329	0,1	222	99
308,489	3,3	253,339	0,2	218	99
217,294	9,28	156,188	10,15	145	99
842,1061	0,1	601,1018	0,0	320	99
264,394	0,0	189,251	0,2	192	99
1,0	27,24	0,3	13,14	252	99
72,63	0,1	16,24	0,0	245	99
40,54	0,1	13,26	1,1	205	99
119,101	3,1	76,124	2,1	190	99
355,427	5,2	473,656	0,2	158	99
2,2	136,176	0,1	93,185	218	99
484,567	0,1	445,654	0,0	241	99
4084,5281	3,6	3373,5096	0,4	156	99
50,56	2889,3749	27,47	2329,3559	172	99
296,371	0,2	303,453	0,3	137	99
7,17	133,175	6,2	106,138	193	99
131,135	1,3	80,172	1,0	166	99
3373,3713	2,0	3033,4323	1,1	183	99
46,41	0,0	27,47	0,1	165	99
147,176	0,1	106,151	0,0	160	99
688,1127	0,1	578,912	0,0	175	99
45,22	0,0	5,17	1,0	182	99
294,352	1,0	133,228	0,0	199	99
83,71	3,0	58,62	0,2	158	99
4,2	1,2	0,1	3,2	240	99
