IncLevel1	IncLevel2	IncLevelDifference
0.005,0.01	0.027,0.0	-0.006
0.556,0.264	0.485,0.385	-0.025
0.171,0.0	0.0,0.0	0.086
0.0,0.0	0.117,0.0	-0.059
0.915,0.9	0.866,0.883	0.033
0.004,0.002	0.032,0.024	-0.025
0.004,0.003	0.0,0.001	0.003
0.99,0.965	1.0,0.992	-0.018
1.0,0.895	NA,1.0	-0.052
0.34,0.279	0.162,0.265	0.096
0.143,0.143	0.043,0.122	0.06
0.141,0.141	0.063,0.039	0.09
1.0,1.0	1.0,0.968	0.016
0.017,0.022	0.05,0.049	-0.03
0.894,0.925	0.865,0.789	0.083
0.486,0.587	0.473,0.384	0.108
0.008,0.003	0.015,0.046	-0.025
1.0,0.946	1.0,0.968	-0.011
0.742,0.743	0.794,1.0	-0.155
0.949,1.0	1.0,1.0	-0.026
0.027,0.0	0.0,0.0	0.013
0.0,0.178	NA,0.0	0.089
0.987,0.986	1.0,1.0	-0.014
0.99,0.995	1.0,1.0	-0.008
0.252,0.157	0.126,0.116	0.084
0.009,0.022	0.013,0.01	0.004
0.038,0.05	0.098,0.076	-0.043
0.008,0.025	0.022,0.018	-0.003
0.009,0.003	0.0,0.016	-0.002
0.121,0.09	0.0,0.075	0.068
0.909,0.854	0.889,0.805	0.034
0.005,0.007	0.006,0.006	0.0
0.84,1.0	1.0,0.762	0.039
0.952,0.969	0.963,0.949	0.004
1.0,0.966	1.0,1.0	-0.017
0.024,0.034	0.035,0.052	-0.014
0.063,0.029	0.046,0.073	-0.013
0.13,0.162	0.143,0.162	-0.006
0.014,0.018	0.0,0.023	0.005
0.556,1.0	1.0,0.667	-0.055
1.0,0.985	1.0,1.0	-0.008
0.942,0.985	1.0,1.0	-0.036
1.0,1.0	0.96,1.0	0.02
1.0,0.967	1.0,0.982	-0.007
0.21,0.128	0.175,0.178	-0.008
0.955,0.947	0.817,0.903	0.091
0.014,0.019	0.019,0.0	0.007
1.0,0.99	1.0,1.0	-0.005
0.012,0.014	0.013,0.013	0.0
0.118,0.133	0.081,0.125	0.022
0.333,0.333	0.3,0.243	0.062
0.002,0.0	0.0,0.0	0.001
0.921,0.876	0.625,0.294	0.439
0.885,0.968	1.0,0.935	-0.041
0.471,0.678	0.086,0.235	0.414
0.754,0.883	1.0,1.0	-0.181
0.217,0.288	0.099,0.074	0.166
0.008,0.008	0.018,0.0	-0.001
0.117,0.096	0.101,0.14	-0.014
0.16,0.283	0.098,0.256	0.044
0.8,0.407	1.0,0.692	-0.242
0.857,0.933	1.0,0.818	-0.014
0.926,0.966	1.0,0.864	0.014
1.0,0.658	1.0,1.0	-0.171
0.628,0.793	0.714,0.633	0.037
0.032,0.016	0.027,0.039	-0.009
0.151,0.037	0.086,0.254	-0.076
0.443,0.35	0.472,0.241	0.04
0.342,0.053	0.0,0.089	0.153
0.694,1.0	0.43,0.086	0.589
1.0,0.992	1.0,1.0	-0.004
0.007,0.005	0.003,0.004	0.003
0.981,0.99	1.0,1.0	-0.014
0.023,0.028	0.028,0.05	-0.013
0.05,0.049	0.023,0.035	0.021
0.297,0.0	0.458,1.0	-0.581
0.774,0.272	0.929,1.0	-0.442
0.981,1.0	1.0,0.978	0.001
0.05,0.0	0.0,0.0	0.025
0.714,0.6	0.0,0.333	0.491
