ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
3	1,0	177,168	0,0	79,45	180	99	1
4	13,5	0,1	7,2	0,1	158	99	1
6	2,0	11,12	0,0	9,0	109	99	1
8	113,48	14,6	64,43	10,7	134	99	1
9	104,45	1,0	58,41	0,0	134	99	1
10	6,2	263,304	15,6	98,77	309	99	1
11	2,0	714,566	0,0	416,242	106	99	1
14	306,266	5,0	115,80	0,2	233	99	1
15	48,10	3,0	2,5	0,0	408	99	1
16	5,4	1,9	2,2	5,1	192	99	0.724820536159
17	14,6	9,11	8,1	5,2	315	99	1
19	3,0	9,11	1,0	5,2	134	99	1
21	13,4	62,57	10,11	37,19	684	99	1
22	217,233	30,24	124,82	27,11	120	99	1
23	42,31	30,24	30,14	27,11	186	99	1
24	8,7	183,209	12,2	106,70	165	99	1
25	89,84	0,1	40,46	1,0	686	99	1
26	13,6	0,2	7,6	0,1	103	99	1
27	45,47	0,0	24,21	1,0	102	99	1
28	2,3	65,58	0,2	25,5	243	99	1
30	670,559	2,5	327,186	0,0	111	99	1
31	19,15	23,32	5,5	17,13	129	99	0.767991421461
32	6,9	230,217	6,6	136,72	309	99	1
33	16,9	113,133	18,4	68,46	138	99	1
34	7,6	83,65	13,5	19,25	258	99	1
35	4,2	105,138	4,6	67,63	345	99	1
36	5,0	18,11	0,0	6,5	111	99	1
37	152,108	6,3	49,73	8,4	324	99	0.617631045005
38	5,1	323,226	1,0	150,85	138	99	1
39	49,31	0,8	21,6	0,1	218	99	0.758450095289
40	156,178	9,5	91,66	0,0	111	99	1
42	47,31	269,164	32,19	148,96	266	99	1
43	13,7	251,202	6,6	98,62	127	99	1
44	60,49	151,127	22,22	68,42	309	99	1
45	3,2	205,184	1,1	160,85	107	99	1
46	41,31	0,1	20,32	0,0	934	99	1
48	81,82	0,1	46,36	0,0	117	99	1
52	124,98	1,0	90,57	0,0	311	99	1
53	146,117	1,0	117,69	0,0	501	99	1
54	24,21	1,0	28,12	0,0	289	99	1
55	81,85	0,0	58,41	2,1	289	99	1
56	22,23	69,58	16,8	49,21	218	99	1
57	381,300	6,3	295,168	17,4	665	99	0.386904849495
58	8,6	198,216	2,0	103,61	261	99	1
60	6,2	203,204	4,3	117,89	101	99	1
61	16,12	58,42	10,3	29,16	154	99	1
62	13,8	10,11	9,3	5,8	154	99	1
63	1,2	248,203	1,0	152,126	323	99	1
64	25,13	1,0	4,5	3,0	119	99	1
65	16,7	1,0	10,6	0,0	103	99	1
66	19,11	21,12	7,6	16,4	111	99	1
67	34,15	0,0	13,6	0,2	140	99	1
68	68,46	153,134	13,10	114,89	117	99	0.0285344694473
69	2,2	244,265	2,0	121,93	107	99	1
