ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	4,1	6,8	0,0	5,0	175	99	1	1.0
1	128,111	267,269	58,24	219,123	198	99	1	1.0
2	41,37	288,292	32,16	196,118	198	99	1	1.0
3	8,11	34,15	10,4	8,5	177	99	0.422174509541	1.0
4	46,36	144,116	23,6	88,44	198	99	1	1.0
5	18,23	161,115	7,7	73,37	196	99	1	1.0
6	12,35	6,17	17,10	7,5	198	99	1	1.0
7	28,33	2,5	20,14	1,3	191	99	1	1.0
8	655,417	122,107	294,121	83,54	188	99	0.915925641236	1.0
9	13,1	0,1	14,2	0,1	192	99	1	1.0
10	174,197	483,497	82,82	350,241	178	99	1	1.0
11	217,180	3586,3207	186,105	2652,1660	162	99	1	1.0
12	50,40	58,84	27,22	46,26	198	99	1	1.0
13	122,62	472,364	66,22	275,130	175	99	1	1.0
14	5,1	52,59	4,1	24,14	182	99	1	1.0
15	27,27	49,58	15,11	23,18	196	99	1	1.0
16	4,11	60,51	5,4	27,14	197	99	1	1.0
17	157,103	7,22	49,32	12,7	198	99	0.619513044288	1.0
18	0,2	75,84	0,1	44,28	198	99	1	1.0
19	45,35	89,110	27,18	49,31	182	99	1	1.0
20	2,7	71,65	1,8	45,21	198	99	1	1.0
21	4,0	23,21	4,3	14,9	175	99	0.91071546737	1.0
22	18,14	171,140	6,11	95,53	198	99	1	1.0
23	6,0	13,11	1,2	7,2	194	99	1	1.0
24	4,6	10,7	4,0	5,0	165	99	1	1.0
26	83,62	86,76	59,29	37,30	198	99	1	1.0
27	12,6	274,298	10,6	178,103	181	99	1	1.0
28	8,18	0,0	19,10	0,1	191	99	1	1.0
29	67,54	2441,2210	39,14	1217,787	174	99	1	1.0
30	40,31	2378,2266	8,8	1224,795	190	99	1	1.0
31	5,16	187,133	2,5	114,60	187	99	1	1.0
32	121,95	7,2	78,82	1,3	198	99	1	1.0
33	200,123	1,0	131,103	0,0	198	99	1	1.0
34	7,8	35,16	42,47	12,4	198	99	1.19667977749e-08	3.0194120280458214e-06
35	72,73	518,439	50,42	275,165	180	99	1	1.0
36	17,11	55,51	6,1	25,16	198	99	1	1.0
37	9,1	81,71	2,0	42,23	171	99	1	1.0
40	24,33	265,221	14,6	161,86	170	99	1	1.0
41	219,203	18,18	85,64	7,8	177	99	1	1.0
43	19,6	16,14	2,9	10,6	196	99	1	1.0
44	15,7	15,9	10,6	17,4	172	99	1	1.0
45	4,1	2,4	0,0	1,1	177	99	0.34072229543	1.0
47	10,4	17,4	0,0	2,1	198	99	0.0325164014758	0.7567166440533261
49	7,2	25,4	0,0	2,1	198	99	0.747565478055	1.0
50	107,70	440,443	28,15	231,140	198	99	1	1.0
51	298,256	1,3	195,96	5,2	190	99	1	1.0
52	17,7	1,3	4,3	0,0	198	99	0.478471989638	1.0
53	15,2	9,11	4,2	5,2	198	99	1	1.0
54	7,2	2,0	2,0	2,0	198	99	1	1.0
59	29,18	40,22	19,4	16,11	197	99	1	1.0
60	55,53	413,405	57,34	199,131	198	99	1	1.0
61	58,32	251,200	43,32	113,79	197	99	1	1.0
62	15,5	37,37	7,5	37,13	198	99	1	1.0
64	21,26	38,37	7,21	37,14	198	99	1	1.0
65	16,13	88,56	48,31	29,11	191	99	4.34811218142e-08	9.474931726239763e-06
66	5,7	45,27	20,5	27,9	198	99	0.136678199426	1.0
67	22,3	6,10	2,1	7,4	165	99	0.218742744727	1.0
68	31,7	59,39	3,3	38,22	177	99	0.552538129931	1.0
69	55,49	33,62	15,13	16,22	198	99	1	1.0
70	25,23	34,27	7,6	17,4	198	99	1	1.0
74	63,45	30,24	37,19	27,11	198	99	1	1.0
75	34,23	183,209	24,7	106,70	198	99	1	1.0
76	37,29	2,0	21,6	0,0	198	99	1	1.0
77	8,5	119,126	3,4	62,47	198	99	1	1.0
78	13,7	115,89	18,5	38,20	194	99	0.79885503604	1.0
79	22,40	110,120	13,6	46,27	178	99	1	1.0
80	0,1	145,136	0,0	43,40	180	99	1	1.0
81	34,31	39,38	12,4	19,12	198	99	0.913948019146	1.0
82	56,53	137,128	23,21	88,56	197	99	1	1.0
83	135,58	0,1	43,19	0,0	198	99	1	1.0
84	65,51	242,264	40,36	98,99	185	99	1	1.0
85	508,469	195,183	267,161	119,67	178	99	1	1.0
86	1,4	50,36	2,4	14,18	198	99	1	1.0
89	0,3	2,7	0,0	2,1	198	99	1	1.0
90	7,7	46,42	11,7	50,27	194	99	1	1.0
91	16,11	83,62	15,10	82,35	198	99	1	1.0
92	25,17	64,45	7,6	22,19	198	99	1	1.0
93	15,18	4,2	10,0	0,0	173	99	1	1.0
94	21,10	187,178	15,6	110,80	177	99	1	1.0
97	130,69	123,113	79,27	85,59	198	99	1	1.0
98	4,8	82,91	4,0	15,8	198	99	1	1.0
99	4,10	188,156	1,1	65,43	198	99	1	1.0
100	19,27	24,31	21,3	0,6	198	99	0.182175678486	1.0
101	322,174	4536,3761	186,88	2463,1602	176	99	1	1.0
102	620,531	13,13	333,244	5,2	184	99	1	1.0
104	18,25	84,60	14,22	54,36	198	99	1	1.0
105	2507,1687	21,11	1825,879	16,6	152	99	1	1.0
106	1247,961	284,217	717,334	164,59	189	99	1	1.0
107	25,14	113,133	16,11	68,46	198	99	1	1.0
108	21,12	11,7	12,9	13,0	198	99	0.617234027902	1.0
109	2,0	19,11	0,0	2,9	179	99	1	1.0
110	30,7	6,7	18,7	7,3	188	99	1	1.0
112	252,123	162,121	57,43	111,55	198	99	0.176701018953	1.0
113	3,1	11,15	2,0	1,8	198	99	1	1.0
114	15,20	27,34	7,9	27,17	178	99	1	1.0
115	5,4	31,46	6,4	31,19	198	99	1	1.0
116	34,42	12,9	21,21	3,4	196	99	0.920036448393	1.0
