ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
3	1,0	105,168	5,0	99,45	180	99	1
4	2,5	1,1	3,2	2,1	158	99	0.230062416515
5	1,0	4,13	0,0	3,1	120	99	1
7	0,0	12,16	1,0	5,17	150	99	1
8	87,48	6,6	79,43	9,7	134	99	1
9	2,0	228,304	8,3	122,77	198	99	1
10	2,0	508,566	0,0	426,242	106	99	1
13	193,220	1,0	175,58	0,2	198	99	1
15	8,4	8,9	3,2	8,1	192	99	1
16	3,4	9,11	1,0	11,2	198	99	1
18	2,0	9,11	1,0	11,2	134	99	1
20	3,0	86,57	4,0	38,19	198	99	1
21	184,233	18,24	148,82	19,11	120	99	1
22	32,31	18,24	32,14	19,11	186	99	1
23	2,7	154,209	3,2	119,70	165	99	1
24	54,78	0,1	29,27	0,0	198	99	1
25	3,6	1,2	4,6	1,1	103	99	1
26	57,47	3,0	35,21	0,0	102	99	1
27	3,3	54,58	0,2	44,5	198	99	1
29	155,101	1,0	36,17	0,0	198	99	1
30	582,559	5,5	423,186	0,0	111	99	1
31	11,15	25,32	3,5	16,13	129	99	1
32	3,3	160,217	3,3	112,72	198	99	1
33	6,9	109,133	10,4	66,46	138	99	1
34	1,6	59,65	2,3	44,25	198	99	1
35	2,0	114,138	0,4	88,63	198	99	1
36	4,0	26,11	0,0	4,5	111	99	1
37	100,93	5,3	64,57	4,4	198	99	1
38	2,1	264,226	2,0	223,85	138	99	1
39	63,29	6,8	11,6	0,1	198	99	0.0232752235231
40	155,178	7,5	117,66	4,0	111	99	1
42	9,15	184,164	15,13	209,96	198	99	1
43	18,7	209,202	7,6	112,62	127	99	1
44	43,45	144,127	28,21	84,42	198	99	1
45	2,2	135,184	0,1	131,85	107	99	1
46	5,3	2,1	2,2	0,0	198	99	0.223956346779
48	77,82	4,1	57,36	0,0	117	99	1
51	87,73	0,0	58,28	2,0	120	99	1
52	68,78	0,0	57,36	0,1	198	99	1
53	26,19	49,58	14,7	33,21	198	99	1
54	169,165	4,3	143,72	16,4	198	99	0.74612569931
55	5,4	171,216	4,0	103,61	198	99	1
57	2,2	163,204	2,3	150,89	101	99	1
58	14,12	67,42	6,3	44,16	154	99	1
59	7,8	9,11	4,3	6,8	154	99	1
60	1,0	248,203	0,0	176,126	198	99	1
61	14,13	1,0	6,5	3,0	119	99	1
62	16,7	2,0	10,6	0,0	103	99	1
63	12,11	12,12	2,6	19,4	111	99	0.411605327885
64	13,15	3,0	11,6	0,2	140	99	1
65	37,46	113,134	12,10	92,89	117	99	0.3227650443
66	2,2	220,265	3,0	151,93	107	99	1
67	9,9	34,69	9,5	40,18	198	99	1
68	6,13	17,19	2,3	10,2	183	99	1
70	8,7	1,6	3,6	0,1	198	99	0.00860144332274
71	81,125	0,1	61,21	0,0	198	99	1
72	12,25	1,2	10,8	0,0	198	99	0.629964897327
73	25,45	1,2	35,18	0,0	198	99	1
