IncLevel1	IncLevel2	IncLevelDifference
0.999,0.997	0.998,1.0	-0.001
1.0,0.935	1.0,1.0	-0.032
0.975,1.0	0.988,1.0	-0.006
1.0,1.0	1.0,1.0	0.0
1.0,1.0	0.967,1.0	0.016
1.0,0.988	1.0,1.0	-0.006
0.997,1.0	1.0,1.0	-0.002
1.0,1.0	1.0,0.992	0.004
0.079,0.0	0.0,0.076	0.002
1.0,0.999	1.0,1.0	-0.0
0.533,0.609	0.303,0.262	0.288
0.977,1.0	0.983,1.0	-0.003
0.474,1.0	0.739,0.1	0.318
0.938,1.0	1.0,1.0	-0.031
0.994,0.964	1.0,0.981	-0.011
0.111,0.0	0.0,NA	0.056
0.966,0.991	0.978,1.0	-0.011
1.0,1.0	0.8,1.0	0.1
1.0,0.993	1.0,1.0	-0.004
0.979,1.0	1.0,0.82	0.08
0.98,1.0	1.0,0.87	0.055
0.628,0.902	1.0,1.0	-0.235
1.0,1.0	0.0,0.0	1.0
1.0,1.0	0.729,0.574	0.349
0.966,0.98	1.0,1.0	-0.027
1.0,1.0	1.0,1.0	0.0
1.0,0.998	1.0,1.0	-0.001
1.0,0.984	1.0,1.0	-0.008
0.991,0.991	1.0,1.0	-0.009
0.999,1.0	1.0,1.0	-0.0
0.058,0.052	0.102,0.092	-0.042
0.077,0.097	0.141,0.207	-0.087
1.0,1.0	0.967,1.0	0.016
0.997,0.985	1.0,0.991	-0.005
0.993,0.969	1.0,0.984	-0.011
1.0,0.996	1.0,1.0	-0.002
1.0,1.0	1.0,0.911	0.044
0.992,1.0	1.0,1.0	-0.004
1.0,1.0	0.998,1.0	0.001
0.995,0.995	0.995,0.994	0.001
0.009,0.016	0.004,0.0	0.011
0.995,1.0	1.0,1.0	-0.002
0.002,0.001	0.002,0.002	-0.001
1.0,1.0	0.994,1.0	0.003
1.0,0.997	0.998,1.0	-0.001
0.407,0.546	0.39,0.541	0.011
0.188,0.208	0.213,0.288	-0.052
0.185,0.208	0.269,0.228	-0.052
1.0,0.998	1.0,1.0	-0.001
1.0,0.991	1.0,1.0	-0.004
0.538,0.579	0.273,0.333	0.255
0.733,0.8	1.0,1.0	-0.234
1.0,1.0	0.941,1.0	0.03
1.0,0.999	1.0,1.0	-0.0
1.0,0.923	1.0,1.0	-0.038
1.0,0.975	1.0,1.0	-0.012
0.975,0.864	0.884,0.92	0.017
0.875,0.54	0.468,0.745	0.101
0.305,0.482	0.196,0.345	0.123
1.0,1.0	0.997,1.0	0.002
0.816,0.737	0.814,0.858	-0.059
1.0,0.974	0.975,0.976	0.011
0.831,0.86	1.0,0.711	-0.01
1.0,1.0	1.0,0.963	0.018
0.652,1.0	1.0,1.0	-0.174
0.218,1.0	1.0,1.0	-0.391
0.962,1.0	1.0,1.0	-0.019
0.975,0.98	0.885,0.928	0.071
1.0,1.0	0.999,1.0	0.0
1.0,0.995	1.0,1.0	-0.002
1.0,1.0	1.0,0.976	0.012
0.803,0.664	0.842,0.482	0.072
0.805,0.604	0.822,0.859	-0.136
0.5,0.321	0.632,0.756	-0.283
0.292,0.346	0.628,0.121	-0.056
1.0,0.973	1.0,1.0	-0.014
1.0,0.985	1.0,1.0	-0.008
1.0,0.997	0.997,1.0	0.0
1.0,0.938	1.0,0.92	0.009
0.995,1.0	1.0,1.0	-0.002
1.0,1.0	0.8,0.714	0.243
1.0,0.993	1.0,1.0	-0.004
0.931,0.944	0.984,0.988	-0.048
0.345,1.0	0.345,0.0	0.5
0.704,0.812	0.919,0.867	-0.135
1.0,1.0	0.968,1.0	0.016
0.36,0.082	0.496,0.36	-0.207
0.981,1.0	1.0,1.0	-0.01
1.0,0.994	1.0,1.0	-0.003
1.0,1.0	1.0,0.999	0.0
1.0,1.0	0.956,1.0	0.022
0.077,0.118	0.161,0.155	-0.06
0.89,0.595	0.65,0.569	0.133
1.0,0.991	0.994,0.986	0.006
1.0,1.0	0.978,1.0	0.011
0.989,0.988	0.992,0.971	0.007
1.0,1.0	0.971,1.0	0.014
1.0,1.0	1.0,1.0	0.0
0.786,0.169	1.0,0.71	-0.377
1.0,0.99	1.0,1.0	-0.005
0.882,1.0	1.0,1.0	-0.059
1.0,0.859	1.0,1.0	-0.071
0.731,0.743	0.869,1.0	-0.198
1.0,0.993	1.0,1.0	-0.004
0.888,0.844	0.886,0.822	0.012
1.0,1.0	1.0,0.939	0.03
1.0,0.946	1.0,1.0	-0.027
0.987,1.0	1.0,1.0	-0.006
0.971,1.0	1.0,1.0	-0.014
