ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	4,5	6,14	0,0	5,5	175	99
1	128,102	267,242	58,99	219,290	198	99
2	41,56	288,311	32,71	196,298	198	99
3	8,5	34,22	10,5	8,22	177	99
4	46,50	144,133	23,24	88,154	198	99
5	18,11	161,125	7,19	73,106	196	99
6	12,17	6,9	17,14	7,12	198	99
7	28,27	2,9	20,36	1,3	191	99
8	655,622	122,126	294,438	83,128	188	99
10	174,209	483,554	82,129	350,564	178	99
11	217,238	3586,3997	186,290	2652,4418	162	99
12	50,45	58,78	27,38	46,64	198	99
13	122,90	472,411	66,104	275,509	175	99
14	5,6	52,32	4,3	24,43	182	99
15	27,24	49,63	15,38	23,52	196	99
16	4,5	60,57	5,21	27,63	197	99
17	157,143	7,28	49,107	12,15	198	99
18	0,0	75,75	0,2	44,62	198	99
19	45,62	89,100	27,49	49,90	182	99
20	2,8	71,82	1,20	45,74	198	99
21	4,4	23,19	4,1	14,19	175	99
22	18,12	171,170	6,11	95,168	198	99
23	6,6	13,9	1,2	7,6	194	99
24	4,9	10,10	4,9	5,11	165	99
26	83,84	86,94	59,111	37,76	198	99
27	12,6	274,286	10,19	178,298	181	99
29	67,85	2441,2618	39,59	1217,2533	174	99
30	40,46	2378,2737	8,31	1224,2525	190	99
31	5,11	187,230	2,17	114,179	187	99
32	121,145	7,0	78,144	1,0	198	99
33	200,244	1,0	131,235	0,0	198	99
34	7,14	35,22	42,53	12,20	198	99
35	72,74	518,513	50,107	275,508	180	99
36	17,10	55,47	6,6	25,54	198	99
37	9,8	81,88	2,1	42,73	171	99
40	24,39	265,252	14,20	161,239	170	99
41	219,183	18,17	85,213	7,20	177	99
43	19,6	16,10	2,22	10,13	196	99
44	15,4	15,6	10,11	17,14	172	99
45	4,1	2,2	0,2	1,0	177	99
46	5,1	6,7	0,2	0,3	189	99
47	10,6	17,7	0,1	2,1	198	99
48	8,10	3,1	0,3	0,0	198	99
49	7,10	25,14	0,3	2,5	198	99
50	107,107	440,434	28,63	231,407	198	99
51	298,325	1,2	195,307	5,6	190	99
52	17,11	1,1	4,23	0,0	198	99
53	15,12	9,9	4,15	5,18	198	99
54	7,5	2,4	2,5	2,3	198	99
59	29,15	40,31	19,28	16,22	197	99
60	55,73	413,425	57,78	199,384	198	99
61	58,40	251,203	43,87	113,174	197	99
62	15,20	37,48	7,18	37,43	198	99
64	21,29	38,66	7,30	37,60	198	99
65	16,25	88,110	48,86	29,42	191	99
66	5,11	45,41	20,8	27,26	198	99
67	22,8	6,13	2,6	7,11	165	99
68	31,17	59,48	3,10	38,54	177	99
69	55,48	33,73	15,45	16,37	198	99
70	25,29	34,30	7,21	17,17	198	99
74	63,52	30,15	37,75	27,41	198	99
75	34,16	183,186	24,41	106,150	198	99
76	37,21	2,0	21,45	0,0	198	99
77	8,14	119,106	3,11	62,134	198	99
78	13,22	115,88	18,18	38,91	194	99
79	22,26	110,168	13,17	46,89	178	99
80	0,2	145,163	0,1	43,107	180	99
81	34,37	39,55	12,10	19,37	198	99
82	56,43	137,181	23,69	88,162	197	99
84	65,59	242,306	40,114	98,235	185	99
85	508,529	195,242	267,589	119,226	178	99
86	1,6	50,44	2,8	14,54	198	99
89	0,0	2,5	0,3	2,8	198	99
90	7,9	46,58	11,31	50,106	194	99
91	16,10	83,88	15,29	82,106	198	99
92	25,19	64,62	7,3	22,52	198	99
93	15,18	4,3	10,12	0,2	173	99
94	21,21	187,238	15,19	110,238	177	99
97	130,130	123,144	79,81	85,107	198	99
98	4,1	82,119	4,17	15,16	198	99
99	4,12	188,181	1,1	65,144	198	99
100	19,30	24,26	21,19	0,20	198	99
101	322,328	4536,5388	186,270	2463,4241	176	99
102	620,605	13,27	333,615	5,12	184	99
104	18,32	84,105	14,54	54,107	198	99
105	2507,2093	21,29	1825,2650	16,20	152	99
106	1247,1333	284,293	717,1230	164,292	189	99
107	25,25	113,177	16,16	68,131	198	99
108	21,22	11,5	12,15	13,12	198	99
109	2,2	19,11	0,1	2,10	179	99
110	30,19	6,18	18,22	7,13	188	99
112	252,175	162,169	57,158	111,202	198	99
113	3,0	11,8	2,0	1,11	198	99
114	15,26	27,40	7,21	27,51	178	99
115	5,4	31,62	6,10	31,30	198	99
116	34,33	12,19	21,44	3,8	196	99
117	14,7	48,51	12,5	37,45	190	99
118	11,6	228,215	5,7	98,227	198	99
119	9,13	95,79	7,11	29,85	172	99
120	67,64	80,76	58,88	52,77	198	99
121	53,75	98,103	21,43	22,92	198	99
122	53,68	6,11	23,38	8,13	198	99
123	50,41	73,80	26,32	34,83	198	99
124	47,37	3,1	23,37	1,1	197	99
125	264,230	53,56	155,246	20,29	178	99
126	8,6	45,40	1,6	32,28	198	99
127	21,15	28,24	21,16	13,19	198	99
129	53,71	54,67	47,69	53,89	198	99
130	23,36	91,97	61,69	96,108	198	99
132	164,156	27,58	78,173	3,9	198	99
133	77,113	390,425	45,108	170,365	194	99
134	22,21	45,37	10,16	11,31	198	99
135	23,21	37,24	10,16	17,30	198	99
136	31,54	247,270	28,73	134,221	198	99
137	2,2	10,5	2,3	0,11	198	99
138	31,10	3,3	12,29	0,2	198	99
139	14,13	0,0	2,17	0,1	198	99
140	28,18	0,3	7,32	4,4	198	99
141	11,4	10,18	9,8	11,9	183	99
144	43,37	10,14	16,17	10,16	198	99
145	9,4	10,12	5,9	10,14	198	99
146	21,10	16,31	9,13	16,36	198	99
147	20,17	26,32	16,16	7,20	177	99
148	2,10	24,20	0,2	20,40	177	99
149	15,21	35,26	4,9	11,26	168	99
150	0,10	16,23	9,25	16,9	198	99
151	2,9	38,45	10,4	33,64	198	99
156	9,16	155,178	11,11	96,172	174	99
