ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
3	1,3	177,168	0,0	79,131	180	99	1	1.0	0.003,0.01	0.0,0.0	0.007
4	13,4	0,7	7,6	0,6	158	99	1	1.0	1.0,0.264	1.0,0.385	-0.06
6	2,0	11,11	0,0	9,11	109	99	1	1.0	0.142,0.0	0.0,0.0	0.071
8	113,134	14,11	64,123	10,12	134	99	1	1.0	0.856,0.9	0.825,0.883	0.024
9	104,124	1,0	58,105	0,0	134	99	1	1.0	0.987,1.0	1.0,1.0	-0.006
10	6,8	263,265	15,21	98,186	309	99	1	1.0	0.007,0.01	0.047,0.035	-0.033
11	2,2	714,743	0,1	416,723	106	99	1	1.0	0.003,0.003	0.0,0.001	0.003
14	306,254	5,4	115,285	0,1	233	99	1	1.0	0.963,0.964	1.0,0.992	-0.032
15	48,23	3,1	2,6	0,0	408	99	0.581206757988	1.0	0.795,0.848	1.0,1.0	-0.178
16	5,6	1,8	2,7	5,10	192	99	0.534880521693	1.0	0.721,0.279	0.171,0.265	0.282
17	14,11	9,9	8,18	5,18	315	99	1	1.0	0.328,0.278	0.335,0.239	0.016
19	3,2	9,9	1,1	5,18	134	99	1	1.0	0.198,0.141	0.129,0.039	0.085
20	40,33	0,0	16,32	0,1	105	99	1	1.0	1.0,1.0	1.0,0.968	0.016
21	13,8	62,68	10,14	37,77	684	99	1	1.0	0.029,0.017	0.038,0.026	-0.009
22	217,225	30,15	124,186	27,41	120	99	0.941841289357	1.0	0.856,0.925	0.791,0.789	0.101
23	42,40	30,15	30,48	27,41	186	99	0.772468880404	1.0	0.427,0.587	0.372,0.384	0.129
24	8,1	183,186	12,12	106,150	165	99	1	1.0	0.026,0.003	0.064,0.046	-0.041
25	89,84	0,2	40,75	1,1	686	99	1	1.0	1.0,0.858	0.852,0.915	0.046
26	13,9	0,3	7,11	0,0	103	99	1	1.0	1.0,0.743	1.0,1.0	-0.129
27	45,51	0,0	24,62	1,0	102	99	1	1.0	1.0,1.0	0.959,1.0	0.02
28	2,0	65,44	0,0	25,38	243	99	1	1.0	0.012,0.0	0.0,0.0	0.006
29	0,1	2,4	0,0	3,2	114	99	1	1.0	0.0,0.178	0.0,0.0	0.089
30	172,154	0,1	47,90	0,0	371	99	1	1.0	1.0,0.976	1.0,1.0	-0.012
31	670,614	2,3	327,652	0,0	111	99	1	1.0	0.997,0.995	1.0,1.0	-0.004
32	19,9	23,37	5,8	17,47	129	99	0.677586116233	1.0	0.388,0.157	0.184,0.116	0.123
33	6,16	230,250	6,6	136,202	309	99	1	1.0	0.008,0.02	0.014,0.009	0.003
34	16,13	113,177	18,15	68,131	138	99	1	1.0	0.092,0.05	0.16,0.076	-0.047
35	7,6	83,77	13,7	19,54	258	99	1	1.0	0.031,0.029	0.208,0.047	-0.098
36	4,8	105,146	4,12	67,120	345	99	1	1.0	0.011,0.015	0.017,0.028	-0.009
37	5,1	18,9	0,1	6,11	111	99	1	1.0	0.199,0.09	0.0,0.075	0.107
38	152,148	6,11	49,133	8,13	324	99	0.702648100234	1.0	0.886,0.804	0.652,0.758	0.14
39	5,3	323,317	1,3	150,355	138	99	1	1.0	0.011,0.007	0.005,0.006	0.003
40	49,57	0,0	21,34	0,5	218	99	1	1.0	1.0,1.0	1.0,0.755	0.123
41	156,139	9,4	91,124	0,6	111	99	1	1.0	0.939,0.969	1.0,0.949	-0.02
42	31,30	0,1	25,37	0,0	105	99	1	1.0	1.0,0.966	1.0,1.0	-0.017
43	47,41	269,302	32,45	148,274	266	99	1	1.0	0.061,0.048	0.074,0.058	-0.012
44	13,8	251,206	6,18	98,178	127	99	1	1.0	0.039,0.029	0.046,0.073	-0.025
45	60,62	151,137	22,50	68,111	309	99	1	1.0	0.113,0.127	0.094,0.126	0.01
46	3,4	205,200	1,6	160,238	107	99	1	1.0	0.013,0.018	0.006,0.023	0.001
47	41,27	0,0	20,44	0,1	934	99	1	1.0	1.0,1.0	1.0,0.823	0.089
49	316,337	0,1	152,309	0,0	1859	99	1	1.0	1.0,0.947	1.0,1.0	-0.026
50	81,79	0,1	46,101	0,0	117	99	1	1.0	1.0,0.985	1.0,1.0	-0.008
54	124,141	1,0	90,182	0,0	311	99	1	1.0	0.975,1.0	1.0,1.0	-0.012
55	146,178	1,0	117,238	0,0	501	99	1	1.0	0.966,1.0	1.0,1.0	-0.017
56	24,38	1,0	28,60	0,0	289	99	1	1.0	0.892,1.0	1.0,1.0	-0.054
57	81,128	0,2	58,135	2,1	289	99	1	1.0	1.0,0.956	0.909,0.979	0.034
58	22,24	69,68	16,44	49,83	218	99	1	1.0	0.126,0.138	0.129,0.194	-0.029
59	381,290	6,5	295,530	17,12	665	99	1	1.0	0.904,0.896	0.721,0.868	0.106
60	8,13	198,205	2,0	103,149	261	99	1	1.0	0.015,0.023	0.007,0.0	0.015
61	217,222	0,2	151,214	0,0	107	99	1	1.0	1.0,0.99	1.0,1.0	-0.005
62	6,3	203,214	4,3	117,221	101	99	1	1.0	0.028,0.014	0.032,0.013	-0.001
63	16,10	58,42	10,16	29,72	154	99	1	1.0	0.151,0.133	0.181,0.125	-0.011
64	13,7	10,9	9,8	5,16	154	99	1	1.0	0.455,0.333	0.536,0.243	0.005
65	1,2	248,243	1,1	152,330	323	99	1	1.0	0.001,0.003	0.002,0.001	0.001
