ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	1,1	135,144	0,0	68,124	198	198	1	1.0
1	49,60	135,144	30,58	68,124	198	198	1	1.0
2	34,37	49,54	19,37	28,67	139	144	1	1.0
3	19,13	99,129	9,13	44,98	180	180	1	1.0
5	118,122	209,205	40,92	72,152	176	198	1	1.0
6	338,308	248,271	224,312	183,282	198	166	1	1.0
8	690,664	78,51	333,634	25,59	166	117	1	1.0
10	38,38	62,65	34,49	26,58	138	156	0.609587644725	1.0
11	143,152	247,213	59,125	116,210	177	170	1	1.0
12	478,480	276,260	331,446	207,255	198	165	1	1.0
13	64,61	134,123	60,103	85,169	147	168	1	1.0
14	32,34	109,90	12,38	94,116	119	152	1	1.0
15	96,90	477,491	49,121	269,476	194	184	1	1.0
16	106,123	225,262	71,166	152,341	170	198	1	1.0
17	56,34	115,80	29,36	73,87	158	198	1	1.0
19	228,352	384,570	292,465	461,684	198	198	1	1.0
20	93,106	62,69	57,115	45,79	198	198	1	1.0
21	36,46	89,85	15,50	41,71	143	198	1	1.0
22	930,979	573,562	522,984	317,601	170	180	1	1.0
23	597,500	296,289	301,523	151,328	180	143	1	1.0
24	569,587	956,1069	350,524	553,877	124	198	1	1.0
26	57,82	66,78	46,82	48,81	159	159	1	1.0
27	1894,2019	2013,2108	940,1788	1164,1916	198	198	1	1.0
28	11,13	7,3	3,6	0,3	144	151	0.698775819273	1.0
29	9,18	7,3	2,7	0,3	198	151	0.743435654733	1.0
30	255,212	4,10	156,323	10,20	198	198	1	1.0
31	4,0	6,1	4,8	1,5	192	192	0.136740168326	1.0
32	4,5	132,142	4,3	87,143	133	198	1	1.0
33	203,213	338,444	98,208	253,442	131	198	1	1.0
34	26,47	218,257	27,68	98,221	198	162	1	1.0
35	31,24	317,349	33,53	182,405	133	162	1	1.0
36	118,121	269,266	51,100	94,192	198	197	1	1.0
37	1,0	23,14	2,5	5,18	198	198	0.224826810856	1.0
38	29,32	918,1078	16,31	507,847	137	198	1	1.0
39	140,191	106,139	142,247	74,163	198	198	1	1.0
40	197,208	60,73	156,199	42,55	184	143	1	1.0
41	171,211	97,99	137,247	52,61	143	162	0.89733286492	1.0
42	175,150	281,343	82,109	224,387	162	159	0.938048761409	1.0
43	57,69	17,41	32,48	18,27	198	198	1	1.0
44	42,48	126,116	21,40	38,124	165	198	1	1.0
45	1782,2158	3266,3283	913,1638	1469,2594	159	192	1	1.0
46	41,44	17,16	5,23	11,10	198	107	0.37391278195	1.0
47	53,54	17,16	12,27	11,10	198	107	0.625333714015	1.0
48	44,56	17,16	18,46	11,10	198	107	1	1.0
49	53,60	371,299	26,55	203,280	128	189	1	1.0
51	192,241	206,274	127,229	127,264	167	198	1	1.0
52	44,21	67,65	20,42	41,66	139	188	1	1.0
53	853,898	1123,1281	580,788	768,1176	166	198	1	1.0
54	46,55	103,127	25,41	38,90	135	183	1	1.0
55	3,0	103,127	0,1	38,90	150	183	1	1.0
56	124,122	49,80	45,91	37,42	198	172	1	1.0
57	88,85	54,31	40,63	20,25	180	138	1	1.0
58	193,210	277,297	114,222	187,351	161	198	1	1.0
59	59,32	63,42	26,48	46,90	140	164	0.796443177927	1.0
61	13,14	2,3	1,4	0,1	198	198	0.74576391877	1.0
62	78,78	21,15	30,43	2,5	180	132	0.487908532387	1.0
63	17,21	26,20	7,9	7,22	132	153	1	1.0
65	0,1	1,0	0,4	0,0	198	198	1	1.0
66	374,381	389,329	259,455	235,401	162	162	1	1.0
67	61,60	72,54	40,71	27,54	198	198	1	1.0
69	33,27	154,124	12,7	98,155	198	192	0.800368068476	1.0
70	8,8	3,0	8,10	1,0	164	152	1	1.0
71	87,86	34,32	57,96	20,38	198	191	1	1.0
72	118,69	69,39	47,67	29,62	160	146	1	1.0
73	781,1072	560,767	570,1045	413,754	147	147	1	1.0
74	557,782	560,767	416,739	414,753	147	147	1	1.0
75	2,0	3,1	0,0	0,3	147	147	1	1.0
76	433,615	3,1	302,511	0,3	147	147	1	1.0
77	432,612	814,1046	304,510	526,1016	147	147	1	1.0
78	433,615	2,0	302,511	0,0	147	147	1	1.0
79	15,15	65,77	7,14	32,33	197	148	1	1.0
81	318,304	173,211	129,248	108,178	189	165	1	1.0
82	1318,1658	672,869	852,1539	470,721	198	133	1	1.0
83	23,27	67,118	17,7	46,90	160	162	1	1.0
84	12,15	67,118	4,3	46,90	198	162	1	1.0
85	0,3	37,51	1,0	21,26	158	198	1	1.0
