IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4,5	6,14	0,0	5,5	175	99
128,102	267,242	58,99	219,290	198	99
41,56	288,311	32,71	196,298	198	99
8,5	34,22	10,5	8,22	177	99
46,50	144,133	23,24	88,154	198	99
18,11	161,125	7,19	73,106	196	99
12,17	6,9	17,14	7,12	198	99
28,27	2,9	20,36	1,3	191	99
655,622	122,126	294,438	83,128	188	99
174,209	483,554	82,129	350,564	178	99
217,238	3586,3997	186,290	2652,4418	162	99
50,45	58,78	27,38	46,64	198	99
122,90	472,411	66,104	275,509	175	99
5,6	52,32	4,3	24,43	182	99
27,24	49,63	15,38	23,52	196	99
4,5	60,57	5,21	27,63	197	99
157,143	7,28	49,107	12,15	198	99
0,0	75,75	0,2	44,62	198	99
45,62	89,100	27,49	49,90	182	99
2,8	71,82	1,20	45,74	198	99
4,4	23,19	4,1	14,19	175	99
18,12	171,170	6,11	95,168	198	99
6,6	13,9	1,2	7,6	194	99
4,9	10,10	4,9	5,11	165	99
83,84	86,94	59,111	37,76	198	99
12,6	274,286	10,19	178,298	181	99
67,85	2441,2618	39,59	1217,2533	174	99
40,46	2378,2737	8,31	1224,2525	190	99
5,11	187,230	2,17	114,179	187	99
121,145	7,0	78,144	1,0	198	99
200,244	1,0	131,235	0,0	198	99
7,14	35,22	42,53	12,20	198	99
72,74	518,513	50,107	275,508	180	99
17,10	55,47	6,6	25,54	198	99
9,8	81,88	2,1	42,73	171	99
24,39	265,252	14,20	161,239	170	99
219,183	18,17	85,213	7,20	177	99
19,6	16,10	2,22	10,13	196	99
15,4	15,6	10,11	17,14	172	99
4,1	2,2	0,2	1,0	177	99
5,1	6,7	0,2	0,3	189	99
10,6	17,7	0,1	2,1	198	99
8,10	3,1	0,3	0,0	198	99
7,10	25,14	0,3	2,5	198	99
107,107	440,434	28,63	231,407	198	99
298,325	1,2	195,307	5,6	190	99
17,11	1,1	4,23	0,0	198	99
15,12	9,9	4,15	5,18	198	99
7,5	2,4	2,5	2,3	198	99
29,15	40,31	19,28	16,22	197	99
55,73	413,425	57,78	199,384	198	99
58,40	251,203	43,87	113,174	197	99
15,20	37,48	7,18	37,43	198	99
21,29	38,66	7,30	37,60	198	99
16,25	88,110	48,86	29,42	191	99
5,11	45,41	20,8	27,26	198	99
22,8	6,13	2,6	7,11	165	99
31,17	59,48	3,10	38,54	177	99
55,48	33,73	15,45	16,37	198	99
25,29	34,30	7,21	17,17	198	99
63,52	30,15	37,75	27,41	198	99
34,16	183,186	24,41	106,150	198	99
37,21	2,0	21,45	0,0	198	99
8,14	119,106	3,11	62,134	198	99
13,22	115,88	18,18	38,91	194	99
22,26	110,168	13,17	46,89	178	99
0,2	145,163	0,1	43,107	180	99
34,37	39,55	12,10	19,37	198	99
