ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	25,30	19,44	24,4	31,17	182	99
1	24,24	0,1	25,9	1,0	243	99
2	4,9	80,111	4,1	101,34	128	99
3	287,321	30,25	365,127	31,9	108	99
4	359,495	10,27	400,209	35,8	105	99
6	109,149	0,2	87,49	0,0	105	99
7	50,62	0,0	46,19	1,1	102	99
10	687,939	4,1	551,225	1,0	103	99
11	36,33	10,9	20,10	4,0	132	99
12	147,172	1,0	138,71	0,0	449	99
13	38,71	0,2	32,20	0,0	150	99
14	14,13	125,180	12,8	172,53	110	99
15	3,1	148,304	10,7	181,77	260	99
16	219,306	1,1	228,128	0,1	104	99
17	403,585	4,7	571,254	6,2	106	99
18	4,8	57,50	8,1	33,16	102	99
19	46,46	7,2	20,9	13,5	107	99
21	157,233	5,8	167,88	8,0	117	99
22	108,178	3,2	132,57	1,1	102	99
23	4,4	8,0	0,1	4,0	111	99
24	7,6	2,0	0,1	0,0	245	99
25	1711,2466	265,376	2657,1201	567,295	105	99
26	5,1	12,16	1,1	8,0	108	99
27	5,14	33,39	5,6	41,22	111	99
28	14,5	81,106	28,17	63,31	120	99
29	34,42	13,12	32,35	31,15	297	99
30	36,44	63,111	35,35	50,35	309	99
31	15,14	63,111	34,15	50,35	111	99
32	1,0	0,1	1,0	0,1	102	99
33	7,4	92,125	0,4	100,44	282	99
34	28,25	29,38	17,7	20,12	106	99
35	138,198	0,0	157,84	1,0	265	99
37	81,148	6,5	75,58	12,4	102	99
38	4,10	44,62	25,5	113,35	136	99
39	94,141	1,4	91,47	1,0	102	99
40	18,26	13,15	17,2	17,7	119	99
44	42,46	185,241	59,22	222,110	186	99
45	78,155	14,6	76,33	9,2	130	99
46	0,1	11,8	6,0	14,8	109	99
47	5,5	17,22	7,3	19,9	114	99
48	6,0	24,31	1,0	17,11	116	99
49	8,12	12,18	11,1	16,11	117	99
50	114,169	4,3	89,72	12,4	408	99
51	89,94	4,3	40,36	12,4	449	99
52	14,8	38,83	2,2	50,38	140	99
55	15,35	21,36	27,8	19,15	102	99
56	54,67	1,1	24,30	0,0	697	99
57	6,16	1,0	4,2	4,0	193	99
58	15,9	2,0	18,8	3,0	177	99
59	5,1	16,13	16,2	12,5	102	99
60	0,0	45,39	1,0	21,14	147	99
62	26,34	19,20	25,12	14,13	102	99
63	778,1023	0,0	1152,425	2,2	104	99
64	0,12	2,6	7,4	1,1	247	99
65	18,35	15,22	17,9	26,10	247	99
66	0,0	2,0	0,1	0,0	105	99
69	57,136	2,4	65,59	0,2	114	99
71	127,199	22,38	162,81	14,4	102	99
72	24,48	0,3	12,12	6,1	160	99
75	2,6	5,6	2,2	0,0	108	99
76	11,21	4,2	11,3	1,0	102	99
77	8,15	1,1	10,3	1,0	161	99
79	14,31	3,12	27,18	13,8	184	99
80	70,118	0,0	86,52	1,1	306	99
81	59,54	14,16	83,38	24,12	120	99
83	130,181	8,3	206,80	18,4	248	99
84	5,8	38,48	12,2	40,7	102	99
85	6,2	89,122	3,3	87,32	115	99
86	213,272	49,100	188,107	49,32	102	99
87	209,291	62,100	199,90	76,27	102	99
89	106,161	20,37	107,65	23,16	114	99
90	18,35	1,0	21,13	0,0	114	99
91	1,2	36,98	2,8	52,41	267	99
92	4,3	2,2	4,2	3,0	132	99
93	14,14	154,278	15,8	175,119	108	99
94	4,7	37,51	3,8	70,24	117	99
95	1009,1209	0,0	1206,432	1,0	103	99
96	122,176	378,623	97,44	433,219	182	99
98	102,133	17,21	51,42	20,10	180	99
99	6,8	43,75	3,0	55,23	113	99
101	52,63	64,112	85,51	66,30	106	99
102	188,237	3,2	185,72	1,1	238	99
103	2,2	146,254	3,1	199,86	132	99
104	378,501	12,15	451,181	14,7	111	99
106	128,123	1,6	116,41	2,1	122	99
107	34,79	2048,3011	65,20	3132,1446	108	99
108	58,68	1,0	57,26	0,0	234	99
109	12,7	1,2	6,3	2,0	114	99
110	0,1	10,8	1,0	7,3	115	99
111	441,585	0,2	374,245	0,0	660	99
112	1,2	5,16	2,0	1,3	102	99
113	15,15	0,0	18,3	0,2	134	99
115	18,15	6,7	13,4	7,1	108	99
116	46,44	1,1	45,18	0,0	134	99
117	72,85	1,4	80,21	0,0	278	99
120	74,128	3,0	101,47	0,1	172	99
121	4,3	23,32	7,0	30,17	120	99
122	1,5	229,281	2,3	342,138	135	99
