IncLevel1	IncLevel2	IncLevelDifference
0.417,0.271	0.296,0.113	0.139
1.0,0.907	0.911,1.0	-0.002
0.037,0.059	0.03,0.022	0.022
0.898,0.922	0.915,0.928	-0.011
0.971,0.945	0.915,0.961	0.02
1.0,0.986	1.0,1.0	-0.007
1.0,1.0	0.978,0.949	0.036
0.994,0.999	0.998,1.0	-0.003
0.73,0.733	0.789,1.0	-0.163
0.97,1.0	1.0,1.0	-0.015
1.0,0.959	1.0,1.0	-0.02
0.092,0.061	0.059,0.12	-0.013
0.008,0.001	0.021,0.033	-0.023
0.995,0.997	1.0,0.992	0.0
0.989,0.987	0.989,0.992	-0.002
0.064,0.134	0.19,0.057	-0.024
0.859,0.955	0.587,0.625	0.301
0.964,0.961	0.946,1.0	-0.011
0.972,0.989	0.992,0.982	-0.007
0.308,1.0	0.0,1.0	0.154
0.586,1.0	NA,1.0	-0.207
0.859,0.861	0.815,0.793	0.056
0.276,0.054	0.103,1.0	-0.386
0.119,0.243	0.098,0.196	0.034
0.125,0.037	0.268,0.311	-0.208
0.466,0.538	0.256,0.438	0.155
0.155,0.113	0.183,0.243	-0.079
0.175,0.101	0.378,0.277	-0.19
1.0,0.0	1.0,0.0	0.0
0.026,0.011	0.0,0.031	0.003
0.474,0.381	0.443,0.353	0.029
1.0,1.0	0.983,1.0	0.008
0.929,0.966	0.858,0.934	0.051
0.062,0.105	0.139,0.094	-0.033
0.989,0.972	0.989,1.0	-0.014
0.535,0.591	0.454,0.192	0.24
0.108,0.092	0.124,0.096	-0.01
0.809,0.952	0.865,0.926	-0.015
0.0,0.102	0.28,0.0	-0.089
0.203,0.165	0.242,0.224	-0.049
0.176,0.0	0.048,0.0	0.064
0.361,0.361	0.368,0.071	0.141
0.874,0.932	0.643,0.814	0.175
0.831,0.874	0.424,0.665	0.308
0.207,0.064	0.028,0.036	0.104
0.409,0.485	0.58,0.341	-0.014
0.885,0.905	1.0,1.0	-0.105
0.755,1.0	0.339,1.0	0.208
0.808,1.0	0.77,1.0	0.019
0.233,0.069	0.564,0.28	-0.271
0.0,0.0	0.031,0.0	-0.015
0.57,0.623	0.634,0.473	0.043
1.0,1.0	0.998,0.995	0.004
0.0,0.445	0.737,0.616	-0.454
0.325,0.389	0.208,0.265	0.12
0.0,NA	NA,1.0	-1.0
0.961,0.967	1.0,0.962	-0.017
0.849,0.836	0.918,0.952	-0.093
1.0,0.908	0.553,0.881	0.237
0.268,0.478	1.0,1.0	-0.627
0.727,0.911	0.914,1.0	-0.138
0.831,0.902	0.86,1.0	-0.063
0.715,0.582	0.528,0.548	0.11
1.0,1.0	0.965,0.944	0.046
0.777,0.736	0.74,0.723	0.025
0.866,0.96	0.82,0.889	0.058
0.113,0.139	0.226,0.217	-0.096
0.055,0.014	0.029,0.075	-0.017
0.808,0.725	0.788,0.764	-0.01
0.766,0.739	0.718,0.764	0.011
0.822,0.791	0.802,0.779	0.016
0.94,1.0	1.0,1.0	-0.03
