IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
15,37	28,37	22,31	38,30	182	99
24,21	0,0	42,27	3,0	243	99
4,11	87,114	11,14	114,128	128	99
353,402	28,33	363,368	31,27	108	99
441,646	22,40	461,567	33,29	105	99
100,119	1,0	170,120	3,0	109	99
551,903	0,1	529,732	1,5	103	99
24,47	5,6	20,42	7,11	132	99
7,17	132,184	29,23	153,194	110	99
7,13	206,265	20,15	208,186	260	99
245,341	2,3	334,395	1,1	104	99
448,784	3,14	540,779	4,9	106	99
7,16	50,64	12,7	78,57	102	99
37,47	8,8	39,30	11,9	107	99
201,241	4,7	214,223	6,6	117	99
114,185	1,3	157,144	3,3	102	99
1,2	0,7	0,0	0,3	111	99
5,14	0,1	2,4	0,0	245	99
2058,3084	290,411	3259,3563	750,729	105	99
4,8	6,18	8,5	12,15	108	99
10,22	37,48	8,15	64,54	111	99
8,24	83,95	12,35	77,104	120	99
28,77	11,18	49,66	44,43	297	99
28,79	75,108	52,70	100,117	309	99
11,20	75,108	47,47	100,117	111	99
5,10	91,110	13,6	165,138	282	99
26,57	29,55	24,23	33,37	106	99
82,141	4,7	79,117	5,16	102	99
14,16	62,88	21,36	56,106	136	99
88,158	7,7	104,138	3,3	102	99
13,25	17,16	11,18	16,10	119	99
64,69	181,296	96,90	227,284	186	99
127,192	9,8	116,84	14,8	130	99
2,2	10,8	4,2	23,5	109	99
12,9	18,33	9,15	30,25	114	99
0,1	19,46	2,1	31,35	116	99
13,15	9,17	9,15	33,28	117	99
147,207	7,11	145,149	7,13	408	99
102,137	7,11	76,72	7,13	449	99
11,13	54,80	6,7	72,83	140	99
16,26	24,37	48,30	16,31	102	99
50,46	0,0	95,93	1,1	697	99
10,15	2,3	24,19	4,4	193	99
20,20	1,0	37,19	2,0	177	99
4,5	26,30	12,12	25,15	102	99
45,48	20,33	26,34	25,19	102	99
23,28	23,31	33,26	23,36	247	99
82,110	1,2	143,151	1,0	114	99
186,270	33,34	224,238	34,36	102	99
11,34	3,5	22,25	4,0	160	99
3,1	1,4	2,0	1,4	108	99
1,1	5,1	2,0	2,3	108	99
7,13	2,5	41,14	3,1	102	99
11,15	0,4	14,22	3,2	161	99
19,34	12,16	43,48	12,15	184	99
103,138	0,2	152,157	0,1	306	99
68,98	9,21	103,119	18,23	120	99
