ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	9,15	184,286	7,6	229,223	233	341	1	1.0	0.067,0.071	0.043,0.038	0.029
1	65,70	184,286	57,62	229,223	212	341	1	1.0	0.362,0.282	0.286,0.309	0.024
2	8,13	70,129	14,13	74,98	180	180	1	1.0	0.103,0.092	0.159,0.117	-0.041
4	82,123	148,255	39,93	79,186	176	222	1	1.0	0.411,0.378	0.384,0.387	0.009
5	252,323	197,271	357,322	256,282	205	166	1	1.0	0.509,0.491	0.53,0.48	-0.005
6	230,382	261,387	554,738	573,700	181	168	1	1.0	0.45,0.478	0.473,0.495	-0.02
8	406,664	32,51	475,634	48,59	166	117	1	1.0	0.899,0.902	0.875,0.883	0.022
9	361,635	312,449	566,575	372,498	174	147	1	1.0	0.494,0.544	0.562,0.494	-0.009
11	28,38	30,65	45,49	76,58	138	156	1	1.0	0.513,0.398	0.401,0.488	0.011
12	322,493	195,261	376,471	187,255	201	165	1	1.0	0.575,0.608	0.623,0.603	-0.022
13	21,34	70,90	24,38	89,116	119	152	1	1.0	0.277,0.325	0.256,0.295	0.026
14	116,176	139,191	176,168	214,188	197	175	1	1.0	0.426,0.45	0.422,0.443	0.006
15	79,123	184,313	159,166	340,432	170	240	1	1.0	0.377,0.357	0.398,0.352	-0.008
17	46,64	71,139	71,94	127,107	148	214	1	1.0	0.484,0.4	0.447,0.56	-0.062
18	1291,1847	1309,1870	1330,1688	1344,1776	173	159	1	1.0	0.475,0.476	0.476,0.466	0.005
19	20,32	45,66	44,41	61,68	198	221	1	1.0	0.332,0.351	0.446,0.402	-0.083
20	1217,1782	1726,2407	2653,2294	3833,3316	525	525	1	1.0	0.414,0.425	0.409,0.409	0.011
21	24,46	89,87	15,50	82,78	143	216	1	1.0	0.289,0.444	0.216,0.492	0.013
22	588,979	322,562	723,984	447,601	170	180	1	1.0	0.659,0.648	0.631,0.634	0.021
23	327,500	159,289	418,523	243,328	180	143	1	1.0	0.62,0.579	0.577,0.559	0.031
24	51,83	59,78	69,83	103,81	159	159	1	1.0	0.464,0.516	0.401,0.506	0.036
25	70,113	91,118	77,112	98,140	198	189	1	1.0	0.423,0.478	0.429,0.433	0.02
26	315,448	4,19	580,701	10,27	304	249	1	1.0	0.985,0.951	0.979,0.955	0.001
27	0,8	1,1	0,4	1,1	159	152	0.871572878851	1.0	0.0,0.884	0.0,0.793	0.045
28	2,0	5,1	4,8	11,6	192	192	0.113163045306	1.0	0.286,0.0	0.267,0.571	-0.276
29	76,92	52,95	92,61	65,67	167	188	1	1.0	0.622,0.522	0.614,0.506	0.012
30	335,525	7638,11836	385,617	8187,13330	173	559	1	1.0	0.124,0.125	0.132,0.13	-0.007
31	93,213	312,583	180,208	484,545	131	231	1	1.0	0.345,0.392	0.396,0.402	-0.031
32	21,54	159,257	70,77	205,221	201	162	1	1.0	0.096,0.145	0.216,0.219	-0.097
33	24,24	249,350	46,53	282,405	133	162	1	1.0	0.105,0.077	0.166,0.137	-0.061
34	79,133	138,266	106,111	168,192	202	197	1	1.0	0.358,0.328	0.381,0.361	-0.028
35	20,25	241,282	17,39	323,342	654	825	1	1.0	0.095,0.101	0.062,0.126	0.004
36	20,32	1233,2141	22,32	1286,1737	137	323	1	1.0	0.037,0.034	0.039,0.042	-0.005
37	301,482	280,454	453,672	401,518	354	345	1	1.0	0.512,0.509	0.524,0.558	-0.031
38	157,208	40,73	220,199	56,55	184	143	1	1.0	0.753,0.689	0.753,0.738	-0.025
39	110,211	60,100	160,247	59,61	143	162	1	1.0	0.675,0.705	0.754,0.821	-0.098
40	99,151	175,343	139,109	280,387	162	159	1	1.0	0.357,0.302	0.328,0.217	0.057
41	149,204	44,85	183,180	65,60	346	261	1	1.0	0.719,0.644	0.68,0.694	-0.006
42	32,48	83,189	30,40	132,156	165	241	1	1.0	0.36,0.271	0.249,0.272	0.055
43	1348,2158	2159,3286	1239,1638	1868,2600	159	192	1	1.0	0.43,0.442	0.445,0.432	-0.003
44	3984,5105	7,16	3961,4275	9,10	1796	107	1	1.0	0.971,0.95	0.963,0.962	-0.002
45	3987,5128	7,16	3966,4289	9,10	1799	107	1	1.0	0.971,0.95	0.963,0.962	-0.002
46	4002,5159	7,16	4014,4320	9,10	1836	107	1	1.0	0.971,0.949	0.963,0.962	-0.002
47	29,31	22,38	25,23	40,32	168	168	0.940844447412	1.0	0.569,0.449	0.385,0.418	0.108
48	13,18	9,9	15,40	9,11	220	174	0.884475571831	1.0	0.533,0.613	0.569,0.742	-0.083
49	185,384	309,553	221,324	448,486	152	192	1	1.0	0.431,0.467	0.384,0.457	0.029
50	212,249	121,158	160,226	111,109	151	138	1	1.0	0.616,0.59	0.568,0.655	-0.008
51	57,82	1472,1952	43,53	874,1378	108	344	1	1.0	0.11,0.118	0.135,0.109	-0.008
53	118,241	237,433	163,229	320,433	167	241	1	1.0	0.418,0.445	0.424,0.433	0.003
54	51,55	70,127	32,41	89,90	135	183	1	1.0	0.497,0.37	0.328,0.382	0.079
55	3,0	70,127	1,1	89,90	150	183	1	1.0	0.05,0.0	0.014,0.013	0.012
56	61,85	23,31	80,63	50,25	180	138	1	1.0	0.67,0.678	0.551,0.659	0.069
57	123,210	169,322	119,222	243,372	161	199	1	1.0	0.474,0.446	0.377,0.425	0.059
58	26,32	31,42	48,48	89,90	140	164	1	1.0	0.496,0.472	0.387,0.385	0.098
60	7,17	7,17	18,8	8,2	288	288	0.178005017349	1.0	0.5,0.5	0.692,0.8	-0.246
61	243,312	83,142	298,339	114,137	152	128	1	1.0	0.711,0.649	0.688,0.676	-0.002
62	1066,1496	1720,2546	1153,1262	2074,2339	187	229	1	1.0	0.431,0.418	0.405,0.398	0.023
63	1308,1885	2249,3188	1331,1586	2233,2825	183	252	1	1.0	0.445,0.449	0.451,0.436	0.004
64	26,37	39,72	33,66	72,93	171	177	1	1.0	0.408,0.347	0.322,0.423	0.005
66	446,602	47,93	481,688	81,77	491	160	1	1.0	0.756,0.678	0.659,0.744	0.016
67	6,1	1,2	2,13	8,3	487	520	0.590194107221	1.0	0.865,0.348	0.211,0.822	0.09
68	142,169	115,153	148,148	131,124	179	159	1	1.0	0.523,0.495	0.501,0.515	0.001
69	267,381	242,329	454,455	413,402	162	162	1	1.0	0.525,0.537	0.524,0.531	0.003
70	82,89	70,87	69,115	76,89	238	244	1	1.0	0.546,0.512	0.482,0.57	0.003
71	85,126	45,79	99,62	70,45	212	188	1	1.0	0.626,0.586	0.556,0.55	0.053
73	35,62	108,124	25,28	102,155	242	192	0.856138420632	1.0	0.205,0.284	0.163,0.125	0.1
74	4,8	1,0	2,10	0,0	164	152	1	1.0	0.788,1.0	1.0,1.0	-0.106
75	207,310	73,109	199,284	88,124	250	165	1	1.0	0.652,0.652	0.599,0.602	0.051
76	624,1072	428,768	938,1046	695,754	147	147	1	1.0	0.593,0.583	0.574,0.581	0.011
77	496,784	1,0	715,739	0,2	147	147	1	1.0	0.998,1.0	1.0,0.997	0.001
78	24,47	0,1	32,43	0,4	147	147	1	1.0	1.0,0.979	1.0,0.915	0.032
79	364,615	0,1	519,511	0,4	147	147	1	1.0	1.0,0.998	1.0,0.992	0.003
80	496,784	666,1041	715,739	954,1014	147	147	1	1.0	0.427,0.43	0.428,0.422	0.004
81	365,612	665,1046	518,510	954,1017	147	147	1	1.0	0.354,0.369	0.352,0.334	0.019
82	364,615	24,47	519,511	32,43	147	147	1	1.0	0.938,0.929	0.942,0.922	0.002
83	12,15	54,77	22,14	51,33	197	148	0.845818382095	1.0	0.143,0.128	0.245,0.242	-0.108
85	185,306	115,211	226,248	155,178	189	165	1	1.0	0.584,0.559	0.56,0.549	0.017
86	15,27	66,118	9,7	107,90	160	162	0.67981857486	1.0	0.187,0.188	0.078,0.073	0.112
87	6,17	66,118	2,3	107,90	204	162	1	1.0	0.067,0.103	0.015,0.026	0.065
88	1,3	43,58	0,0	32,29	158	210	1	1.0	0.03,0.064	0.0,0.0	0.047
