ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	15,37	28,37	22,31	38,30	182	99	1	1.0
1	22,19	0,0	42,27	3,0	198	99	1	1.0
2	4,11	87,114	11,14	114,128	128	99	1	1.0
3	353,402	28,33	363,368	31,27	108	99	1	1.0
4	441,646	22,40	461,567	33,29	105	99	1	1.0
8	100,119	1,0	170,120	3,0	109	99	1	1.0
10	551,903	0,1	529,732	1,5	103	99	1	1.0
11	24,47	5,6	20,42	7,11	132	99	0.848344596444	1.0
13	7,17	132,184	29,23	153,194	110	99	1	1.0
14	5,11	206,265	8,9	208,186	198	99	1	1.0
15	245,341	2,3	334,395	1,1	104	99	1	1.0
16	448,784	3,14	540,779	4,9	106	99	1	1.0
17	7,16	50,64	12,7	78,57	102	99	1	1.0
18	37,47	8,8	39,30	11,9	107	99	1	1.0
20	201,241	4,7	214,223	6,6	117	99	1	1.0
21	114,185	1,3	157,144	3,3	102	99	1	1.0
22	1,2	0,7	0,0	0,3	111	99	1	1.0
23	5,14	0,1	2,4	0,0	198	99	1	1.0
24	2058,3084	290,411	3259,3563	750,729	105	99	1	1.0
25	4,8	6,18	8,5	12,15	108	99	1	1.0
26	10,22	37,48	8,15	64,54	111	99	1	1.0
27	8,24	83,95	12,35	77,104	120	99	1	1.0
28	15,53	11,18	30,38	44,43	198	99	0.0909019726211	1.0
29	15,53	75,108	33,39	100,117	198	99	1	1.0
30	11,20	75,108	47,47	100,117	111	99	0.161098426879	1.0
32	4,7	91,110	6,5	165,138	198	99	1	1.0
33	26,57	29,55	24,23	33,37	106	99	1	1.0
35	82,141	4,7	79,117	5,16	102	99	1	1.0
36	14,16	62,88	21,36	56,106	136	99	1	1.0
37	88,158	7,7	104,138	3,3	102	99	1	1.0
38	13,25	17,16	11,18	16,10	119	99	1	1.0
42	64,69	181,296	96,90	227,284	186	99	1	1.0
43	127,192	9,8	116,84	14,8	130	99	1	1.0
44	2,2	10,8	4,2	23,5	109	99	1	1.0
45	12,9	18,33	9,15	30,25	114	99	1	1.0
46	0,1	19,46	2,1	31,35	116	99	1	1.0
47	13,15	9,17	9,15	33,28	117	99	0.140173242682	1.0
48	89,122	7,11	97,106	7,13	198	99	1	1.0
49	38,43	7,11	25,24	7,13	198	99	0.637150885309	1.0
50	11,13	54,80	6,7	72,83	140	99	1	1.0
53	16,26	24,37	48,30	16,31	102	99	0.197850271577	1.0
54	18,17	0,0	26,28	1,1	198	99	1	1.0
55	10,15	2,3	24,19	4,4	193	99	1	1.0
56	20,20	1,0	37,19	2,0	177	99	1	1.0
57	4,5	26,30	12,12	25,15	102	99	0.0594791732567	1.0
60	45,48	20,33	26,34	25,19	102	99	1	1.0
62	23,21	23,31	26,21	23,36	198	99	1	1.0
66	82,110	1,2	143,151	1,0	114	99	1	1.0
68	186,270	33,34	224,238	34,36	102	99	1	1.0
69	11,34	3,5	22,25	4,0	160	99	0.860027916701	1.0
72	3,1	1,4	2,0	1,4	108	99	0.297927027848	1.0
73	1,1	5,1	2,0	2,3	108	99	1	1.0
74	7,13	2,5	41,14	3,1	102	99	0.325221210904	1.0
75	11,15	0,4	14,22	3,2	161	99	1	1.0
77	19,34	12,16	43,48	12,15	184	99	0.573611280502	1.0
78	79,109	0,2	114,118	0,1	198	99	1	1.0
79	68,98	9,21	103,119	18,23	120	99	1	1.0
81	110,193	4,5	233,215	15,12	198	99	1	1.0
82	8,5	54,60	28,27	28,39	102	99	1.14787949632e-05	0.006301858434796801
83	3,4	90,131	12,7	110,122	115	99	1	1.0
84	259,249	86,81	269,265	53,73	102	99	1	1.0
85	206,317	94,98	271,335	81,73	102	99	1	1.0
87	121,170	15,20	124,170	37,31	114	99	1	1.0
88	2,4	53,86	4,0	54,88	198	99	1	1.0
89	0,6	1,5	1,6	3,11	132	99	1	1.0
90	22,13	209,269	28,20	267,257	108	99	1	1.0
91	2,10	38,78	18,11	69,79	117	99	1	1.0
92	1118,1639	2,1	1189,1409	1,1	103	99	1	1.0
93	112,190	490,664	138,143	509,590	182	99	1	1.0
95	58,157	20,29	95,84	12,18	180	99	1	1.0
96	1,3	34,59	1,8	88,79	113	99	1	1.0
97	9,10	0,0	37,20	1,0	114	99	1	1.0
98	41,101	72,115	86,110	81,95	106	99	0.933595049778	1.0
100	2,5	170,316	0,2	252,269	132	99	1	1.0
101	410,622	19,22	435,590	12,22	111	99	1	1.0
103	99,172	1,2	125,150	2,3	122	99	1	1.0
104	47,68	2518,3580	51,108	2838,3786	108	99	1	1.0
105	6,15	2,2	8,16	1,2	114	99	1	1.0
106	2,0	15,18	0,0	10,7	115	99	1	1.0
107	65,107	2,1	153,115	0,3	198	99	1	1.0
108	6,4	7,9	3,6	10,19	102	99	0.759620823581	1.0
109	10,14	0,1	7,15	0,0	134	99	1	1.0
111	18,23	10,9	17,14	15,16	108	99	0.299599820535	1.0
112	34,85	0,1	48,53	0,0	134	99	1	1.0
113	70,95	0,0	56,69	0,2	198	99	1	1.0
116	76,142	0,2	130,151	1,1	172	99	1	1.0
117	6,14	28,45	14,9	26,40	120	99	1	1.0
118	5,3	219,317	2,10	376,465	135	99	1	1.0
119	40018,47529	416,498	68417,71807	695,798	120	99	1	1.0
120	40,67	2,1	2,33	0,3	156	99	1	1.0
122	4,1	19,40	5,15	17,30	198	99	0.393914898375	1.0
123	34,63	19,40	43,55	17,30	198	99	1	1.0
125	37,52	23,15	61,70	46,35	198	99	1	1.0
126	36,55	35,33	72,44	55,38	198	99	1	1.0
127	9,24	0,0	22,31	5,8	116	99	0.0493315701943	1.0
128	21,25	470,622	33,23	756,670	198	99	1	1.0
130	99,258	11,28	74,155	6,15	198	99	1	1.0
131	33,58	422,665	69,46	560,661	118	99	1	1.0
132	50,62	25,43	47,61	32,28	104	99	1	1.0
133	7,7	139,195	8,2	205,253	198	99	1	1.0
134	0,0	17,58	0,1	17,43	105	99	1	1.0
135	1,0	2,2	0,0	1,0	102	99	1	1.0
136	759,1175	0,0	1021,1169	1,0	127	99	1	1.0
138	3,1	21,21	1,0	22,9	111	99	1	1.0
139	22,25	116,175	28,18	147,138	198	99	1	1.0
141	50,43	4,2	39,49	4,7	102	99	1	1.0
142	2,3	125,212	0,5	221,163	147	99	1	1.0
143	259,379	62,100	275,297	60,72	159	99	1	1.0
144	2973,5013	2,1	6126,5607	3,7	168	99	1	1.0
145	90,142	15,24	97,103	11,14	121	99	1	1.0
146	4,9	5,6	14,10	7,2	108	99	0.410175894632	1.0
147	7,13	4,5	14,19	9,18	107	99	0.663745706094	1.0
149	9,14	0,0	12,12	2,0	198	99	1	1.0
151	5,5	0,1	6,15	3,0	111	99	1	1.0
152	1,0	0,0	0,0	1,0	137	99	1	1.0
153	113,214	43,76	227,271	61,65	198	99	1	1.0
154	11,21	76,92	14,10	110,153	129	99	1	1.0
155	26,31	0,0	30,28	0,1	108	99	1	1.0
156	0,1	31,47	6,2	57,39	198	99	1	1.0
157	1,1	68,72	3,1	51,70	159	99	1	1.0
159	30,44	16,21	18,31	19,19	114	99	0.889335029359	1.0
160	36,81	0,2	53,54	3,1	112	99	1	1.0
161	7,8	85,132	3,6	97,87	111	99	1	1.0
162	49,61	1,7	45,52	6,2	160	99	1	1.0
163	199,287	11,18	323,347	11,12	138	99	1	1.0
164	13,17	39,62	18,27	66,69	116	99	1	1.0
166	18,31	175,227	24,21	157,197	102	99	1	1.0
167	4,6	59,76	5,2	51,63	198	99	1	1.0
168	40,55	1,0	48,41	0,2	106	99	1	1.0
169	337,457	36,47	333,385	48,56	198	99	1	1.0
170	83,109	4,24	74,86	5,5	102	99	1	1.0
171	10,9	126,113	12,11	112,103	140	99	1	1.0
173	89,121	2,5	133,106	3,1	102	99	1	1.0
174	67,108	0,2	87,69	4,2	111	99	1	1.0
175	98,150	4,2	120,148	3,2	198	99	1	1.0
176	4,11	1,4	4,15	4,1	121	99	1	1.0
177	687,888	11,20	1035,981	13,17	102	99	1	1.0
180	157,272	25,70	213,287	54,34	114	99	1	1.0
181	118,237	0,2	208,238	0,0	106	99	1	1.0
182	7,11	35,47	19,10	41,45	159	99	1	1.0
183	219,289	1,0	320,370	0,1	102	99	1	1.0
185	4,7	2,2	6,4	0,0	105	99	0.493339493685	1.0
186	1,0	2,0	2,1	6,7	128	99	1	1.0
187	174,204	2,1	169,199	2,8	105	99	1	1.0
188	2,6	87,87	6,0	77,98	126	99	1	1.0
189	26,46	37,71	27,41	72,74	109	99	1	1.0
190	8,16	72,134	13,17	138,128	132	99	1	1.0
191	302,456	26,46	400,532	33,32	111	99	1	1.0
193	72,80	23,44	52,76	28,27	113	99	1	1.0
194	10,12	70,97	16,2	78,93	118	99	1	1.0
195	79,70	224,336	70,61	227,327	198	99	1	1.0
197	59,134	21,38	74,97	29,26	152	99	1	1.0
199	25,29	2,0	19,41	6,3	106	99	1	1.0
200	39,45	2,0	34,54	6,3	112	99	1	1.0
201	15,16	1,0	17,13	2,0	105	99	1	1.0
202	0,7	286,361	1,2	382,360	198	99	1	1.0
203	9,7	16,9	8,10	18,4	113	99	1	1.0
204	5,7	34,35	7,10	36,50	102	99	1	1.0
205	33,49	0,0	53,112	0,1	104	99	1	1.0
207	12,8	271,423	7,13	371,404	102	99	1	1.0
208	6,5	5,8	9,5	5,4	120	99	0.655500728991	1.0
209	33,56	62,87	29,20	79,114	102	99	0.156541661532	1.0
210	169,235	0,7	247,214	4,9	110	99	1	1.0
211	57,73	448,591	187,185	559,571	102	99	0.0877714695542	1.0
212	6,11	642,824	10,21	797,969	123	99	1	1.0
213	25,63	3,8	58,62	4,3	111	99	1	1.0
214	0,2	2,1	1,0	2,0	107	99	1	1.0
215	9,12	5,13	13,18	12,12	102	99	1	1.0
216	8,19	274,359	17,16	324,324	198	99	1	1.0
217	17,17	55,69	35,34	120,151	102	99	1	1.0
218	124,185	108,166	148,149	136,191	102	99	1	1.0
219	1,3	254,347	0,3	330,397	107	99	1	1.0
220	45,70	0,2	35,47	2,2	102	99	1	1.0
221	10,12	202,337	8,21	255,279	102	99	1	1.0
222	6,13	252,366	12,11	364,344	130	99	1	1.0
223	3,9	16,15	9,4	24,12	102	99	1	1.0
224	6,23	89,110	13,27	99,81	153	99	1	1.0
225	24,47	89,110	28,62	99,81	174	99	1	1.0
226	18,27	0,3	16,36	1,1	120	99	1	1.0
227	58,61	8,13	32,61	22,20	102	99	0.229931671199	1.0
228	31,47	54,83	42,27	83,84	108	99	1	1.0
232	52,71	30,41	70,83	36,37	102	99	1	1.0
233	31,29	3,3	20,30	0,0	198	99	0.680426172918	1.0
234	4,20	2,7	9,16	6,2	127	99	1	1.0
235	10,27	2,7	19,28	6,2	160	99	1	1.0
236	6,13	0,6	12,14	2,2	132	99	1	1.0
237	4,2	25,29	2,4	36,50	102	99	1	1.0
239	450,628	1,3	522,593	0,1	106	99	1	1.0
240	7464,10827	159,229	7551,9472	242,256	105	99	1	1.0
241	639,924	159,229	680,721	242,256	198	99	1	1.0
242	98,151	6923,10048	116,94	6984,8844	198	99	1	1.0
243	1,2	51,80	1,0	50,50	153	99	1	1.0
244	1,1	16,13	5,4	8,9	112	99	0.0363810841287	1.0
245	60,72	4,6	72,63	8,3	132	99	1	1.0
246	2,4	0,0	5,3	2,1	144	99	0.551644930348	1.0
248	45,69	43,65	59,79	47,38	102	99	0.90920261177	1.0
249	6,24	1,1	13,10	0,2	117	99	1	1.0
250	31,71	1,1	34,65	0,2	139	99	1	1.0
251	28,47	3,0	27,57	6,2	121	99	1	1.0
253	248,269	12,19	302,298	11,22	198	99	1	1.0
254	15,7	40,84	22,24	50,76	139	99	1	1.0
255	11,22	312,487	43,31	989,1065	198	99	1	1.0
256	34,89	56,92	40,41	66,87	198	99	1	1.0
258	112,148	6,15	157,150	9,16	102	99	1	1.0
259	24,32	9,3	28,39	8,6	115	99	1	1.0
260	94,118	119,95	187,171	83,84	102	99	0.0688653230464	1.0
261	244,271	1,15	250,278	5,4	111	99	1	1.0
262	144,173	16,8	191,167	15,12	136	99	1	1.0
263	58,68	16,8	89,74	15,12	148	99	1	1.0
264	18,11	104,116	32,17	134,110	111	99	1	1.0
265	2,0	31,59	0,3	68,54	105	99	1	1.0
266	38,89	3,2	90,82	1,5	198	99	1	1.0
267	11,8	4,2	0,2	2,0	111	99	0.861308623026	1.0
269	4,3	0,2	3,11	1,0	198	99	1	1.0
270	1,0	2,0	0,0	0,1	102	99	1	1.0
273	1,9	17,41	11,11	18,44	111	99	0.716486755393	1.0
274	59,116	17,41	105,112	18,44	130	99	1	1.0
275	58,108	0,1	94,101	0,0	118	99	1	1.0
276	5,4	7,6	13,13	21,4	108	99	0.683699155559	1.0
277	146,257	8,19	320,471	12,24	102	99	1	1.0
278	130,213	98,176	249,424	150,249	102	99	1	1.0
279	62,62	13,36	64,55	27,25	115	99	1	1.0
280	7,3	83,118	6,2	80,73	110	99	1	1.0
281	16,26	1,1	17,16	1,3	110	99	1	1.0
282	830,1371	0,2	1032,1299	0,0	198	99	1	1.0
283	0,1	22,7	0,0	23,37	126	99	1	1.0
284	10,19	1,2	38,15	0,0	159	99	0.590193603984	1.0
285	102,164	0,1	150,159	0,0	106	99	1	1.0
286	21,26	87,132	14,11	147,152	113	99	1	1.0
287	41,57	0,0	67,47	1,0	198	99	1	1.0
288	12,15	42,42	24,24	39,46	102	99	0.739351619998	1.0
289	0,2	35,55	0,0	49,49	104	99	1	1.0
290	51,82	17,15	69,69	12,20	118	99	1	1.0
291	29,42	9,13	43,41	11,14	112	99	1	1.0
292	69,94	170,172	108,104	119,153	198	99	1	1.0
293	51,76	170,172	83,81	119,153	198	99	1	1.0
294	6,4	60,123	0,5	119,201	198	99	1	1.0
295	91,130	5,8	121,108	1,0	108	99	1	1.0
296	14,22	0,4	19,26	2,4	102	99	1	1.0
298	30,35	0,3	38,51	2,0	118	99	1	1.0
299	468,657	350,515	655,697	586,580	162	99	1	1.0
300	3,2	12,13	6,6	4,8	112	99	0.0500572920785	1.0
301	10,5	3,3	8,11	5,1	117	99	1	1.0
302	19,16	3,3	6,13	5,1	104	99	1	1.0
303	51,114	3,5	32,95	2,3	105	99	1	1.0
304	10,37	55,90	59,57	54,75	102	99	0.0166700025074	0.905535616198091
305	25,12	7,13	17,22	10,11	162	99	1	1.0
