ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	0,1	95,144	0,0	109,124	198	198	1	1.0	0.0,0.007	0.0,0.0	0.004
1	58,60	95,144	52,58	109,124	198	198	1	1.0	0.379,0.294	0.323,0.319	0.016
2	8,13	70,129	14,13	74,98	180	180	1	1.0	0.103,0.092	0.159,0.117	-0.041
4	82,122	112,205	39,92	64,152	176	198	1	1.0	0.452,0.401	0.407,0.405	0.02
5	239,308	197,271	346,312	256,282	198	166	1	1.0	0.504,0.488	0.531,0.481	-0.01
6	222,364	261,387	522,701	572,699	181	168	1	1.0	0.441,0.466	0.459,0.482	-0.017
8	406,664	32,51	475,634	48,59	166	117	1	1.0	0.899,0.902	0.875,0.883	0.022
9	361,634	312,449	565,575	372,498	174	147	1	1.0	0.494,0.544	0.562,0.494	-0.009
11	28,38	30,65	45,49	76,58	138	156	1	1.0	0.513,0.398	0.401,0.488	0.011
12	315,480	195,260	365,446	187,255	198	165	1	1.0	0.574,0.606	0.619,0.593	-0.016
13	21,34	70,90	24,38	89,116	119	152	1	1.0	0.277,0.325	0.256,0.295	0.026
14	116,176	139,191	176,168	214,188	197	175	1	1.0	0.426,0.45	0.422,0.443	0.006
15	79,123	138,262	159,166	255,341	170	198	1	1.0	0.4,0.353	0.421,0.362	-0.015
17	46,64	66,115	71,94	118,84	148	198	1	1.0	0.483,0.427	0.446,0.6	-0.068
18	1291,1846	1309,1869	1330,1685	1344,1775	173	159	1	1.0	0.475,0.476	0.476,0.466	0.005
19	19,32	40,58	44,41	51,54	198	198	0.880711509252	1.0	0.322,0.356	0.463,0.432	-0.109
20	274,352	350,570	555,465	713,684	198	198	1	1.0	0.439,0.382	0.438,0.405	-0.011
21	24,46	81,85	15,50	76,71	143	198	1	1.0	0.291,0.428	0.215,0.494	0.005
22	588,979	322,562	723,984	447,601	170	180	1	1.0	0.659,0.648	0.631,0.634	0.021
23	327,500	159,289	418,523	243,328	180	143	1	1.0	0.62,0.579	0.577,0.559	0.031
24	51,82	58,78	69,82	103,81	159	159	1	1.0	0.468,0.512	0.401,0.503	0.038
25	69,112	91,118	77,111	98,140	198	189	1	1.0	0.42,0.475	0.429,0.431	0.018
26	139,212	1,10	256,323	10,20	198	198	1	1.0	0.993,0.955	0.962,0.942	0.022
27	0,8	1,1	0,4	1,1	159	152	0.871572878851	1.0	0.0,0.884	0.0,0.793	0.045
28	2,0	3,1	4,8	10,5	192	192	0.163093641558	1.0	0.4,0.0	0.286,0.615	-0.251
29	76,92	52,95	92,61	65,67	167	188	1	1.0	0.622,0.522	0.614,0.506	0.012
30	333,525	1617,2519	384,616	1678,2788	173	198	1	1.0	0.191,0.193	0.208,0.202	-0.013
31	93,213	254,444	180,208	381,442	131	198	1	1.0	0.356,0.42	0.417,0.416	-0.028
32	20,47	159,257	61,68	205,221	198	162	1	1.0	0.093,0.13	0.196,0.201	-0.087
33	24,24	249,349	46,53	281,405	133	162	1	1.0	0.105,0.077	0.166,0.137	-0.061
34	75,121	138,266	101,100	167,192	198	197	1	1.0	0.351,0.312	0.376,0.341	-0.027
35	4,0	18,14	1,5	13,18	198	198	1	1.0	0.182,0.0	0.071,0.217	-0.053
36	20,32	598,1078	22,31	652,847	137	198	1	1.0	0.046,0.041	0.046,0.05	-0.005
37	98,191	82,139	174,247	138,163	198	198	1	1.0	0.544,0.579	0.558,0.602	-0.019
38	156,208	39,73	220,199	56,55	184	143	1	1.0	0.757,0.689	0.753,0.738	-0.023
39	109,211	60,99	160,247	59,61	143	162	1	1.0	0.673,0.707	0.754,0.821	-0.098
40	99,150	175,343	139,109	280,387	162	159	1	1.0	0.357,0.3	0.328,0.217	0.056
41	46,69	27,41	61,48	44,27	198	198	1	1.0	0.63,0.627	0.581,0.64	0.018
42	32,48	54,116	30,40	100,124	165	198	1	1.0	0.416,0.332	0.265,0.279	0.102
43	1348,2158	2151,3283	1237,1638	1865,2594	159	192	1	1.0	0.431,0.443	0.445,0.433	-0.002
44	36,44	7,16	26,23	9,10	198	107	1	1.0	0.735,0.598	0.61,0.554	0.084
45	35,54	7,16	29,27	9,10	198	107	1	1.0	0.73,0.646	0.635,0.593	0.074
46	30,56	7,16	55,46	9,10	198	107	1	1.0	0.698,0.654	0.768,0.713	-0.065
47	29,31	22,38	25,23	40,32	168	168	0.940844447412	1.0	0.569,0.449	0.385,0.418	0.108
48	11,10	9,9	14,27	9,11	198	174	0.643212526131	1.0	0.518,0.494	0.578,0.683	-0.125
49	185,384	307,552	221,324	447,486	152	192	1	1.0	0.432,0.468	0.384,0.457	0.03
50	212,249	121,158	160,226	111,109	151	138	1	1.0	0.616,0.59	0.568,0.655	-0.008
51	57,82	669,921	43,53	375,619	108	198	1	1.0	0.135,0.14	0.174,0.136	-0.017
53	118,241	156,274	163,229	219,264	167	198	1	1.0	0.473,0.51	0.469,0.507	0.004
54	51,55	69,127	32,41	89,90	135	183	1	1.0	0.5,0.37	0.328,0.382	0.08
55	3,0	69,127	1,1	89,90	150	183	1	1.0	0.05,0.0	0.014,0.013	0.012
56	61,85	23,31	80,63	50,25	180	138	1	1.0	0.67,0.678	0.551,0.659	0.069
57	123,210	160,297	119,222	229,351	161	198	1	1.0	0.486,0.465	0.39,0.438	0.061
58	26,32	31,42	48,48	89,90	140	164	1	1.0	0.496,0.472	0.387,0.385	0.098
60	4,14	1,3	11,4	1,1	198	198	1	1.0	0.8,0.824	0.917,0.8	-0.046
61	243,312	83,142	298,339	114,137	152	128	1	1.0	0.711,0.649	0.688,0.676	-0.002
62	1062,1495	1274,1863	1151,1261	1489,1689	187	198	1	1.0	0.469,0.459	0.45,0.442	0.018
63	1307,1877	1380,1957	1331,1584	1401,1805	183	198	1	1.0	0.506,0.509	0.507,0.487	0.011
64	26,37	39,72	33,66	72,93	171	177	1	1.0	0.408,0.347	0.322,0.423	0.005
66	124,154	47,93	119,193	81,77	198	160	1	1.0	0.681,0.572	0.543,0.669	0.02
68	141,169	115,153	148,148	131,124	179	159	1	1.0	0.521,0.495	0.501,0.515	0.0
69	267,381	242,329	454,455	412,401	162	162	1	1.0	0.525,0.537	0.524,0.532	0.003
70	53,60	51,54	50,71	55,54	198	198	1	1.0	0.51,0.526	0.476,0.568	-0.004
71	72,105	45,79	88,55	70,45	198	188	1	1.0	0.603,0.558	0.544,0.537	0.04
73	17,27	108,124	8,7	102,155	198	192	1	1.0	0.132,0.174	0.071,0.042	0.097
74	4,8	1,0	2,10	0,0	164	152	1	1.0	0.788,1.0	1.0,1.0	-0.106
75	112,155	73,109	111,148	87,124	198	165	1	1.0	0.561,0.542	0.515,0.499	0.045
76	624,1072	428,767	938,1045	695,754	147	147	1	1.0	0.593,0.583	0.574,0.581	0.011
77	496,782	1,0	714,739	0,1	147	147	1	1.0	0.998,1.0	1.0,0.999	-0.001
78	0,0	0,1	1,0	0,3	147	147	1	1.0	NA,0.0	1.0,0.0	-0.5
79	364,615	0,1	518,511	0,3	147	147	1	1.0	1.0,0.998	1.0,0.994	0.002
80	496,782	666,1041	714,739	954,1013	147	147	1	1.0	0.427,0.429	0.428,0.422	0.003
81	365,612	665,1046	517,510	954,1016	147	147	1	1.0	0.354,0.369	0.351,0.334	0.019
82	364,615	0,0	518,511	1,0	147	147	1	1.0	1.0,1.0	0.998,1.0	0.001
83	12,15	54,77	22,14	51,33	197	148	0.845818382095	1.0	0.143,0.128	0.245,0.242	-0.108
85	185,304	115,211	226,248	155,178	189	165	1	1.0	0.584,0.557	0.56,0.549	0.016
86	15,27	66,118	9,7	107,90	160	162	0.67981857486	1.0	0.187,0.188	0.078,0.073	0.112
87	6,15	66,118	0,3	107,90	198	162	1	1.0	0.069,0.094	0.0,0.027	0.068
88	1,3	38,51	0,0	29,26	158	198	1	1.0	0.032,0.069	0.0,0.0	0.051
