ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	0,5	9,14	0,0	6,5	175	99	1	1.0	0.0,0.168	0.0,0.0	0.084
1	66,102	161,242	125,99	313,290	198	99	1	1.0	0.17,0.174	0.166,0.146	0.016
2	46,56	174,311	50,71	235,298	198	99	1	1.0	0.117,0.083	0.096,0.106	-0.001
3	12,5	28,22	9,5	29,22	177	99	1	1.0	0.193,0.113	0.148,0.113	0.022
4	34,50	102,133	47,24	110,154	198	99	1	1.0	0.143,0.158	0.176,0.072	0.026
5	6,11	104,125	16,19	113,106	196	99	1	1.0	0.028,0.043	0.067,0.083	-0.04
6	19,17	9,9	46,14	17,12	198	99	1	1.0	0.514,0.486	0.575,0.368	0.029
7	35,27	3,9	26,36	7,3	191	99	1	1.0	0.858,0.609	0.658,0.861	-0.026
8	429,622	109,126	397,438	86,128	188	99	1	1.0	0.675,0.722	0.709,0.643	0.023
9	5,8	0,0	10,14	1,0	192	99	1	1.0	1.0,1.0	0.838,1.0	0.081
10	112,209	389,554	143,129	517,564	178	99	1	1.0	0.138,0.173	0.133,0.113	0.033
11	159,238	2632,3997	177,290	2389,4418	162	99	1	1.0	0.036,0.035	0.043,0.039	-0.005
12	35,45	37,78	48,38	73,64	198	99	1	1.0	0.321,0.224	0.247,0.229	0.035
13	60,90	290,411	95,104	421,509	175	99	1	1.0	0.105,0.11	0.113,0.104	-0.001
14	3,6	27,32	2,3	39,43	182	99	1	1.0	0.057,0.093	0.027,0.037	0.043
15	9,24	48,63	30,38	38,52	196	99	0.246544585131	1.0	0.087,0.161	0.285,0.27	-0.153
16	13,5	42,57	13,21	57,63	197	99	1	1.0	0.135,0.042	0.103,0.143	-0.034
17	92,143	12,28	115,107	34,15	198	99	1	1.0	0.793,0.719	0.628,0.781	0.051
18	0,0	73,75	6,2	73,62	198	99	1	1.0	0.0,0.0	0.039,0.016	-0.028
19	34,62	96,100	61,49	75,90	182	99	1	1.0	0.162,0.252	0.307,0.228	-0.06
20	7,8	60,82	5,20	67,74	198	99	1	1.0	0.055,0.047	0.036,0.119	-0.026
21	2,4	19,19	1,1	22,19	175	99	1	1.0	0.056,0.106	0.025,0.029	0.054
22	3,12	115,170	14,11	122,168	198	99	1	1.0	0.013,0.034	0.054,0.032	-0.019
23	2,6	4,9	5,2	7,6	194	99	1	1.0	0.203,0.254	0.267,0.145	0.022
24	3,9	10,10	12,9	22,11	165	99	1	1.0	0.153,0.351	0.247,0.329	-0.036
26	81,84	60,94	84,111	84,76	198	99	1	1.0	0.403,0.309	0.333,0.422	-0.022
27	7,6	208,286	15,19	306,298	181	99	1	1.0	0.018,0.011	0.026,0.034	-0.015
29	30,85	1747,2618	29,59	1981,2533	174	99	1	1.0	0.01,0.018	0.008,0.013	0.003
30	35,46	1674,2737	24,31	2022,2525	190	99	1	1.0	0.011,0.009	0.006,0.006	0.004
31	7,11	160,230	10,17	169,179	187	99	1	1.0	0.023,0.025	0.03,0.048	-0.015
32	73,145	0,0	140,144	1,0	198	99	1	1.0	1.0,1.0	0.986,1.0	0.007
33	7,14	16,22	89,53	13,20	198	99	2.45802809403e-05	0.0030030958238811524	0.179,0.241	0.774,0.57	-0.462
34	63,74	309,513	88,107	417,508	180	99	1	1.0	0.101,0.074	0.104,0.104	-0.017
35	3,10	35,47	5,6	50,54	198	99	1	1.0	0.041,0.096	0.048,0.053	0.018
36	4,8	64,88	3,1	77,73	171	99	1	1.0	0.035,0.05	0.022,0.008	0.028
39	16,39	183,252	36,20	206,239	170	99	1	1.0	0.048,0.083	0.092,0.046	-0.004
40	127,183	6,17	130,213	10,20	177	99	1	1.0	0.922,0.858	0.879,0.856	0.023
42	11,6	7,10	9,22	15,13	196	99	1	1.0	0.443,0.233	0.233,0.461	-0.009
43	12,4	8,6	10,11	10,14	172	99	1	1.0	0.463,0.277	0.365,0.311	0.032
44	3,1	1,2	0,2	0,0	177	99	1	1.0	0.627,0.219	NA,1.0	-0.577
45	3,1	0,7	0,2	0,3	189	99	1	1.0	1.0,0.07	NA,0.259	0.276
46	0,6	5,7	0,1	2,1	198	99	1	1.0	0.0,0.3	0.0,0.333	-0.017
47	0,10	0,1	0,3	0,0	198	99	1	1.0	NA,0.833	NA,1.0	-0.167
48	0,10	5,14	0,3	2,5	198	99	1	1.0	0.0,0.263	0.0,0.231	0.016
49	67,107	379,434	45,63	382,407	198	99	1	1.0	0.081,0.11	0.056,0.072	0.032
50	244,325	1,2	391,307	1,6	190	99	1	1.0	0.992,0.988	0.995,0.964	0.01
51	10,11	0,1	13,23	0,0	198	99	1	1.0	1.0,0.846	1.0,1.0	-0.077
52	7,12	10,9	7,15	21,18	198	99	0.909266893963	1.0	0.259,0.4	0.143,0.294	0.111
53	10,5	3,4	5,5	1,3	198	99	1	1.0	0.625,0.385	0.714,0.455	-0.08
55	109,146	0,0	156,164	2,0	195	99	1	1.0	1.0,1.0	0.975,1.0	0.012
58	21,15	29,31	17,28	11,22	197	99	0.258748506419	1.0	0.267,0.196	0.437,0.39	-0.182
59	38,73	332,425	68,78	345,384	198	99	1	1.0	0.054,0.079	0.09,0.092	-0.024
60	23,40	133,203	59,87	156,174	197	99	1	1.0	0.08,0.09	0.16,0.201	-0.096
61	11,20	20,48	19,18	39,43	198	99	1	1.0	0.216,0.172	0.196,0.173	0.01
63	21,29	23,66	20,30	12,60	198	99	1	1.0	0.313,0.18	0.455,0.2	-0.081
64	18,25	43,110	92,86	43,42	191	99	4.08445499644e-11	2.4950914459502852e-08	0.178,0.105	0.526,0.515	-0.379
65	2,11	30,41	5,8	50,26	198	99	1	1.0	0.032,0.118	0.048,0.133	-0.015
66	5,8	9,13	3,6	5,11	165	99	1	1.0	0.25,0.27	0.265,0.247	0.004
67	6,17	37,48	6,10	64,54	177	99	1	1.0	0.083,0.165	0.05,0.094	0.052
68	32,48	28,73	30,45	46,37	198	99	1	1.0	0.364,0.247	0.246,0.378	-0.007
69	16,29	30,30	20,21	54,17	198	99	1	1.0	0.211,0.326	0.156,0.382	-0.001
70	3,3	1,0	14,0	0,0	198	99	1	1.0	0.6,1.0	1.0,NA	-0.2
73	61,52	22,15	77,75	56,41	198	99	0.262561967282	1.0	0.581,0.634	0.407,0.478	0.165
74	25,16	149,186	51,41	228,150	198	99	1	1.0	0.077,0.041	0.101,0.12	-0.052
76	8,14	97,106	14,11	164,134	198	99	1	1.0	0.04,0.062	0.041,0.039	0.011
77	10,22	75,88	17,18	76,91	194	99	1	1.0	0.064,0.113	0.102,0.092	-0.009
78	8,26	97,168	22,17	75,89	178	99	1	1.0	0.044,0.079	0.14,0.096	-0.057
79	0,2	96,163	0,1	74,107	180	99	1	1.0	0.0,0.007	0.0,0.005	0.001
80	14,37	29,55	14,10	33,37	198	99	1	1.0	0.194,0.252	0.175,0.119	0.076
81	31,43	116,181	54,69	130,162	197	99	1	1.0	0.118,0.107	0.173,0.176	-0.062
83	32,59	166,306	107,114	202,235	185	99	0.342476920391	1.0	0.094,0.094	0.221,0.206	-0.119
84	379,529	143,242	436,589	169,226	178	99	1	1.0	0.596,0.549	0.589,0.592	-0.018
85	7,6	28,44	10,8	52,54	198	99	1	1.0	0.111,0.064	0.088,0.069	0.009
88	1,0	2,5	0,3	6,8	198	99	1	1.0	0.2,0.0	0.0,0.158	0.021
89	7,9	38,58	16,31	68,106	194	99	1	1.0	0.086,0.073	0.107,0.13	-0.039
90	12,10	62,88	15,29	56,106	198	99	1	1.0	0.088,0.054	0.118,0.12	-0.048
91	8,19	43,62	11,3	55,52	198	99	1	1.0	0.085,0.133	0.091,0.028	0.05
92	10,18	0,3	10,12	0,2	173	99	1	1.0	1.0,0.774	1.0,0.774	0.0
93	16,21	129,238	9,19	204,238	177	99	1	1.0	0.065,0.047	0.024,0.043	0.022
94	1,0	3,0	0,0	5,10	198	99	1	1.0	0.143,NA	0.0,0.0	0.143
95	1,0	0,0	4,2	0,1	198	99	1	1.0	1.0,NA	1.0,0.5	0.25
96	92,130	112,144	85,81	147,107	198	99	1	1.0	0.291,0.311	0.224,0.275	0.051
97	7,1	93,119	8,17	33,16	198	99	0.0996078479312	1.0	0.036,0.004	0.108,0.347	-0.207
98	5,12	106,181	3,1	155,144	198	99	1	1.0	0.023,0.032	0.01,0.003	0.021
99	17,30	17,26	18,19	34,20	198	99	1	1.0	0.333,0.366	0.209,0.322	0.084
100	180,328	3373,5388	168,270	3382,4241	176	99	1	1.0	0.029,0.033	0.027,0.035	0.0
101	462,605	20,27	685,615	7,12	184	99	1	1.0	0.926,0.923	0.981,0.965	-0.048
103	16,32	56,105	48,54	62,107	198	99	0.852188246576	1.0	0.125,0.132	0.279,0.201	-0.112
104	2023,2093	20,29	3050,2650	28,20	152	99	1	1.0	0.985,0.979	0.986,0.989	-0.006
105	869,1333	166,293	1272,1230	283,292	189	99	1	1.0	0.733,0.704	0.702,0.688	0.023
106	9,25	79,177	27,16	120,131	198	99	1	1.0	0.054,0.066	0.101,0.058	-0.02
107	6,22	3,5	19,15	18,12	198	99	0.133172379083	1.0	0.5,0.688	0.345,0.385	0.229
108	0,2	10,11	1,1	11,10	179	99	1	1.0	0.0,0.091	0.048,0.052	-0.005
109	14,19	3,18	22,22	13,13	188	99	1	1.0	0.711,0.357	0.471,0.471	0.063
111	105,175	104,169	67,158	153,202	198	99	0.846721515849	1.0	0.335,0.341	0.18,0.281	0.108
113	12,26	27,40	19,21	36,51	178	99	1	1.0	0.198,0.266	0.227,0.186	0.025
114	5,4	34,62	3,10	46,30	198	99	1	1.0	0.068,0.031	0.032,0.143	-0.038
115	25,33	13,19	33,44	16,8	196	99	0.60926028485	1.0	0.493,0.467	0.51,0.735	-0.143
116	4,7	37,51	8,5	55,45	190	99	1	1.0	0.053,0.067	0.07,0.055	-0.003
117	8,6	153,215	9,7	252,227	198	99	1	1.0	0.025,0.014	0.018,0.015	0.003
118	8,13	43,79	6,11	62,85	172	99	1	1.0	0.097,0.087	0.053,0.069	0.031
119	47,64	59,76	59,88	80,77	198	99	1	1.0	0.285,0.296	0.269,0.364	-0.026
120	52,75	63,103	42,43	65,92	198	99	1	1.0	0.292,0.267	0.244,0.189	0.063
121	48,68	7,11	42,38	7,13	198	99	1	1.0	0.774,0.756	0.75,0.594	0.093
122	30,41	54,80	25,32	72,83	198	99	1	1.0	0.217,0.204	0.148,0.162	0.055
123	28,37	3,1	40,37	0,1	197	99	1	1.0	0.824,0.949	1.0,0.949	-0.088
124	149,230	35,56	248,246	23,29	178	99	0.224262787384	1.0	0.703,0.696	0.857,0.825	-0.141
125	12,6	31,40	7,6	42,28	198	99	1	1.0	0.162,0.07	0.077,0.097	0.029
126	10,15	10,24	27,16	17,19	198	99	1	1.0	0.333,0.238	0.443,0.296	-0.084
127	1,0	6,3	5,0	53,7	181	99	1	1.0	0.084,0.0	0.049,0.0	0.018
