ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	0,5	9,14	0,0	6,5	175	99	1
1	66,102	161,242	125,99	313,290	198	99	1
2	46,56	174,311	50,71	235,298	198	99	1
3	12,5	28,22	9,5	29,22	177	99	1
4	34,50	102,133	47,24	110,154	198	99	1
5	6,11	104,125	16,19	113,106	196	99	1
6	19,17	9,9	46,14	17,12	198	99	1
7	35,27	3,9	26,36	7,3	191	99	1
8	429,622	109,126	397,438	86,128	188	99	1
9	5,8	0,0	10,14	1,0	192	99	1
10	112,209	389,554	143,129	517,564	178	99	1
11	159,238	2632,3997	177,290	2389,4418	162	99	1
12	35,45	37,78	48,38	73,64	198	99	1
13	60,90	290,411	95,104	421,509	175	99	1
14	3,6	27,32	2,3	39,43	182	99	1
15	9,24	48,63	30,38	38,52	196	99	0.246544585131
16	13,5	42,57	13,21	57,63	197	99	1
17	92,143	12,28	115,107	34,15	198	99	1
18	0,0	73,75	6,2	73,62	198	99	1
19	34,62	96,100	61,49	75,90	182	99	1
20	7,8	60,82	5,20	67,74	198	99	1
21	2,4	19,19	1,1	22,19	175	99	1
22	3,12	115,170	14,11	122,168	198	99	1
23	2,6	4,9	5,2	7,6	194	99	1
24	3,9	10,10	12,9	22,11	165	99	1
26	81,84	60,94	84,111	84,76	198	99	1
27	7,6	208,286	15,19	306,298	181	99	1
29	30,85	1747,2618	29,59	1981,2533	174	99	1
30	35,46	1674,2737	24,31	2022,2525	190	99	1
31	7,11	160,230	10,17	169,179	187	99	1
32	73,145	0,0	140,144	1,0	198	99	1
33	7,14	16,22	89,53	13,20	198	99	2.45802809403e-05
34	63,74	309,513	88,107	417,508	180	99	1
35	3,10	35,47	5,6	50,54	198	99	1
36	4,8	64,88	3,1	77,73	171	99	1
39	16,39	183,252	36,20	206,239	170	99	1
40	127,183	6,17	130,213	10,20	177	99	1
42	11,6	7,10	9,22	15,13	196	99	1
43	12,4	8,6	10,11	10,14	172	99	1
44	3,1	1,2	0,2	0,0	177	99	1
45	3,1	0,7	0,2	0,3	189	99	1
46	0,6	5,7	0,1	2,1	198	99	1
47	0,10	0,1	0,3	0,0	198	99	1
48	0,10	5,14	0,3	2,5	198	99	1
49	67,107	379,434	45,63	382,407	198	99	1
50	244,325	1,2	391,307	1,6	190	99	1
51	10,11	0,1	13,23	0,0	198	99	1
52	7,12	10,9	7,15	21,18	198	99	0.909266893963
53	10,5	3,4	5,5	1,3	198	99	1
55	109,146	0,0	156,164	2,0	195	99	1
58	21,15	29,31	17,28	11,22	197	99	0.258748506419
59	38,73	332,425	68,78	345,384	198	99	1
60	23,40	133,203	59,87	156,174	197	99	1
61	11,20	20,48	19,18	39,43	198	99	1
63	21,29	23,66	20,30	12,60	198	99	1
64	18,25	43,110	92,86	43,42	191	99	4.08445499644e-11
65	2,11	30,41	5,8	50,26	198	99	1
66	5,8	9,13	3,6	5,11	165	99	1
67	6,17	37,48	6,10	64,54	177	99	1
68	32,48	28,73	30,45	46,37	198	99	1
69	16,29	30,30	20,21	54,17	198	99	1
70	3,3	1,0	14,0	0,0	198	99	1
73	61,52	22,15	77,75	56,41	198	99	0.262561967282
74	25,16	149,186	51,41	228,150	198	99	1
76	8,14	97,106	14,11	164,134	198	99	1
77	10,22	75,88	17,18	76,91	194	99	1
78	8,26	97,168	22,17	75,89	178	99	1
79	0,2	96,163	0,1	74,107	180	99	1
80	14,37	29,55	14,10	33,37	198	99	1
81	31,43	116,181	54,69	130,162	197	99	1
83	32,59	166,306	107,114	202,235	185	99	0.342476920391
84	379,529	143,242	436,589	169,226	178	99	1
85	7,6	28,44	10,8	52,54	198	99	1
88	1,0	2,5	0,3	6,8	198	99	1
89	7,9	38,58	16,31	68,106	194	99	1
90	12,10	62,88	15,29	56,106	198	99	1
91	8,19	43,62	11,3	55,52	198	99	1
92	10,18	0,3	10,12	0,2	173	99	1
93	16,21	129,238	9,19	204,238	177	99	1
94	1,0	3,0	0,0	5,10	198	99	1
95	1,0	0,0	4,2	0,1	198	99	1
96	92,130	112,144	85,81	147,107	198	99	1
97	7,1	93,119	8,17	33,16	198	99	0.0996078479312
98	5,12	106,181	3,1	155,144	198	99	1
99	17,30	17,26	18,19	34,20	198	99	1
100	180,328	3373,5388	168,270	3382,4241	176	99	1
101	462,605	20,27	685,615	7,12	184	99	1
103	16,32	56,105	48,54	62,107	198	99	0.852188246576
104	2023,2093	20,29	3050,2650	28,20	152	99	1
105	869,1333	166,293	1272,1230	283,292	189	99	1
106	9,25	79,177	27,16	120,131	198	99	1
107	6,22	3,5	19,15	18,12	198	99	0.133172379083
108	0,2	10,11	1,1	11,10	179	99	1
109	14,19	3,18	22,22	13,13	188	99	1
111	105,175	104,169	67,158	153,202	198	99	0.846721515849
113	12,26	27,40	19,21	36,51	178	99	1
114	5,4	34,62	3,10	46,30	198	99	1
115	25,33	13,19	33,44	16,8	196	99	0.60926028485
116	4,7	37,51	8,5	55,45	190	99	1
117	8,6	153,215	9,7	252,227	198	99	1
118	8,13	43,79	6,11	62,85	172	99	1
119	47,64	59,76	59,88	80,77	198	99	1
120	52,75	63,103	42,43	65,92	198	99	1
121	48,68	7,11	42,38	7,13	198	99	1
122	30,41	54,80	25,32	72,83	198	99	1
123	28,37	3,1	40,37	0,1	197	99	1
124	149,230	35,56	248,246	23,29	178	99	0.224262787384
125	12,6	31,40	7,6	42,28	198	99	1
126	10,15	10,24	27,16	17,19	198	99	1
127	1,0	6,3	5,0	53,7	181	99	1
128	41,71	35,67	79,69	77,89	198	99	1
129	21,36	75,97	55,69	133,108	198	99	1
131	109,156	25,58	194,173	17,9	198	99	0.000713079752689
132	85,113	280,425	100,108	398,365	194	99	1
133	10,21	24,37	18,16	16,31	198	99	1
134	10,21	16,24	18,16	48,30	198	99	1
135	40,54	137,270	27,73	223,221	198	99	1
136	4,2	11,5	13,3	6,11	198	99	0.712067949457
137	8,10	3,3	29,29	4,2	198	99	0.311755572429
138	10,13	0,0	24,17	1,1	198	99	1
139	11,18	2,3	31,32	4,4	198	99	1
140	0,4	20,18	11,8	8,9	183	99	0.00171905677052
143	17,37	10,14	19,17	9,16	198	99	0.934391515553
144	7,4	21,12	8,9	20,14	198	99	1
145	3,10	23,31	11,13	23,36	198	99	1
146	3,17	38,32	19,16	23,20	177	99	0.18114671867
147	4,10	11,20	5,2	38,40	177	99	0.370108003855
148	6,21	32,26	4,9	21,26	168	99	1
149	0,10	5,23	16,25	7,9	198	99	0.000558870985558
150	1,9	15,45	10,4	56,64	198	99	1
155	7,16	95,178	25,11	161,172	174	99	1
157	3,2	7,11	7,5	24,5	198	99	1
158	2,5	11,20	4,1	28,18	198	99	1
159	9,11	3,9	38,6	8,12	198	99	1
161	116,133	272,265	116,153	293,297	198	99	1
162	1,0	0,3	0,1	0,1	165	99	1
163	6,14	57,177	17,20	104,162	181	99	1
164	40,78	231,271	71,66	296,364	198	99	1
166	9,25	1,1	10,21	1,0	198	99	1
167	19,25	0,4	20,34	3,2	198	99	1
168	8,18	0,5	19,22	2,3	181	99	1
169	54,81	178,304	96,92	379,415	198	99	1
170	45,68	2,1	112,88	4,11	198	99	1
171	36,32	42,90	67,58	59,75	198	99	0.871217257677
172	32,45	0,2	80,67	0,1	198	99	1
173	31,41	58,92	79,59	82,87	198	99	1
174	59,99	3,6	94,153	11,9	198	99	1
175	634,942	8,8	981,1182	10,10	198	99	1
176	641,957	9,21	1018,1203	18,23	198	99	1
177	17,13	70,68	21,31	68,83	198	99	1
178	7,11	3,10	15,17	10,16	198	99	1
179	13,24	40,82	28,23	38,49	178	99	1
180	45,37	102,178	135,112	176,181	198	99	0.307643141364
181	20,34	116,166	116,101	157,177	192	99	0.0104827099817
182	1,1	71,124	5,3	112,95	195	99	1
183	0,0	7,3	0,4	10,6	189	99	1
184	6,12	36,56	8,3	50,46	196	99	1
185	44,71	78,161	56,55	143,158	182	99	1
186	44,55	17,40	48,60	50,46	198	99	0.817328778839
187	24,47	82,120	23,29	104,114	198	99	1
188	8,24	94,202	23,72	167,429	185	99	1
189	6,9	56,56	4,0	14,49	186	99	1
190	4,9	45,92	9,8	85,110	187	99	1
191	20,8	0,0	13,17	4,3	195	99	0.0421124104425
192	8,19	52,78	17,22	79,87	198	99	1
195	12,26	38,43	27,54	56,46	189	99	1
196	10,36	32,53	18,61	68,33	191	99	1
197	1,6	18,15	18,5	57,52	192	99	1
198	16,19	23,30	6,8	32,41	198	99	0.183224603266
199	36,45	10,12	35,45	13,17	189	99	1
200	2,3	48,104	8,5	87,94	172	99	1
201	69,129	5,5	128,116	7,4	183	99	1
203	0,1	0,2	0,0	0,2	190	99	1
204	2,5	0,5	12,14	4,10	198	99	0.952841212397
205	0,5	4,4	7,9	7,9	174	99	0.448859335361
207	3,0	56,135	8,2	80,67	171	99	1
208	4,15	100,156	18,7	112,164	198	99	1
209	1,0	63,1	7,0	602,3	198	99	1
210	2,0	41,59	5,7	36,39	186	99	1
211	13,36	32,59	8,27	30,54	197	99	1
212	4,6	2,15	2,2	15,7	189	99	0.445695042205
213	3,10	9,11	13,11	11,13	168	99	0.875523475556
215	19,16	2,8	17,17	10,10	198	99	0.403444554903
216	19,19	283,414	22,22	318,286	198	99	1
