IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
1833,2605	4,3	2216,2556	0,4	188	99
34,30	0,0	45,38	3,0	165	99
146,236	3,4	203,198	1,2	198	99
206,362	1,1	394,321	0,0	187	99
57,93	2,0	109,90	0,0	135	99
78,145	1,0	91,133	0,0	188	99
475,614	0,0	637,722	0,1	198	99
522,658	1,1	643,698	3,0	179	99
1,3	34,29	0,2	37,16	120	99
715,1239	2,1	707,1036	0,0	163	99
114,151	57,81	63,82	110,91	157	99
76,108	0,0	99,128	1,0	198	99
611,969	3,5	561,713	3,7	198	99
5,8	4,5	15,21	5,8	198	99
27,62	0,0	61,54	0,1	171	99
61,70	0,0	72,73	1,0	198	99
270,398	2,2	290,328	0,4	198	99
262,394	0,0	322,391	0,1	175	99
145,253	3,8	285,224	0,0	169	99
247,363	0,0	245,312	1,0	198	99
57,65	0,4	41,70	1,1	152	99
52,74	0,4	45,77	1,1	155	99
2,6	0,4	0,1	0,0	181	99
12,21	0,1	0,1	0,0	161	99
6,17	0,1	2,5	0,0	141	99
3,2	1,0	0,0	0,1	198	99
11,6	1,0	17,11	0,1	147	99
184,268	1,0	195,218	0,0	161	99
4313,6474	0,0	6905,7778	1,0	189	99
28,68	1,2	30,48	0,0	136	99
504,786	0,0	615,652	0,1	154	99
439,733	1,1	559,713	0,0	145	99
173,226	0,2	232,257	6,0	146	99
80,112	0,0	116,128	2,0	167	99
97,108	2,2	122,105	2,1	186	99
176,237	4,1	195,163	2,1	188	99
2683,3643	0,1	3232,4017	0,0	142	99
1,6	62,79	13,6	55,78	128	99
2,12	62,79	14,17	55,78	132	99
554,591	0,2	387,513	0,0	167	99
290,311	0,2	196,274	0,0	173	99
670,898	0,1	844,964	0,0	198	99
392,467	0,1	520,476	0,1	170	99
329,365	0,1	436,408	0,0	198	99
200,257	0,1	95,80	0,0	198	99
59,81	1,0	71,63	0,0	198	99
14,6	2,0	44,8	0,0	173	99
492,742	0,2	796,743	0,3	117	99
5056,9369	14,29	3920,6211	13,25	166	99
3,11	280,384	8,7	310,277	198	99
298,372	0,1	316,381	0,0	198	99
215,310	1,0	279,307	0,0	198	99
71,105	0,1	81,65	0,0	173	99
5,4	1841,3033	7,5	1756,2527	164	99
525,579	0,0	477,482	0,1	198	99
420,580	1,0	555,592	0,0	197	99
200,263	1,0	259,237	0,0	198	99
416,626	0,0	625,868	0,1	131	99
115,174	1,0	124,146	0,0	172	99
202,356	0,1	248,251	0,0	174	99
146,248	0,0	155,170	0,1	138	99
80,87	30,53	52,92	43,43	198	99
36,62	114,137	38,45	132,111	157	99
28,51	114,137	65,44	132,111	160	99
263,391	2,0	324,421	1,0	195	99
14,8	3,0	10,13	4,6	198	99
13,8	0,0	10,15	1,1	198	99
52,74	0,2	54,74	0,0	198	99
55,77	0,1	69,64	2,0	169	99
81,90	7,10	75,94	6,2	198	99
46,38	23,31	29,27	23,36	169	99
98,141	0,1	113,130	0,0	198	99
111,165	0,1	126,158	0,0	198	99
658,1007	0,0	667,900	0,2	170	99
118,151	0,1	158,161	0,0	153	99
111,139	0,0	126,141	0,3	175	99
114,176	0,0	137,183	1,1	198	99
46,27	3,6	32,42	8,8	147	99
104,225	0,4	142,210	1,3	198	99
5,18	0,0	13,5	1,0	161	99
223,226	1,0	301,320	0,2	198	99
72,106	0,1	105,82	0,0	198	99
72,123	0,2	102,112	0,1	139	99
5,8	0,0	14,8	2,0	185	99
4,7	0,0	14,9	2,0	178	99
52,74	0,1	63,85	0,1	198	99
158,258	4,5	259,270	15,12	155	99
93,112	0,2	102,144	0,0	170	99
2250,2870	1,0	2538,3354	0,0	186	99
155,295	0,1	246,176	2,7	189	99
39,36	4,9	53,58	27,16	146	99
