ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	161,157	0,0	89,157	0,2	291	149
4	1,3	180,233	5,0	132,171	230	149
5	0,5	1,5	5,10	2,7	208	149
8	3,2	24,28	0,0	7,21	200	149
9	69,127	18,20	77,109	8,21	184	149
10	62,101	1,0	60,78	0,0	184	149
11	1,0	234,257	6,10	132,208	298	149
12	8,3	707,1039	1,1	630,1036	156	149
15	231,342	0,2	239,358	0,5	283	149
16	15,15	2,1	0,4	0,1	298	149
17	7,6	15,11	1,11	7,9	242	149
18	5,7	10,16	4,11	10,23	298	149
20	1,2	10,16	0,6	10,23	184	149
21	63,43	2,0	28,64	0,1	155	149
22	5,7	74,63	2,5	43,87	298	149
23	188,271	28,17	185,234	27,57	170	149
24	21,26	28,17	23,48	27,57	236	149
25	4,0	171,245	5,13	167,199	215	149
26	82,101	3,4	49,88	0,2	298	149
27	8,9	0,4	4,16	1,1	153	149
28	99,85	0,0	60,85	0,1	152	149
29	1,0	107,73	0,0	69,61	293	149
31	208,188	1,1	67,102	0,0	298	149
32	860,918	4,6	670,950	0,0	161	149
33	5,20	35,41	6,10	28,56	179	149
34	4,11	245,382	1,1	158,267	298	149
35	12,35	277,383	21,32	178,283	188	149
36	5,1	63,89	7,8	43,61	298	149
37	0,2	191,236	1,10	157,220	298	149
38	0,1	34,19	0,4	7,17	161	149
39	137,198	7,16	102,167	6,17	298	149
40	3,2	382,476	4,6	313,467	188	149
41	75,67	6,0	22,36	0,7	268	149
42	192,179	6,9	164,194	3,7	161	149
43	39,40	0,2	19,55	0,0	155	149
44	18,31	260,408	17,37	283,380	298	149
45	11,8	277,260	7,8	138,238	177	149
46	63,83	230,200	50,91	120,160	298	149
47	3,8	194,315	0,10	205,374	157	149
48	4,3	3,0	3,5	1,2	298	149
50	121,198	0,2	99,164	0,0	298	149
51	115,100	4,0	88,149	0,0	167	149
54	110,105	0,0	80,105	3,1	170	149
55	114,163	4,5	101,153	0,2	298	149
56	31,28	108,98	17,52	68,120	268	149
57	267,273	3,9	205,321	25,25	298	149
58	10,5	244,308	2,0	149,186	298	149
59	302,368	0,2	277,369	0,4	157	149
60	3,1	237,306	3,3	205,338	151	149
61	21,14	69,55	6,12	50,89	204	149
62	12,8	11,13	3,5	10,21	204	149
63	1,0	313,312	0,1	255,391	298	149
64	14,24	1,4	12,6	2,7	169	149
65	18,30	4,3	10,17	0,0	153	149
66	19,34	16,20	0,10	16,46	161	149
67	20,57	4,1	13,22	0,0	190	149
68	53,97	196,336	7,15	177,312	167	149
69	7,12	295,479	5,5	223,397	157	149
70	14,23	91,141	8,14	68,95	298	149
71	4,21	20,26	2,7	11,10	233	149
73	15,13	3,10	11,10	2,2	298	149
74	20,46	4,7	18,46	0,2	298	149
75	35,83	4,7	48,66	0,2	298	149
78	51,76	8,9	27,41	5,13	298	149
79	18,19	993,1101	20,37	601,1049	153	149
80	2,5	31,71	4,8	27,39	177	149
81	34,73	16,39	27,42	18,29	278	149
82	0,2	12,20	0,3	11,8	177	149
83	509,587	1,0	270,537	0,0	298	149
84	1,3	2,0	0,0	5,8	181	149
86	267,387	0,1	209,314	0,0	298	149
87	11,23	1685,2189	17,26	1560,2504	153	149
88	499,622	2,15	429,755	1,0	298	149
89	18,33	987,1364	23,49	811,1349	152	149
91	23,37	227,298	10,14	196,274	298	149
92	4,0	8,9	2,0	1,1	167	149
93	13,5	8,9	16,17	1,1	209	149
95	155,201	0,4	174,330	0,0	189	149
96	163,233	3,3	184,257	0,3	298	149
98	0,0	43,22	0,3	20,26	154	149
99	10,6	2,2	0,2	2,3	298	149
100	4,9	46,78	0,0	40,44	155	149
101	0,9	20,17	0,3	24,42	175	149
102	141,176	2,0	128,208	0,0	298	149
103	11,21	100,158	10,20	97,282	206	149
104	1,2	85,108	0,2	77,152	242	149
105	106,129	1,2	72,77	6,0	191	149
107	107,140	0,3	86,156	2,0	271	149
108	169,221	6,4	161,251	0,3	272	149
109	13,23	574,747	24,21	494,711	298	149
110	267,324	19,5	184,189	12,9	298	149
111	6,8	37,44	1,4	56,60	169	149
113	1007,1493	5,11	938,1363	2,7	176	149
114	5,2	2,4	2,8	15,32	171	149
115	2,1	33,34	2,13	29,58	298	149
116	9,12	152,192	9,20	107,196	154	149
117	143,397	1,0	121,283	1,4	251	149
118	8,15	1038,1219	4,4	705,962	298	149
119	12,32	1,3	30,14	1,0	298	149
120	4,3	11,24	0,2	14,14	165	149
122	8,12	35,12	6,9	2,10	165	149
123	2,0	43,34	0,0	19,26	231	149
124	2,1	490,603	0,7	323,504	182	149
125	4,6	471,562	7,8	337,516	298	149
126	124,139	5,7	183,263	3,8	297	149
127	10,9	633,924	9,23	1089,1665	153	149
128	67,51	1,4	24,30	4,9	298	149
129	178,223	1,0	115,205	0,0	174	149
130	1195,1577	5,1	943,1557	19,12	155	149
131	113,143	0,0	126,215	0,2	199	149
132	43,63	1,1	31,52	8,7	163	149
133	4,7	37,25	6,4	19,23	160	149
134	27,39	13,5	31,44	3,4	152	149
135	45,36	30,24	36,61	42,56	298	149
137	2,5	314,349	2,1	253,375	298	149
138	10,21	110,141	10,8	63,99	285	149
139	178,185	2,5	138,181	6,6	153	149
142	0,0	12,13	0,2	19,16	245	149
145	2,1	125,119	0,12	96,134	298	149
146	129,113	30,31	29,59	65,97	214	149
147	3,3	67,95	5,11	33,40	298	149
149	20,18	90,85	10,20	66,103	249	149
150	18,33	124,179	4,6	214,284	158	149
152	1,4	18,22	3,1	7,22	298	149
153	35,47	11,29	53,70	25,35	298	149
