IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
161,157	0,0	89,157	0,2	291	149
1,3	180,233	5,0	132,171	230	149
0,5	1,5	5,10	2,7	208	149
3,2	24,28	0,0	7,21	200	149
69,127	18,20	77,109	8,21	184	149
62,101	1,0	60,78	0,0	184	149
5,6	234,257	13,22	132,208	359	149
8,3	707,1039	1,1	630,1036	156	149
233,342	0,2	239,359	0,5	283	149
16,19	2,1	0,4	0,1	458	149
7,6	15,11	1,11	7,9	242	149
7,12	10,16	10,15	10,23	365	149
1,2	10,16	0,6	10,23	184	149
63,43	2,0	28,64	0,1	155	149
9,17	74,63	15,13	43,87	734	149
188,271	28,17	185,234	27,57	170	149
21,26	28,17	23,48	27,57	236	149
4,0	171,245	5,13	167,199	215	149
88,115	3,4	57,99	0,2	736	149
8,9	0,4	4,16	1,1	153	149
99,85	0,0	60,85	0,1	152	149
1,0	107,73	0,0	69,61	293	149
215,188	1,1	70,106	0,0	421	149
860,918	4,6	670,950	0,0	161	149
5,20	35,41	6,10	28,56	179	149
7,15	245,382	2,1	158,267	359	149
12,35	277,383	21,32	178,283	188	149
5,1	63,89	9,9	43,61	308	149
0,5	191,236	3,13	157,220	395	149
0,1	34,19	0,4	7,17	161	149
150,209	7,16	111,172	6,17	374	149
3,2	382,476	4,6	313,467	188	149
75,67	6,0	22,37	0,7	268	149
192,179	6,9	164,194	3,7	161	149
39,40	0,2	19,55	0,0	155	149
23,35	260,408	20,41	283,380	316	149
11,8	277,260	7,8	138,238	177	149
65,88	230,200	51,98	120,160	359	149
3,8	194,315	0,10	205,374	157	149
32,28	3,0	14,30	1,2	984	149
234,344	0,2	195,311	0,0	1909	149
115,100	4,0	88,149	0,0	167	149
110,105	0,0	80,105	3,1	170	149
121,176	4,5	104,166	0,2	339	149
31,28	108,98	17,52	68,120	268	149
392,391	3,9	384,584	25,25	715	149
10,7	244,308	2,0	149,186	311	149
302,368	0,2	277,369	0,4	157	149
3,1	237,306	3,3	205,338	151	149
21,14	69,55	6,12	50,89	204	149
12,8	11,13	3,5	10,21	204	149
1,0	313,312	1,1	255,391	373	149
14,24	1,4	12,6	2,7	169	149
18,30	4,3	10,17	0,0	153	149
19,34	16,20	0,10	16,46	161	149
20,57	4,1	13,22	0,0	190	149
53,97	196,336	7,15	177,312	167	149
7,12	295,479	5,5	223,397	157	149
21,35	91,141	15,15	68,95	525	149
4,21	20,26	2,7	11,10	233	149
17,13	3,10	13,11	2,2	343	149
434,486	4,7	355,477	0,2	847	149
477,553	4,7	420,533	0,2	875	149
82,141	8,9	67,89	5,13	542	149
18,19	993,1101	20,37	601,1049	153	149
2,5	31,71	4,8	27,39	177	149
34,73	16,39	27,42	18,29	278	149
0,2	12,20	0,3	11,8	177	149
672,769	1,0	355,734	0,0	389	149
1,3	2,0	0,0	5,8	181	149
269,395	0,1	220,327	0,0	300	149
11,23	1685,2189	17,26	1560,2504	153	149
681,799	2,15	588,959	1,0	406	149
18,33	987,1364	23,49	811,1349	152	149
