ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	0,2	119,203	0,0	100,155	283	298	1
1	18,29	119,203	21,18	100,155	262	298	1
2	14,17	131,149	12,20	51,115	230	230	1
3	0,1	6,2	2,1	0,8	263	298	0.170348104393
5	54,69	140,175	61,63	119,197	194	257	1
6	42,36	66,72	32,38	42,69	197	196	1
8	2,2	13,19	1,7	15,11	260	253	1
9	626,774	54,51	476,788	31,25	216	167	1
10	3775,4803	4669,5637	4284,5949	4971,7691	215	227	1
11	344,399	156,249	255,461	147,221	199	183	1
12	35,31	66,67	19,33	61,43	188	206	1
13	14,24	51,94	9,21	58,89	298	285	1
14	134,219	100,144	216,306	143,209	298	298	1
17	309,434	212,234	295,436	169,240	251	215	1
18	47,68	22,31	66,113	5,33	251	260	0.295407759917
19	342,414	298,355	278,414	225,418	298	234	1
20	70,90	83,95	60,113	91,135	197	218	1
21	43,60	103,128	44,62	108,164	169	202	1
22	95,119	226,340	94,165	266,426	220	290	1
24	29,19	33,34	22,13	40,36	204	256	0.882415326092
25	423,655	460,742	554,763	778,963	298	298	1
26	107,156	132,146	124,159	115,160	203	215	1
27	30,40	81,103	41,64	64,87	193	266	0.356403745523
28	123,114	528,687	108,107	447,681	220	230	1
29	865,1099	156,210	759,1156	144,268	230	193	1
31	54,61	61,87	41,64	55,87	209	209	1
33	55,58	64,108	41,61	54,95	209	209	1
34	1710,2654	1754,2673	1441,2186	1751,2402	298	298	1
35	327,418	7,15	413,636	8,28	298	298	1
36	7,0	13,0	4,7	6,6	242	242	1
37	25,29	185,213	23,10	98,161	229	298	1
38	46,65	47,49	20,31	24,39	209	218	1
39	15,20	17,19	7,11	14,10	215	210	1
40	59,42	55,49	32,54	30,58	273	247	1
41	86,153	460,582	87,123	371,591	181	281	1
42	34,50	234,298	38,85	184,268	251	212	1
43	25,42	339,475	62,80	311,541	183	212	1
44	108,126	191,299	63,94	109,191	252	247	1
45	0,0	26,22	6,6	18,25	298	298	0.082338493504
46	165,297	132,236	260,396	181,284	298	298	1
47	172,181	40,58	144,210	29,38	234	193	1
48	185,271	163,224	205,391	103,144	193	212	0.0646091359554
49	130,161	156,250	69,125	187,336	212	209	0.139682928888
50	82,111	38,66	67,77	41,49	298	298	1
51	3,6	3,6	2,5	4,7	209	209	0.817857513111
52	60,121	107,193	63,87	81,146	215	291	1
53	1418,2097	2440,3518	1146,1711	2044,2977	209	242	1
54	70,67	23,24	35,60	17,20	298	157	1
55	92,116	23,24	67,93	17,20	298	157	1
56	96,138	23,24	60,101	17,20	298	157	1
57	53,75	296,338	33,56	104,200	176	272	1
58	672,876	958,1102	462,686	594,975	210	252	1
59	55,68	56,61	33,48	39,61	211	231	1
61	155,271	334,470	153,241	268,443	217	291	1
62	1314,1781	729,820	981,1567	651,1063	281	198	1
63	25,30	58,65	18,27	22,59	189	238	1
64	25,30	52,68	19,27	48,96	189	226	1
65	84,84	237,328	46,85	189,212	174	206	1
66	0,2	35,28	0,5	28,52	244	231	1
67	8,19	35,28	26,42	28,52	231	231	0.382032780992
68	468,665	1452,2105	481,603	1318,1872	216	298	1
69	30,46	61,96	32,45	39,65	185	233	0.909220595966
70	0,0	61,96	0,1	39,65	200	233	1
71	71,85	72,82	38,74	35,63	230	188	1
72	58,48	65,50	30,57	56,81	190	214	1
74	13,17	2,5	6,10	2,4	298	298	1
75	1361,1714	2079,2742	971,1482	1551,2413	233	298	1
77	249,271	73,99	189,316	56,75	298	210	1
78	0,0	1,2	5,5	2,2	298	298	3.22431452648e-07
79	111,110	72,95	100,203	47,63	189	196	0.166938897617
80	408,365	302,324	318,487	308,416	212	212	1
81	108,120	173,202	93,141	145,198	201	201	1
82	62,81	600,952	52,74	548,848	197	298	1
84	55,92	85,79	46,90	40,92	288	294	1
85	88,97	53,57	55,69	43,52	262	238	1
87	38,36	139,155	12,12	123,189	292	242	0.573701917854
89	157,219	64,62	129,224	55,103	262	215	1
90	31,30	44,32	11,28	19,26	298	228	1
91	833,1189	852,1170	728,1115	813,1225	197	197	1
92	932,1351	931,1119	793,1241	786,1243	215	218	1
93	418,572	0,0	351,449	1,2	197	197	1
94	417,570	732,1060	351,449	667,1043	197	197	1
95	417,568	684,944	350,449	615,927	197	197	1
96	641,849	851,1269	548,773	822,1155	215	215	1
97	16,15	55,83	5,13	39,33	247	198	1
99	496,775	151,198	524,724	148,193	284	206	1
100	297,385	107,139	221,331	82,107	239	215	1
101	1,4	33,69	0,0	26,40	208	260	1
102	100,143	128,139	86,106	101,185	252	282	1
