ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0	112,98	73,81	77,41	53,34	217	196
1	62,76	16,11	40,24	2,2	262	219
2	41,63	49,52	16,16	28,26	189	194
3	17,12	121,69	11,4	64,30	230	230
5	197,176	260,261	75,42	88,86	226	272
6	171,130	85,64	77,49	44,32	236	203
8	7,3	8,7	2,0	7,8	260	253
9	820,667	35,19	383,216	11,21	216	167
10	90,80	108,100	58,25	87,51	278	298
12	168,120	249,266	108,49	175,100	198	264
13	9,13	230,167	3,5	81,52	256	232
14	137,116	230,167	40,62	81,52	217	232
15	52,41	66,60	27,16	40,25	188	206
16	272,180	136,139	157,71	73,63	250	222
17	127,112	247,207	71,48	132,59	227	220
18	1438,1304	1454,1253	848,464	744,438	210	203
19	54,53	111,126	42,25	69,46	201	271
20	77,92	134,67	74,43	67,56	197	218
21	48,31	126,91	32,9	94,61	169	202
22	54,67	601,571	28,27	341,176	244	234
23	207,174	251,133	89,68	93,55	247	225
24	104,114	260,241	82,43	221,106	220	290
25	67,57	108,96	56,37	88,47	193	201
26	72,41	114,94	35,11	86,50	208	263
28	173,147	127,129	74,42	79,29	208	216
29	367,468	518,556	455,273	644,405	298	298
30	93,84	99,88	49,33	83,40	273	298
31	38,48	103,84	17,9	53,21	193	266
32	147,133	619,649	79,40	315,246	220	230
33	1127,876	204,153	588,430	127,81	230	193
34	291,206	63,61	142,90	23,23	243	183
35	47,42	73,48	30,19	50,30	209	209
36	2406,2347	2600,2400	1175,731	1528,938	298	298
37	440,324	10,14	305,216	14,12	298	298
38	8,3	6,12	3,2	3,4	242	242
39	54,48	98,115	19,5	35,24	217	238
40	58,58	46,39	30,15	21,18	273	247
41	11,7	193,136	8,2	108,67	183	278
42	56,45	193,136	46,16	107,68	183	278
43	21,29	255,261	26,14	129,92	251	212
44	48,32	445,417	45,48	246,161	183	212
45	184,156	155,167	113,66	85,63	212	202
46	95,100	263,174	48,21	89,54	252	247
47	0,5	35,42	3,2	11,11	298	298
48	203,172	190,205	208,100	177,108	298	298
49	156,113	200,130	68,33	191,102	212	209
50	103,138	39,60	69,37	29,23	298	298
51	1766,1700	3503,2688	936,575	1594,996	209	242
52	90,92	26,30	20,26	20,10	298	157
53	84,90	26,30	36,33	20,10	298	157
54	107,96	26,30	43,39	20,10	298	157
55	92,66	392,234	34,17	198,83	178	239
57	192,205	368,347	147,75	203,160	217	291
58	612,503	1897,1474	398,262	1190,630	216	298
59	49,45	73,62	33,14	29,29	185	233
60	2,0	73,62	0,0	29,29	200	233
61	141,117	72,69	54,32	53,19	257	222
62	67,47	30,30	19,13	9,9	215	194
63	13140,11306	17261,14489	10550,5844	12892,7383	298	298
64	66,78	86,78	35,18	27,11	230	188
65	156,143	341,224	101,84	212,105	211	249
66	77,61	73,51	25,14	44,16	190	214
68	18,13	2,5	6,3	0,0	298	298
69	84,56	6,17	30,28	4,2	230	182
70	1661,1406	2469,2430	764,470	1109,805	233	298
73	2756,2435	492,380	1569,1053	320,208	286	225
74	374,404	325,300	303,183	256,134	212	212
76	36,34	175,140	14,4	86,56	292	242
77	9,14	5,2	3,0	0,0	214	202
78	114,87	42,58	109,76	16,16	298	241
79	918,988	879,1118	688,370	729,364	197	197
80	401,449	803,824	238,157	597,300	197	197
81	401,452	454,576	237,157	338,198	197	197
82	572,783	870,1129	420,275	700,386	215	215
84	1294,1477	509,483	834,534	302,213	298	183
85	2,0	45,46	0,0	21,16	208	260
