ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
1	39,23	1,0	13,8	0,0	202	149	1	1.0	0.966,1.0	1.0,1.0	-0.017
3	4,1	265,244	1,1	118,49	230	149	1	1.0	0.01,0.003	0.005,0.013	-0.002
4	11,5	1,2	6,2	0,1	208	149	1	1.0	0.887,0.642	1.0,0.589	-0.03
7	0,1	29,18	0,0	20,19	200	149	1	1.0	0.0,0.04	0.0,0.0	0.02
8	92,53	18,17	70,54	9,12	184	149	1	1.0	0.805,0.716	0.863,0.785	-0.064
9	79,47	1,1	61,43	0,2	184	149	1	1.0	0.985,0.974	1.0,0.946	0.007
10	2,2	274,282	14,1	96,84	359	149	1	1.0	0.003,0.003	0.057,0.005	-0.028
11	5,4	934,755	1,0	618,351	156	149	1	1.0	0.005,0.005	0.002,0.0	0.004
14	397,357	8,1	148,100	0,2	283	149	1	1.0	0.963,0.995	1.0,0.963	-0.003
15	45,16	6,0	5,3	1,0	458	149	0.0122319106259	0.20136618460486988	0.709,1.0	0.619,1.0	0.045
16	2,3	5,9	2,2	8,2	242	149	1	1.0	0.198,0.17	0.133,0.381	-0.073
17	14,3	11,11	6,2	6,5	365	149	1	1.0	0.342,0.1	0.29,0.14	0.006
19	0,0	11,11	2,0	6,5	184	149	1	1.0	0.0,0.0	0.213,0.0	-0.106
21	13,11	78,65	11,15	39,24	734	149	1	1.0	0.033,0.033	0.054,0.113	-0.051
23	249,273	32,34	144,93	31,13	170	149	1	1.0	0.872,0.876	0.803,0.862	0.041
24	38,28	32,34	23,10	31,13	236	149	1	1.0	0.428,0.342	0.319,0.327	0.062
25	6,4	217,249	9,2	130,85	215	149	1	1.0	0.019,0.011	0.046,0.016	-0.016
26	13,9	0,0	13,7	1,1	153	149	1	1.0	1.0,1.0	0.927,0.872	0.101
28	0,2	105,112	0,0	26,18	293	149	1	1.0	0.0,0.009	0.0,0.0	0.004
30	190,151	0,0	57,34	2,0	421	149	1	1.0	1.0,1.0	0.91,1.0	0.045
31	983,798	5,6	505,319	0,0	161	149	1	1.0	0.995,0.992	1.0,1.0	-0.006
32	18,18	32,40	2,2	18,18	179	149	0.0263317549505	0.3664901529928682	0.319,0.273	0.085,0.085	0.211
33	5,3	282,313	6,0	187,89	359	149	1	1.0	0.007,0.004	0.013,0.0	-0.001
34	29,12	296,296	25,9	173,84	188	149	1	1.0	0.072,0.031	0.103,0.078	-0.039
35	5,5	101,73	10,2	21,28	308	149	1	1.0	0.023,0.032	0.187,0.033	-0.083
36	4,5	201,248	3,2	88,94	395	149	1	1.0	0.007,0.008	0.013,0.008	-0.003
37	3,4	21,16	0,0	8,8	161	149	0.698923522628	1.0	0.117,0.188	0.0,0.0	0.152
38	198,160	15,9	49,64	7,6	374	149	1	1.0	0.84,0.876	0.736,0.81	0.085
39	8,0	494,332	3,1	244,114	188	149	1	1.0	0.013,0.0	0.01,0.007	-0.002
40	51,41	2,9	20,11	0,2	268	149	0.423457199991	1.0	0.934,0.717	1.0,0.754	-0.051
41	198,223	14,9	124,73	0,1	161	149	1	1.0	0.929,0.958	1.0,0.985	-0.049
43	39,29	334,254	15,12	194,109	316	149	1	1.0	0.052,0.051	0.035,0.049	0.009
44	18,13	349,258	7,10	110,76	177	149	1	1.0	0.042,0.041	0.051,0.1	-0.034
45	82,77	235,186	38,39	82,66	359	149	1	1.0	0.127,0.147	0.161,0.197	-0.042
46	3,2	302,296	9,2	216,107	157	149	1	1.0	0.009,0.006	0.038,0.017	-0.02
47	33,24	0,1	13,25	1,0	984	149	1	1.0	1.0,0.784	0.663,1.0	0.06
49	126,123	1,2	64,48	0,0	167	149	1	1.0	0.991,0.982	1.0,1.0	-0.014
50	4,0	190,231	0,0	107,83	152	149	1	1.0	0.02,0.0	0.0,0.0	0.01
52	116,103	0,1	93,42	0,0	170	149	1	1.0	1.0,0.989	1.0,1.0	-0.006
53	142,138	1,0	118,66	0,0	361	149	1	1.0	0.983,1.0	1.0,1.0	-0.008
54	171,157	1,0	156,84	0,0	551	149	1	1.0	0.979,1.0	1.0,1.0	-0.01
55	33,23	1,0	41,18	0,0	339	149	1	1.0	0.936,1.0	1.0,1.0	-0.032
56	134,138	0,0	96,52	1,1	339	149	1	1.0	1.0,1.0	0.977,0.958	0.032
57	38,29	120,87	18,8	76,47	268	149	1	1.0	0.15,0.156	0.116,0.086	0.052
58	425,322	9,3	350,188	22,9	715	149	0.202006863183	1.0	0.908,0.957	0.768,0.813	0.142
59	7,6	276,318	1,1	141,97	311	149	1	1.0	0.012,0.009	0.003,0.005	0.006
61	5,3	254,272	9,4	162,145	151	149	1	1.0	0.019,0.011	0.052,0.026	-0.024
62	22,17	80,46	9,4	41,31	204	149	1	1.0	0.167,0.213	0.138,0.086	0.078
63	18,13	9,17	6,4	5,8	204	149	0.834947250394	1.0	0.594,0.358	0.467,0.268	0.108
64	2,3	327,308	1,0	205,123	373	149	1	1.0	0.002,0.004	0.002,0.0	0.002
65	35,26	1,0	4,7	4,0	169	149	0.739862160538	1.0	0.969,1.0	0.469,1.0	0.25
66	19,7	6,1	12,9	0,0	153	149	0.324505443505	1.0	0.755,0.872	1.0,1.0	-0.186
67	17,13	26,13	4,6	18,9	161	149	0.461892894265	1.0	0.377,0.481	0.171,0.382	0.152
68	43,24	1,0	27,16	0,2	190	149	1	1.0	0.971,1.0	1.0,0.863	0.054
69	84,61	289,260	6,6	195,138	167	149	0.00132976216404	0.03132101343300369	0.206,0.173	0.027,0.037	0.158
70	7,5	329,403	5,2	187,113	157	149	1	1.0	0.02,0.012	0.025,0.017	-0.005
71	20,29	100,109	19,4	42,51	525	149	1	1.0	0.054,0.07	0.114,0.022	-0.006
72	6,18	36,21	0,2	16,2	233	149	0.155638647919	1.0	0.096,0.354	0.0,0.39	0.03
73	735,635	1,0	403,228	0,0	161	149	1	1.0	0.999,1.0	1.0,1.0	-0.0
75	31,9	13,10	16,3	2,5	343	149	1	1.0	0.509,0.281	0.777,0.207	-0.097
76	169,174	0,1	92,49	0,0	277	149	1	1.0	1.0,0.989	1.0,1.0	-0.006
77	424,449	6,2	253,203	1,0	847	149	1	1.0	0.926,0.975	0.978,1.0	-0.038
78	506,496	6,2	290,231	1,0	875	149	1	1.0	0.935,0.977	0.98,1.0	-0.034
80	1682,1561	1,0	1006,627	0,0	690	149	1	1.0	0.997,1.0	1.0,1.0	-0.002
81	108,105	3,6	36,20	11,5	542	149	0.000994959436137	0.024179093598821377	0.908,0.828	0.474,0.524	0.369
82	23,29	1001,1055	19,9	496,361	153	149	1	1.0	0.022,0.026	0.036,0.024	-0.006
83	5,2	47,36	2,3	25,24	177	149	1	1.0	0.082,0.045	0.063,0.095	-0.015
84	55,38	31,20	27,24	23,8	278	149	1	1.0	0.487,0.505	0.386,0.617	-0.006
85	0,3	12,11	1,1	10,4	177	149	1	1.0	0.0,0.187	0.078,0.174	-0.033
86	4,4	0,0	4,0	4,1	181	149	0.00787590908794	0.14704898553214804	1.0,1.0	0.452,0.0	0.774
88	395,362	0,0	158,138	1,0	300	149	1	1.0	1.0,1.0	0.987,1.0	0.006
89	23,22	2092,1911	19,3	1414,773	153	149	1	1.0	0.011,0.011	0.013,0.004	0.002
90	713,735	9,4	490,422	0,0	406	149	1	1.0	0.967,0.985	1.0,1.0	-0.024
91	22,23	1297,1129	24,25	793,429	152	149	1	1.0	0.016,0.02	0.029,0.054	-0.024
92	7,3	0,1	4,1	0,0	161	149	1	1.0	1.0,0.735	1.0,1.0	-0.133
93	32,30	281,258	19,7	146,112	343	149	1	1.0	0.047,0.048	0.054,0.026	0.007
94	0,4	8,3	3,1	1,1	167	149	0.0680322000688	0.7037655290900864	0.0,0.543	0.728,0.472	-0.328
