ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	3,1	20,15	1,0	10,6	225	149	1	1.0	0.09,0.042	0.062,0.0	0.035
1	151,106	349,332	57,34	285,162	252	149	1	1.0	0.204,0.159	0.106,0.11	0.073
2	58,36	481,473	37,14	316,195	251	149	1	1.0	0.067,0.043	0.065,0.041	0.002
3	7,10	65,23	7,4	20,14	227	149	1	1.0	0.066,0.222	0.187,0.158	-0.028
4	53,53	209,174	24,9	114,85	273	149	1	1.0	0.122,0.143	0.103,0.055	0.054
5	27,20	228,181	7,12	104,46	246	149	1	1.0	0.067,0.063	0.039,0.136	-0.023
6	18,38	10,17	16,18	5,7	296	149	1	1.0	0.475,0.529	0.617,0.564	-0.089
7	37,41	2,3	21,19	1,3	241	149	1	1.0	0.92,0.894	0.928,0.797	0.044
8	690,469	132,115	316,163	87,58	238	149	1	1.0	0.766,0.719	0.695,0.638	0.076
9	18,2	0,0	14,3	0,2	242	149	1	1.0	1.0,1.0	1.0,0.48	0.26
10	240,237	647,640	87,113	458,284	228	149	1	1.0	0.195,0.195	0.11,0.206	0.037
11	274,245	5326,4599	240,187	4020,2518	212	149	1	1.0	0.035,0.036	0.04,0.05	-0.009
12	62,44	97,119	39,39	56,31	255	149	0.654218827931	1.0	0.272,0.178	0.289,0.424	-0.131
13	154,94	525,433	78,28	338,164	225	149	1	1.0	0.163,0.126	0.133,0.102	0.027
14	7,6	72,67	5,1	39,20	232	149	1	1.0	0.059,0.054	0.076,0.031	0.003
15	31,26	64,82	10,8	31,26	246	149	1	1.0	0.227,0.161	0.163,0.157	0.034
16	5,13	96,69	7,4	48,28	247	149	1	1.0	0.03,0.102	0.081,0.079	-0.014
17	235,185	29,42	104,52	28,13	272	149	1	1.0	0.816,0.707	0.67,0.687	0.083
18	1,1	97,123	0,1	55,43	251	149	1	1.0	0.006,0.005	0.0,0.014	-0.002
19	61,48	123,163	39,26	77,48	232	149	1	1.0	0.242,0.159	0.245,0.258	-0.051
20	4,15	85,76	5,7	56,29	335	149	1	1.0	0.021,0.081	0.038,0.097	-0.017
21	1,1	50,37	1,2	14,12	225	149	1	1.0	0.013,0.018	0.045,0.099	-0.057
22	40,40	323,241	14,17	150,76	457	149	1	1.0	0.039,0.051	0.03,0.068	-0.004
23	7,0	25,11	3,2	6,4	244	149	0.635922404414	1.0	0.146,0.0	0.234,0.234	-0.161
24	5,10	15,13	5,1	9,3	215	149	1	1.0	0.188,0.348	0.278,0.188	0.035
26	118,81	121,104	69,48	53,38	287	149	1	1.0	0.336,0.288	0.403,0.396	-0.088
27	6,9	576,545	13,2	372,193	231	149	1	1.0	0.007,0.011	0.022,0.007	-0.005
28	13,18	0,0	25,12	0,1	241	149	1	1.0	1.0,1.0	1.0,0.881	0.059
29	72,68	3993,3762	36,23	1973,1329	224	149	1	1.0	0.012,0.012	0.012,0.011	0.001
30	98,102	3175,3075	49,28	1581,1060	240	149	1	1.0	0.019,0.02	0.019,0.016	0.002
31	9,12	268,228	4,8	174,75	237	149	1	1.0	0.021,0.032	0.014,0.063	-0.012
32	185,131	8,5	93,122	2,4	259	149	1	1.0	0.93,0.938	0.964,0.946	-0.021
33	256,173	1,1	152,161	0,2	294	149	1	1.0	0.992,0.989	1.0,0.976	0.002
34	6,12	43,22	43,67	20,5	319	149	1.40125950373e-05	0.0016210391837863023	0.061,0.203	0.501,0.862	-0.549
35	81,68	629,564	61,56	382,230	230	149	1	1.0	0.077,0.072	0.094,0.136	-0.041
36	13,20	100,86	11,4	42,27	277	149	1	1.0	0.065,0.111	0.123,0.074	-0.011
37	7,4	117,108	1,0	56,40	221	149	1	1.0	0.039,0.024	0.012,0.0	0.026
40	35,41	364,310	15,7	218,131	220	149	1	1.0	0.061,0.082	0.045,0.035	0.032
41	270,255	21,29	109,72	6,12	227	149	1	1.0	0.894,0.852	0.923,0.798	0.012
43	12,12	14,16	8,5	10,5	246	149	1	1.0	0.342,0.312	0.326,0.377	-0.025
44	14,14	19,19	13,5	26,2	222	149	1	1.0	0.331,0.331	0.251,0.627	-0.108
45	8,1	5,3	0,0	1,2	227	149	0.0339112653199	0.6708115075021513	0.512,0.18	0.0,0.0	0.346
47	26,7	24,13	0,2	5,1	416	149	0.103128160914	1.0	0.28,0.162	0.0,0.417	0.013
48	31,7	6,0	0,2	1,0	562	149	0.0768705373225	1.0	0.578,1.0	0.0,1.0	0.289
49	10,2	23,11	0,0	5,1	253	149	0.401085185978	1.0	0.204,0.097	0.0,0.0	0.15
50	132,113	761,715	32,16	398,218	251	149	1	1.0	0.093,0.086	0.046,0.042	0.045
51	348,272	3,5	230,107	4,5	240	149	1	1.0	0.986,0.971	0.973,0.93	0.027
52	17,6	0,2	8,4	0,0	267	149	1	1.0	1.0,0.626	1.0,1.0	-0.187
53	31,7	11,11	14,6	6,5	483	149	1	1.0	0.465,0.164	0.419,0.27	-0.03
54	9,2	1,3	2,1	2,1	253	149	0.518261130739	1.0	0.841,0.282	0.371,0.371	0.191
56	177,148	1,1	96,88	0,0	245	149	1	1.0	0.991,0.989	1.0,1.0	-0.01
59	35,17	41,37	18,7	22,11	247	149	1	1.0	0.34,0.217	0.33,0.277	-0.025
60	77,69	571,536	81,47	258,172	277	149	1	1.0	0.068,0.065	0.144,0.128	-0.07
61	57,41	358,265	49,36	130,119	247	149	1	1.0	0.088,0.085	0.185,0.154	-0.083
62	123,80	43,41	120,238	47,14	1192	149	0.351541328542	1.0	0.263,0.196	0.242,0.68	-0.232
64	46,26	57,49	15,31	45,10	293	149	1	1.0	0.291,0.212	0.145,0.612	-0.127
65	25,21	106,76	44,31	49,20	241	149	0.0012558669242	0.06328134840739051	0.127,0.146	0.357,0.489	-0.286
66	11,9	71,39	17,5	35,16	254	149	1	1.0	0.083,0.119	0.222,0.155	-0.087
67	15,2	24,13	2,2	7,2	215	149	1	1.0	0.302,0.096	0.165,0.409	-0.088
68	23,8	105,72	5,5	62,24	227	149	1	1.0	0.126,0.068	0.05,0.12	0.012
69	62,64	68,114	28,19	27,26	259	149	1	1.0	0.344,0.244	0.374,0.296	-0.041
70	51,59	44,32	33,14	20,9	478	149	1	1.0	0.265,0.365	0.34,0.327	-0.019
71	4,6	1,0	2,1	0,0	417	149	1	1.0	0.588,1.0	1.0,1.0	-0.206
74	75,62	32,34	59,19	31,13	370	149	1	1.0	0.486,0.423	0.434,0.371	0.052
75	42,38	217,249	45,10	130,85	349	149	1	1.0	0.076,0.061	0.129,0.048	-0.02
76	38,34	1,0	37,9	0,0	283	149	1	1.0	0.952,1.0	1.0,1.0	-0.024
77	19,24	174,180	15,8	119,62	516	149	1	1.0	0.031,0.037	0.035,0.036	-0.002
78	19,9	212,120	26,13	67,41	244	149	0.345235875918	1.0	0.052,0.044	0.192,0.162	-0.129
79	34,40	157,168	9,6	64,50	228	149	1	1.0	0.124,0.135	0.084,0.073	0.051
80	0,1	220,175	0,0	49,39	230	149	1	1.0	0.0,0.004	0.0,0.0	0.002
81	101,61	53,58	36,32	24,15	622	149	1	1.0	0.313,0.201	0.264,0.338	-0.044
82	72,55	232,206	30,27	154,99	247	149	1	1.0	0.158,0.139	0.105,0.141	0.026
83	169,68	0,2	56,15	0,0	339	149	1	1.0	1.0,0.937	1.0,1.0	-0.031
84	67,55	335,347	39,46	139,134	235	149	1	1.0	0.113,0.091	0.151,0.179	-0.063
85	644,606	238,254	344,220	180,91	228	149	1	1.0	0.639,0.609	0.555,0.612	0.04
86	26,18	110,72	21,19	31,44	649	149	1	1.0	0.051,0.054	0.135,0.09	-0.06
89	0,2	5,16	0,0	2,1	281	149	1	1.0	0.0,0.062	0.0,0.0	0.031
90	15,9	82,64	10,15	80,34	244	149	1	1.0	0.1,0.079	0.071,0.212	-0.052
91	18,17	123,98	15,11	119,53	392	149	1	1.0	0.053,0.062	0.046,0.073	-0.002
92	63,50	99,68	20,8	42,25	651	149	1	1.0	0.127,0.144	0.098,0.068	0.053
93	24,30	7,1	16,2	0,0	223	149	0.572281353635	1.0	0.696,0.952	1.0,1.0	-0.176
94	18,8	270,282	21,4	192,129	227	149	1	1.0	0.042,0.018	0.067,0.02	-0.014
95	0,0	0,3	0,1	3,0	279	149	1	1.0	NA,0.0	0.0,1.0	-0.5
96	0,1	0,0	4,4	2,0	277	149	1	1.0	NA,1.0	0.518,1.0	0.241
97	182,87	316,260	104,48	183,97	301	149	1	1.0	0.222,0.142	0.22,0.197	-0.027
98	10,9	183,146	11,2	39,23	304	149	1	1.0	0.026,0.029	0.121,0.041	-0.054
99	9,18	306,217	10,1	106,62	295	149	1	1.0	0.015,0.04	0.045,0.008	0.001
100	28,46	32,33	31,9	1,4	455	149	0.037903655183	0.706859768031061	0.223,0.313	0.91,0.424	-0.399
101	458,307	7788,5757	261,147	4346,2409	226	149	1	1.0	0.037,0.034	0.038,0.039	-0.003
102	750,644	29,14	463,305	8,5	234	149	1	1.0	0.943,0.967	0.974,0.975	-0.019
104	176,156	127,80	169,135	108,62	1757	149	1	1.0	0.105,0.142	0.117,0.156	-0.013
105	3118,1973	5,3	2267,1127	6,0	202	149	1	1.0	0.998,0.998	0.996,1.0	0.0
