ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
3	1,1	180,244	5,1	132,49	230	149	1
4	0,5	1,2	5,2	2,1	208	149	0.530205958167
7	3,1	24,18	0,0	7,19	200	149	1
8	69,53	18,17	77,54	8,12	184	149	0.895398405087
9	62,47	1,1	60,43	0,2	184	149	1
10	1,1	234,282	6,0	132,84	298	149	1
11	8,4	707,755	1,0	630,351	156	149	1
14	231,355	0,1	239,99	0,2	283	149	1
15	15,14	2,0	0,1	0,0	298	149	1
16	7,3	15,9	1,2	7,2	242	149	0.113644765222
17	5,2	10,11	4,0	10,5	298	149	1
19	1,0	10,11	0,0	10,5	184	149	1
20	63,46	2,0	28,11	0,0	155	149	1
21	5,1	74,65	2,0	43,24	298	149	1
22	188,273	28,34	185,93	27,13	170	149	1
23	21,28	28,34	23,10	27,13	236	149	1
24	4,4	171,249	5,2	167,85	215	149	1
25	82,99	3,0	49,37	0,0	298	149	1
26	8,9	0,0	4,7	1,1	153	149	1
28	1,2	107,112	0,0	69,18	293	149	1
30	208,149	1,0	67,33	0,0	298	149	1
31	860,798	4,6	670,319	0,0	161	149	1
32	5,18	35,40	6,2	28,18	179	149	1
33	4,2	245,313	1,0	158,89	298	149	1
34	12,12	277,296	21,9	178,84	188	149	1
35	5,5	63,73	7,2	43,28	298	149	1
36	0,3	191,248	1,2	157,94	298	149	1
37	0,4	34,16	0,0	7,8	161	149	1
38	137,150	7,9	102,60	6,6	298	149	1
39	3,0	382,332	4,1	313,114	188	149	1
40	75,41	6,9	22,11	0,2	268	149	0.224677492087
41	192,223	6,9	164,73	3,1	161	149	1
43	18,21	260,254	17,12	283,109	298	149	1
44	11,13	277,258	7,10	138,76	177	149	1
45	63,75	230,186	50,38	120,66	298	149	1
46	3,2	194,296	0,2	205,107	157	149	1
47	4,9	3,1	3,3	1,0	298	149	0.155135906904
49	115,123	4,2	88,48	0,0	167	149	1
52	110,103	0,1	80,42	3,0	170	149	1
53	114,137	4,0	101,49	0,1	298	149	1
54	31,29	108,87	17,8	68,47	268	149	1
55	267,215	3,3	205,103	25,9	298	149	0.0454644650884
56	10,5	244,318	2,0	149,97	298	149	1
58	3,3	237,272	3,4	205,145	151	149	1
59	21,17	69,46	6,4	50,31	204	149	0.654678136733
60	12,13	11,17	3,4	10,8	204	149	0.346934919608
61	1,0	313,308	0,0	255,123	298	149	1
62	14,26	1,0	12,7	2,0	169	149	1
63	18,7	4,1	10,9	0,0	153	149	0.643950894923
64	19,13	16,13	0,6	16,9	161	149	0.0292599314428
65	20,24	4,0	13,16	0,2	190	149	1
66	53,61	196,260	7,6	177,138	167	149	0.0141007517703
67	7,5	295,403	5,2	223,113	157	149	1
68	14,21	91,109	8,4	68,51	298	149	1
69	4,18	20,21	2,2	11,2	233	149	0.0832391077783
71	15,9	3,10	11,3	2,5	298	149	1
72	140,174	0,1	84,49	0,0	277	149	1
73	20,38	4,2	18,19	0,0	298	149	0.673996100157
74	35,60	4,2	48,32	0,0	298	149	1
76	51,55	8,6	27,10	5,5	298	149	0.678965354874
77	18,29	993,1055	20,9	601,361	153	149	1
78	2,2	31,36	4,3	27,24	177	149	1
79	34,38	16,20	27,24	18,8	278	149	1
80	0,3	12,11	0,1	11,4	177	149	1
81	509,560	1,0	270,121	0,0	298	149	1
82	1,4	2,0	0,0	5,1	181	149	0.00793071671322
84	11,22	1685,1911	17,3	1560,773	153	149	1
85	499,570	2,4	429,311	1,0	298	149	1
86	18,23	987,1129	23,25	811,429	152	149	1
87	7,3	0,1	6,1	0,0	161	149	1
88	23,23	227,258	10,5	196,112	298	149	1
89	4,4	8,3	2,1	1,1	167	149	0.610290864556
90	13,10	8,3	16,12	1,1	209	149	0.019991702145
91	9,7	0,1	14,11	0,0	191	149	1
93	163,179	3,0	184,92	0,0	298	149	1
96	10,10	2,1	0,0	2,0	298	149	1
97	4,3	46,78	0,0	40,28	155	149	1
98	0,1	20,24	0,2	24,11	175	149	1
99	141,131	2,0	128,68	0,0	298	149	1
100	11,17	100,124	10,5	97,73	206	149	1
101	1,3	85,118	0,0	77,45	242	149	1
102	106,134	1,6	72,43	6,3	191	149	1
104	107,141	0,1	86,52	2,1	271	149	1
105	169,158	6,8	161,86	0,3	272	149	1
106	13,21	574,643	24,18	494,251	298	149	1
107	267,260	19,18	184,73	12,1	298	149	1
108	6,16	37,46	1,3	56,30	169	149	0.215797989479
110	1007,1155	5,5	938,531	2,0	176	149	1
111	5,4	2,4	2,3	15,3	171	149	0.102254734842
112	2,3	33,33	2,4	29,22	298	149	1
113	9,13	152,193	9,11	107,58	154	149	1
114	143,139	1,0	121,75	1,1	251	149	1
115	8,18	1038,940	4,4	705,220	298	149	1
116	12,28	1,1	30,5	1,0	298	149	1
117	4,0	11,14	0,1	14,7	165	149	1
119	8,5	35,18	6,2	2,8	165	149	0.45720926708
120	2,5	43,35	0,0	19,4	231	149	1
121	2,6	490,550	0,1	323,186	182	149	1
122	4,2	471,423	7,1	337,195	298	149	1
123	124,111	5,0	183,84	3,3	297	149	1
124	10,19	633,793	9,10	1089,569	153	149	1
125	67,74	1,4	24,16	4,4	298	149	0.173959372487
126	178,218	1,0	115,80	0,0	174	149	1
127	1195,1292	5,1	943,550	19,5	155	149	1
128	113,125	0,0	126,64	0,2	199	149	1
129	43,69	1,1	31,15	8,2	163	149	0.205624802387
130	4,5	37,41	6,3	19,8	160	149	0.723044084393
131	27,20	13,5	31,14	3,1	152	149	0.115110236521
132	45,38	30,29	36,28	42,14	298	149	1
133	2,4	314,293	2,1	253,138	298	149	1
134	10,24	110,135	10,3	63,43	285	149	1
135	178,197	2,8	138,86	6,0	153	149	1
137	0,0	23,17	0,1	5,3	188	149	1
138	0,2	12,12	0,0	19,3	245	149	1
141	2,4	125,143	0,1	96,54	298	149	1
142	129,92	30,31	29,12	65,20	214	149	2.05848560419e-10
143	3,7	67,70	5,3	33,13	298	149	1
145	20,13	90,100	10,4	66,18	249	149	1
146	18,51	124,122	4,1	214,110	158	149	0.0048017708054
148	1,1	18,28	3,0	7,2	298	149	1
149	35,39	11,24	53,22	25,22	298	149	1
150	8,7	452,455	0,1	295,119	298	149	1
151	9,3	559,625	1,4	434,223	180	149	1
152	1,0	73,90	0,1	68,28	298	149	1
153	40,30	86,93	0,4	57,28	298	149	0.0392010110581
154	5,3	2,8	0,1	1,2	298	149	0.147114554534
155	11,20	0,3	3,4	0,0	185	149	1
156	140,251	44,109	32,20	61,20	173	149	0.000691180262345
157	4,4	1521,1421	2,3	1315,583	298	149	1
159	1184,1041	4,5	812,406	0,0	258	149	1
160	35,11	17,13	33,16	3,1	230	149	0.000718432231672
161	6,1	0,0	6,1	1,0	177	149	1
163	193,242	68,81	223,98	32,25	298	149	0.406808349254
164	4,2	0,1	1,4	0,0	154	149	1
165	7,7	1,2	2,1	4,1	243	149	0.0137990314671
166	3,8	585,814	5,1	500,260	298	149	1
167	3,9	585,814	9,2	500,260	298	149	1
168	19,5	12,12	12,0	5,4	298	149	1
169	4,9	0,0	2,1	2,0	191	149	1
170	154,145	22,29	96,57	15,13	159	149	1
172	94,93	32,54	147,98	90,44	175	149	1
173	215,230	2,0	137,107	0,1	298	149	1
175	81,66	7,18	82,16	4,3	161	149	1
176	67,66	7,1	52,38	6,3	169	149	1
177	395,429	8,1	665,468	1,3	298	149	1
179	1116,1360	0,0	1171,745	0,3	298	149	1
180	2,0	1,2	6,8	0,0	253	149	0.00203110135265
181	6,6	32,19	1,6	11,7	161	149	1
182	5,2	0,3	3,0	1,0	172	149	1
183	3,5	4,2	2,2	5,2	154	149	0.431101206476
184	80,56	28,39	41,27	32,19	298	149	0.973786188617
185	84,58	28,39	46,28	32,19	298	149	1
186	0,1	228,237	2,1	144,89	194	149	1
189	138,133	35,26	89,56	1,2	171	149	0.000739144024551
191	7116,5329	146,140	4205,2343	90,44	251	149	1
193	16,17	281,347	24,13	187,79	168	149	1
194	22,35	82,130	42,16	112,51	225	149	1
195	287,365	82,130	205,82	112,51	206	149	0.375538448883
196	13,4	34,31	13,11	3,2	163	149	3.59614875434e-07
