IncLevel1	IncLevel2	IncLevelDifference
0.128,0.042	0.0,0.0	0.085
0.221,0.159	0.108,0.11	0.081
0.098,0.043	0.102,0.041	-0.001
0.15,0.222	0.467,0.158	-0.127
0.12,0.143	0.109,0.055	0.05
0.082,0.063	0.083,0.136	-0.037
0.543,0.529	0.71,0.564	-0.101
0.597,0.894	0.848,0.797	-0.077
0.724,0.719	0.755,0.638	0.025
1.0,1.0	0.812,0.48	0.354
0.141,0.195	0.12,0.206	0.005
0.033,0.036	0.037,0.05	-0.009
0.236,0.178	0.201,0.424	-0.106
0.139,0.126	0.111,0.102	0.026
0.012,0.054	0.0,0.031	0.018
0.168,0.161	0.168,0.157	0.002
0.052,0.102	0.083,0.079	-0.004
0.703,0.707	0.676,0.687	0.023
0.012,0.005	0.012,0.014	-0.005
0.171,0.159	0.216,0.258	-0.072
0.055,0.084	0.069,0.108	-0.019
0.014,0.018	0.0,0.099	-0.034
0.044,0.06	0.024,0.079	0.0
0.114,0.0	0.196,0.234	-0.158
0.104,0.348	0.188,0.188	0.038
0.325,0.285	0.316,0.396	-0.051
0.017,0.011	0.015,0.007	0.003
1.0,1.0	1.0,0.881	0.059
0.016,0.012	0.009,0.011	0.004
0.02,0.02	0.017,0.016	0.003
0.034,0.032	0.028,0.063	-0.012
0.945,0.936	0.948,0.945	-0.006
0.989,0.989	1.0,0.976	0.001
0.114,0.2	0.694,0.867	-0.623
0.064,0.072	0.111,0.136	-0.055
0.081,0.101	0.05,0.074	0.029
0.039,0.024	0.012,0.0	0.026
1.0,NA	0.385,1.0	0.307
0.054,0.082	0.059,0.035	0.021
0.779,0.852	0.763,0.798	0.035
0.292,0.312	0.793,0.377	-0.283
0.189,0.331	0.801,0.627	-0.454
0.441,0.18	NA,0.0	0.31
0.125,0.161	NA,0.0	0.143
0.0,0.097	NA,0.0	0.049
0.058,0.086	0.023,0.042	0.039
1.0,0.971	0.962,0.93	0.04
1.0,0.626	1.0,1.0	-0.187
0.286,0.043	0.259,0.167	-0.049
0.227,0.282	1.0,0.371	-0.431
0.99,0.989	1.0,1.0	-0.01
0.208,0.217	0.308,0.277	-0.08
0.088,0.065	0.074,0.128	-0.025
0.093,0.085	0.136,0.154	-0.056
0.2,0.089	0.215,0.3	-0.113
0.229,0.212	0.15,0.612	-0.161
0.122,0.146	0.464,0.489	-0.343
0.09,0.119	0.045,0.155	0.004
0.278,0.096	0.294,0.409	-0.164
0.116,0.068	0.112,0.12	-0.024
0.228,0.244	0.389,0.296	-0.107
0.287,0.413	0.325,0.379	-0.002
0.411,0.447	0.393,0.381	0.042
0.066,0.062	0.064,0.045	0.01
0.039,0.032	0.029,0.031	0.006
0.08,0.044	0.171,0.162	-0.105
0.091,0.135	0.054,0.073	0.05
0.0,0.004	0.0,0.0	0.002
0.355,0.205	0.256,0.25	0.027
0.166,0.139	0.151,0.141	0.007
1.0,0.944	1.0,1.0	-0.028
0.123,0.091	0.138,0.179	-0.052
