IncLevel1	IncLevel2	IncLevelDifference
0.966,1.0	1.0,1.0	-0.017
1.0,1.0	1.0,0.976	0.012
0.01,0.008	0.005,0.0	0.007
0.887,0.417	1.0,0.506	-0.101
0.0,0.051	0.0,0.0	0.025
0.805,0.837	0.863,0.808	-0.015
0.985,1.0	1.0,1.0	-0.008
0.003,0.01	0.057,0.042	-0.043
0.005,0.003	0.002,0.001	0.003
0.963,0.989	1.0,0.974	-0.011
0.709,0.861	0.619,0.565	0.193
0.198,0.251	0.133,0.429	-0.057
0.342,0.234	0.29,0.21	0.038
0.0,0.092	0.213,0.174	-0.148
1.0,1.0	1.0,0.984	0.008
0.033,0.052	0.054,0.029	0.001
0.872,0.933	0.803,0.783	0.11
0.428,0.491	0.319,0.347	0.127
0.019,0.0	0.046,0.043	-0.035
1.0,0.853	1.0,0.909	-0.028
1.0,0.687	0.927,0.94	-0.09
1.0,1.0	1.0,0.988	0.006
1.0,0.985	0.91,1.0	0.037
0.995,0.993	1.0,1.0	-0.006
0.319,0.289	0.085,0.129	0.197
0.007,0.016	0.013,0.002	0.004
0.072,0.068	0.103,0.082	-0.022
0.023,0.005	0.187,0.067	-0.113
0.007,0.008	0.013,0.022	-0.01
0.117,0.046	0.0,0.179	-0.008
0.84,0.839	0.736,0.801	0.071
0.013,0.003	0.01,0.01	-0.002
0.934,1.0	1.0,0.746	0.094
0.929,0.948	1.0,0.962	-0.042
1.0,0.951	1.0,1.0	-0.024
0.052,0.039	0.035,0.048	0.004
0.042,0.025	0.051,0.028	-0.006
0.127,0.154	0.161,0.203	-0.041
0.009,0.024	0.038,0.025	-0.015
1.0,1.0	0.663,0.694	0.322
1.0,0.931	1.0,1.0	-0.034
0.991,1.0	1.0,1.0	-0.004
0.02,0.0	0.0,0.0	0.01
1.0,1.0	1.0,0.989	0.006
0.983,1.0	1.0,1.0	-0.008
0.979,1.0	1.0,1.0	-0.01
0.936,1.0	1.0,1.0	-0.032
1.0,0.939	0.977,0.973	-0.005
0.15,0.137	0.116,0.194	-0.011
0.908,0.901	0.768,0.83	0.106
0.012,0.011	0.003,0.0	0.01
1.0,0.994	1.0,0.989	0.003
0.019,0.003	0.052,0.009	-0.019
0.167,0.157	0.138,0.09	0.048
0.594,0.31	0.467,0.148	0.144
0.002,0.0	0.002,0.001	-0.001
0.969,0.841	0.469,0.43	0.456
0.755,0.907	1.0,1.0	-0.169
0.377,0.611	0.171,0.167	0.325
0.971,0.978	1.0,1.0	-0.026
0.206,0.205	0.027,0.041	0.171
0.02,0.023	0.025,0.012	0.003
0.054,0.066	0.114,0.043	-0.019
0.096,0.341	0.0,0.309	0.064
0.999,1.0	1.0,1.0	-0.0
0.509,0.361	0.777,0.705	-0.306
0.926,0.924	0.978,0.977	-0.052
0.935,0.931	0.98,0.978	-0.046
0.997,1.0	1.0,1.0	-0.002
0.908,0.812	0.474,0.653	0.297
0.022,0.017	0.036,0.033	-0.015
0.082,0.056	0.063,0.147	-0.036
0.487,0.501	0.386,0.437	0.083
0.0,0.078	0.078,0.24	-0.12
1.0,1.0	0.452,0.0	0.774
1.0,0.995	0.987,1.0	0.004
0.011,0.01	0.013,0.01	-0.001
0.967,0.951	1.0,1.0	-0.041
0.016,0.023	0.029,0.034	-0.012
0.047,0.073	0.054,0.035	0.015
0.0,0.0	0.728,0.0	-0.364
0.471,0.284	0.914,0.924	-0.542
1.0,0.975	1.0,1.0	-0.012
0.961,0.976	0.988,0.978	-0.015
