IncLevel1	IncLevel2	IncLevelDifference
0.005,0.009	0.01,0.012	-0.004
0.067,0.129	0.094,0.108	-0.003
0.462,0.439	0.37,0.339	0.096
0.123,0.102	0.147,0.148	-0.035
0.476,0.465	0.506,0.414	0.011
0.948,0.922	0.964,0.961	-0.027
0.463,0.336	0.425,0.457	-0.041
0.333,0.346	0.343,0.331	0.003
0.489,0.516	0.524,0.467	0.007
0.598,0.575	0.534,0.585	0.027
0.592,0.613	0.593,0.609	0.002
0.389,0.512	0.55,0.483	-0.066
0.313,0.359	0.289,0.311	0.036
0.371,0.358	0.346,0.358	0.013
0.079,0.088	0.073,0.122	-0.014
0.344,0.314	0.333,0.337	-0.006
0.444,0.319	0.34,0.392	0.016
0.586,0.572	0.493,0.651	0.007
0.366,0.412	0.414,0.312	0.026
0.393,0.434	0.402,0.415	0.005
0.337,0.349	0.307,0.503	-0.062
0.2,0.148	0.208,0.141	-0.001
0.823,0.815	0.795,0.784	0.029
0.777,0.716	0.823,0.703	-0.016
0.392,0.349	0.375,0.395	-0.015
0.489,0.486	0.444,0.479	0.026
0.982,0.969	0.965,0.965	0.011
0.571,NA	0.5,0.467	0.087
0.377,0.327	0.373,0.441	-0.055
0.494,0.507	0.163,0.518	0.16
0.694,0.669	0.692,0.678	-0.004
0.079,0.077	0.101,0.076	-0.01
0.274,0.29	0.217,0.244	0.052
0.065,0.124	0.145,0.211	-0.083
0.111,0.093	0.175,0.146	-0.058
0.264,0.292	0.35,0.325	-0.059
0.364,0.383	0.433,0.369	-0.028
0.536,0.547	0.558,0.549	-0.012
0.507,0.524	0.511,0.557	-0.018
0.693,0.72	0.826,0.82	-0.117
0.567,0.57	0.713,0.749	-0.162
0.436,0.39	0.26,0.268	0.149
0.758,0.677	0.772,0.661	0.001
0.529,0.5	0.333,0.417	0.139
0.382,0.459	0.482,0.44	-0.04
0.368,0.408	0.404,0.399	-0.014
0.944,0.945	0.901,0.946	0.021
0.944,0.946	0.902,0.947	0.02
0.944,0.945	0.901,0.946	0.021
0.239,0.191	0.187,0.268	-0.013
0.451,0.488	0.451,0.458	0.015
0.518,0.553	0.573,0.463	0.018
0.574,0.607	0.511,0.512	0.079
0.406,0.368	0.37,0.366	0.019
0.261,0.233	0.247,0.322	-0.037
0.0,0.063	0.0,0.083	-0.01
0.481,0.404	0.326,0.447	0.056
0.294,0.294	0.304,0.303	-0.01
0.458,0.376	0.589,0.466	-0.11
0.031,0.0	0.0,0.018	0.007
0.628,0.575	0.468,0.584	0.075
0.385,0.459	0.514,0.49	-0.08
0.324,0.302	0.251,0.307	0.034
0.351,0.395	0.359,0.42	-0.016
0.543,0.52	0.39,0.442	0.116
0.808,0.692	0.875,0.688	-0.031
0.917,0.887	0.856,0.897	0.025
0.452,0.436	0.458,0.43	0.0
0.0,0.0	0.15,0.661	-0.406
0.318,0.272	0.297,0.31	-0.008
0.816,0.835	0.796,0.818	0.018
0.534,0.53	0.542,0.539	-0.008
0.36,0.373	0.312,0.416	0.003
0.077,0.091	0.092,0.093	-0.009
0.406,0.556	0.491,0.481	-0.005
0.536,0.607	0.555,0.547	0.02
0.146,0.169	0.119,0.054	0.071
0.63,1.0	1.0,1.0	-0.185
0.769,0.789	0.886,0.783	-0.055
0.349,0.477	0.178,0.487	0.08
0.511,0.504	0.486,0.476	0.027
0.52,0.55	0.462,0.503	0.052
0.993,0.997	1.0,0.991	-0.001
0.333,0.349	0.285,0.301	0.048
0.357,0.375	0.303,0.326	0.051
0.452,0.444	0.39,0.421	0.043
0.128,0.127	0.188,0.24	-0.086
0.709,0.715	0.715,0.736	-0.014
0.687,0.694	0.696,0.714	-0.014
0.053,0.068	0.0,0.0	0.06
