ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue
0	3527,3247	5,3	1616,3250	6,7	238	149	1
2	359,389	0,3	222,381	2,2	346	149	1
3	413,423	0,1	265,397	0,0	237	149	1
4	119,142	0,0	76,147	0,2	185	149	1
5	207,175	1,1	86,115	1,0	190	149	1
6	39,29	0,0	13,27	0,1	199	149	1
7	169,164	0,3	65,126	2,0	238	149	1
8	817,851	2,1	500,941	2,0	229	149	1
9	781,826	2,1	444,823	0,0	230	149	1
10	3,13	66,49	0,0	25,28	170	149	1
11	230,221	148,143	60,128	102,155	207	149	0.025285104255
12	116,105	2,0	72,98	0,0	243	149	1
14	1372,1478	6,5	684,1010	7,8	269	149	1
15	29,10	8,6	9,27	8,7	279	149	1
16	73,60	0,0	40,59	0,1	221	149	1
17	2552,2231	0,0	1049,2089	2,0	3005	149	1
18	586,534	5,1	266,459	2,4	262	149	1
19	217,183	0,0	85,135	1,0	183	149	1
22	390,376	0,1	152,362	1,0	297	149	1
23	259,223	0,0	190,312	1,0	288	149	1
24	0,0	4,17	2,1	1,12	279	149	1
26	312,330	5,11	162,285	2,2	219	149	1
28	553,549	1,0	222,488	0,0	252	149	1
29	124,99	8,2	35,101	0,5	202	149	1
30	119,103	8,2	33,105	0,5	205	149	1
31	28,12	0,3	5,3	0,0	231	149	1
32	40,21	6,3	1,3	2,0	211	149	0.459644297544
33	29,25	6,1	5,4	1,1	191	149	0.696162395961
34	8,9	1,0	4,8	0,0	413	149	1
35	6,12	1,0	2,21	0,0	197	149	1
36	437,355	1,0	235,424	0,0	190	149	1
37	107,82	0,4	23,66	0,0	186	149	1
39	504,530	4,0	260,604	1,0	294	149	1
40	898,999	4,0	511,952	0,2	204	149	1
41	828,962	5,1	513,976	0,0	195	149	1
42	336,307	0,1	220,404	4,1	196	149	1
43	177,161	0,4	85,163	0,2	236	149	1
44	205,260	2,1	115,183	1,2	238	149	1
45	7569,6433	3,2	3330,6901	1,0	192	149	1
46	2,5	115,115	3,6	47,130	178	149	1
47	15,10	115,115	15,21	47,130	182	149	1
48	581,591	9,3	217,364	0,0	217	149	1
49	301,327	9,3	113,242	0,0	223	149	1
50	4574,3856	2,1	2466,3880	0,0	783	149	1
51	1639,1719	1,0	1063,1853	0,0	219	149	1
