ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	48,46	41,45	8,40	31,47	232	149	0.395609247911	1.0
2	11,8	200,196	4,13	126,176	178	149	1	1.0
3	575,593	52,49	321,540	21,37	158	149	1	1.0
4	719,755	25,44	352,645	20,32	155	149	1	1.0
6	279,267	0,0	148,247	0,1	155	149	1	1.0
7	120,109	0,1	65,83	0,0	152	149	1	1.0
8	214,180	2,0	78,182	0,0	159	149	1	1.0
9	60,76	1,0	29,67	0,0	158	149	1	1.0
10	42,51	52,29	12,30	2,11	298	149	0.122837909282	1.0
11	1402,1195	0,0	475,1014	3,5	153	149	1	1.0
12	43,62	14,7	18,44	5,18	182	149	0.884051078941	1.0
13	61,89	2,0	24,65	0,0	200	149	1	1.0
14	25,24	266,249	15,36	156,305	160	149	1	1.0
15	4,10	274,257	5,9	96,208	298	149	1	1.0
16	492,498	5,4	354,576	1,1	154	149	1	1.0
18	961,1074	5,12	644,1088	2,12	156	149	1	1.0
19	26,23	79,81	3,8	32,95	152	149	0.13045245451	1.0
20	67,90	25,23	38,70	13,26	157	149	1	1.0
22	336,320	6,8	130,287	2,7	167	149	1	1.0
23	209,252	0,1	144,241	2,0	152	149	1	1.0
24	6,4	16,11	1,0	0,1	161	149	0.0458385683773	1.0
25	30,27	6,1	5,4	1,1	295	149	0.610906019849	1.0
26	4417,4954	682,707	3177,5723	691,1224	155	149	1	1.0
27	14,13	15,25	8,12	8,12	158	149	1	1.0
28	32,34	105,79	10,17	62,89	161	149	0.786360258692	1.0
29	17,31	125,136	14,42	44,115	170	149	1	1.0
30	53,80	23,28	31,60	39,59	298	149	0.00744133885834	0.4312040094624511
31	66,83	188,208	30,68	71,159	298	149	1	1.0
32	36,33	188,208	43,68	71,159	161	149	0.0335247445143	1.0
34	5,3	203,199	3,12	124,221	298	149	1	1.0
35	63,83	53,62	13,27	24,46	156	149	0.100276137902	1.0
36	202,223	3,0	160,184	1,0	298	149	1	1.0
38	170,172	16,5	87,156	8,17	152	149	1	1.0
39	26,23	123,144	20,31	119,175	186	149	1	1.0
40	236,266	9,12	93,219	2,4	152	149	1	1.0
41	26,27	24,17	11,19	7,10	169	149	1	1.0
45	123,105	530,484	72,130	269,519	236	149	1	1.0
46	157,187	19,17	48,87	11,12	180	149	1	1.0
47	4,1	9,13	0,5	8,8	159	149	1	1.0
48	3,9	60,61	4,24	18,45	164	149	0.109147785473	1.0
49	1,1	61,59	1,0	27,48	166	149	1	1.0
50	5,10	32,36	13,22	24,43	167	149	0.327939363183	1.0
51	153,155	15,16	51,140	7,17	298	149	1	1.0
52	51,53	15,16	22,24	7,17	298	149	0.73640452552	1.0
53	21,21	107,113	1,11	29,117	190	149	1	1.0
54	88,120	1,0	43,95	0,0	152	149	1	1.0
55	70,50	1,2	35,65	0,0	162	149	1	1.0
