ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	0,2	197,203	0,0	103,155	283	298	1	1.0	0.0,0.01	0.0,0.0	0.005
1	13,29	197,203	9,18	103,155	262	298	1	1.0	0.07,0.14	0.09,0.117	0.002
2	41,42	49,55	16,37	28,74	189	194	1	1.0	0.462,0.439	0.37,0.339	0.096
3	17,17	121,149	11,20	64,115	230	230	1	1.0	0.123,0.102	0.147,0.148	-0.035
5	197,180	260,247	75,103	88,172	226	272	1	1.0	0.477,0.467	0.506,0.419	0.009
7	820,774	35,51	383,788	11,25	216	167	1	1.0	0.948,0.921	0.964,0.961	-0.028
9	52,31	66,67	27,33	40,43	188	206	1	1.0	0.463,0.336	0.425,0.457	-0.041
10	127,146	247,269	71,124	132,245	227	220	1	1.0	0.333,0.345	0.343,0.329	0.003
11	1438,1433	1454,1301	848,1303	744,1441	210	203	1	1.0	0.489,0.516	0.524,0.466	0.007
12	260,219	122,144	179,306	145,209	298	298	1	1.0	0.681,0.603	0.552,0.594	0.069
14	420,434	249,234	305,436	179,240	251	215	1	1.0	0.591,0.614	0.593,0.609	0.002
15	77,90	134,95	74,113	67,135	197	218	1	1.0	0.389,0.512	0.55,0.481	-0.065
16	48,60	126,128	32,62	94,164	169	202	1	1.0	0.313,0.359	0.289,0.311	0.036
17	705,772	1338,1552	406,785	858,1571	203	227	1	1.0	0.371,0.357	0.346,0.358	0.012
18	54,56	601,554	28,91	341,630	244	234	1	1.0	0.079,0.088	0.073,0.122	-0.014
19	104,119	260,340	82,165	221,426	220	290	1	1.0	0.345,0.316	0.328,0.338	-0.003
20	72,37	114,100	35,55	86,106	208	263	1	1.0	0.444,0.319	0.34,0.396	0.014
22	173,175	127,136	74,144	79,80	208	216	1	1.0	0.586,0.572	0.493,0.651	0.007
23	17,19	37,34	9,13	16,36	204	256	1	1.0	0.366,0.412	0.414,0.312	0.026
24	367,655	518,742	455,763	644,963	298	298	1	1.0	0.415,0.469	0.414,0.442	0.014
25	38,40	103,103	17,64	53,87	193	266	1	1.0	0.337,0.349	0.307,0.503	-0.062
26	147,114	619,687	79,107	315,681	220	230	1	1.0	0.199,0.148	0.208,0.141	-0.001
27	1127,1099	204,210	588,1156	127,268	230	193	1	1.0	0.823,0.815	0.795,0.784	0.029
28	291,258	63,77	142,248	23,79	243	183	1	1.0	0.777,0.716	0.823,0.703	-0.016
29	47,58	73,108	30,61	50,95	209	209	1	1.0	0.392,0.349	0.375,0.391	-0.013
30	2406,2654	2600,2673	1175,2186	1528,2402	298	298	1	1.0	0.481,0.498	0.435,0.476	0.034
31	440,418	10,15	305,636	14,28	298	298	1	1.0	0.978,0.965	0.956,0.958	0.015
32	8,0	6,0	3,7	3,6	242	242	1	1.0	0.571,NA	0.5,0.538	0.052
33	54,42	98,95	19,46	35,64	217	238	1	1.0	0.377,0.327	0.373,0.441	-0.055
34	12,20	12,19	2,11	10,10	215	210	0.639038217664	1.0	0.494,0.507	0.163,0.518	0.16
35	787,833	295,356	413,735	161,310	298	214	1	1.0	0.657,0.627	0.648,0.63	0.003
36	11,10	193,181	8,11	108,203	183	278	1	1.0	0.08,0.077	0.101,0.076	-0.01
37	123,153	503,582	59,123	330,591	181	281	1	1.0	0.275,0.29	0.217,0.244	0.052
38	21,50	255,298	26,85	129,268	251	212	1	1.0	0.065,0.124	0.145,0.211	-0.083
39	48,42	445,475	45,80	246,541	183	212	1	1.0	0.111,0.093	0.175,0.146	-0.058
40	95,126	263,299	48,94	89,191	252	247	1	1.0	0.261,0.292	0.346,0.325	-0.059
41	192,174	417,347	137,214	223,455	185	230	1	1.0	0.364,0.384	0.433,0.369	-0.027
42	4014,3457	3218,2654	3281,6359	2420,4839	259	240	1	1.0	0.536,0.547	0.557,0.549	-0.011
43	203,297	190,236	208,396	177,284	298	298	1	1.0	0.517,0.557	0.54,0.582	-0.024
44	189,181	69,58	138,210	24,38	234	193	0.602702027796	1.0	0.693,0.72	0.826,0.82	-0.117
45	232,271	194,224	213,391	94,144	193	212	0.0383325545708	1.0	0.568,0.571	0.713,0.749	-0.162
46	156,161	200,250	68,125	191,336	212	209	0.156348179945	1.0	0.435,0.388	0.26,0.268	0.147
47	103,111	39,66	69,77	29,49	298	298	1	1.0	0.725,0.627	0.704,0.611	0.018
48	9,6	8,6	1,5	2,7	209	209	0.757808836564	1.0	0.529,0.5	0.333,0.417	0.139
