IncLevel1	IncLevel2	IncLevelDifference
0.0,0.01	0.0,0.0	0.005
0.07,0.14	0.09,0.117	0.002
0.462,0.439	0.37,0.339	0.096
0.123,0.102	0.147,0.148	-0.035
0.477,0.467	0.506,0.419	0.009
0.948,0.921	0.964,0.961	-0.028
0.463,0.336	0.425,0.457	-0.041
0.333,0.345	0.343,0.329	0.003
0.489,0.516	0.524,0.466	0.007
0.681,0.603	0.552,0.594	0.069
0.591,0.614	0.593,0.609	0.002
0.389,0.512	0.55,0.481	-0.065
0.313,0.359	0.289,0.311	0.036
0.371,0.357	0.346,0.358	0.012
0.079,0.088	0.073,0.122	-0.014
0.345,0.316	0.328,0.338	-0.003
0.444,0.319	0.34,0.396	0.014
0.586,0.572	0.493,0.651	0.007
0.366,0.412	0.414,0.312	0.026
0.415,0.469	0.414,0.442	0.014
0.337,0.349	0.307,0.503	-0.062
0.199,0.148	0.208,0.141	-0.001
0.823,0.815	0.795,0.784	0.029
0.777,0.716	0.823,0.703	-0.016
0.392,0.349	0.375,0.391	-0.013
0.481,0.498	0.435,0.476	0.034
0.978,0.965	0.956,0.958	0.015
0.571,NA	0.5,0.538	0.052
0.377,0.327	0.373,0.441	-0.055
0.494,0.507	0.163,0.518	0.16
0.657,0.627	0.648,0.63	0.003
0.08,0.077	0.101,0.076	-0.01
0.275,0.29	0.217,0.244	0.052
0.065,0.124	0.145,0.211	-0.083
0.111,0.093	0.175,0.146	-0.058
0.261,0.292	0.346,0.325	-0.059
0.364,0.384	0.433,0.369	-0.027
0.536,0.547	0.557,0.549	-0.011
0.517,0.557	0.54,0.582	-0.024
0.693,0.72	0.826,0.82	-0.117
0.568,0.571	0.713,0.749	-0.162
0.435,0.388	0.26,0.268	0.147
0.725,0.627	0.704,0.611	0.018
0.529,0.5	0.333,0.417	0.139
0.386,0.459	0.487,0.446	-0.044
0.369,0.408	0.405,0.4	-0.014
0.646,0.595	0.345,0.612	0.142
0.63,0.718	0.487,0.71	0.075
0.684,0.752	0.531,0.727	0.089
0.24,0.191	0.187,0.268	-0.012
0.451,0.488	0.451,0.458	0.015
0.518,0.55	0.573,0.463	0.016
0.569,0.605	0.51,0.509	0.077
0.406,0.368	0.37,0.366	0.019
0.261,0.233	0.247,0.322	-0.037
0.0,0.063	0.0,0.083	-0.01
0.481,0.404	0.333,0.447	0.052
0.308,0.304	0.316,0.308	-0.006
0.458,0.376	0.589,0.466	-0.11
0.031,0.0	0.0,0.018	0.007
0.628,0.568	0.468,0.582	0.073
0.385,0.459	0.514,0.49	-0.08
0.324,0.302	0.251,0.308	0.034
0.351,0.396	0.36,0.421	-0.017
0.543,0.52	0.39,0.442	0.116
0.9,0.773	1.0,0.714	-0.02
0.917,0.887	0.856,0.897	0.025
0.462,0.444	0.468,0.44	-0.001
NA,0.0	NA,0.714	-0.714
0.343,0.316	0.351,0.329	-0.01
0.815,0.833	0.794,0.817	0.018
0.535,0.53	0.542,0.539	-0.008
0.36,0.373	0.312,0.416	0.003
0.099,0.114	0.111,0.117	-0.007
0.419,0.543	0.512,0.5	-0.025
0.536,0.607	0.555,0.547	0.02
0.146,0.161	0.119,0.05	0.069
0.63,1.0	1.0,1.0	-0.185
0.687,0.761	0.846,0.696	-0.047
0.329,0.418	0.165,0.452	0.065
0.511,0.504	0.486,0.476	0.027
0.52,0.55	0.463,0.503	0.052
0.993,1.0	1.0,0.996	-0.002
0.333,0.35	0.285,0.301	0.049
0.357,0.376	0.303,0.326	0.052
0.469,0.459	0.412,0.44	0.038
0.128,0.127	0.188,0.24	-0.086
0.706,0.714	0.715,0.736	-0.016
0.61,0.631	0.629,0.646	-0.017
0.053,0.068	0.0,0.0	0.06
