IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
0,2	197,203	0,0	103,155	283	298
13,29	197,203	9,18	103,155	262	298
41,42	49,55	16,37	28,74	189	194
17,17	121,149	11,20	64,115	230	230
197,180	260,247	75,103	88,172	226	272
820,774	35,51	383,788	11,25	216	167
52,31	66,67	27,33	40,43	188	206
127,146	247,269	71,124	132,245	227	220
1438,1433	1454,1301	848,1303	744,1441	210	203
260,219	122,144	179,306	145,209	298	298
420,434	249,234	305,436	179,240	251	215
77,90	134,95	74,113	67,135	197	218
48,60	126,128	32,62	94,164	169	202
705,772	1338,1552	406,785	858,1571	203	227
54,56	601,554	28,91	341,630	244	234
104,119	260,340	82,165	221,426	220	290
72,37	114,100	35,55	86,106	208	263
173,175	127,136	74,144	79,80	208	216
17,19	37,34	9,13	16,36	204	256
367,655	518,742	455,763	644,963	298	298
38,40	103,103	17,64	53,87	193	266
147,114	619,687	79,107	315,681	220	230
1127,1099	204,210	588,1156	127,268	230	193
291,258	63,77	142,248	23,79	243	183
47,58	73,108	30,61	50,95	209	209
2406,2654	2600,2673	1175,2186	1528,2402	298	298
440,418	10,15	305,636	14,28	298	298
8,0	6,0	3,7	3,6	242	242
54,42	98,95	19,46	35,64	217	238
12,20	12,19	2,11	10,10	215	210
787,833	295,356	413,735	161,310	298	214
11,10	193,181	8,11	108,203	183	278
123,153	503,582	59,123	330,591	181	281
21,50	255,298	26,85	129,268	251	212
48,42	445,475	45,80	246,541	183	212
95,126	263,299	48,94	89,191	252	247
192,174	417,347	137,214	223,455	185	230
4014,3457	3218,2654	3281,6359	2420,4839	259	240
203,297	190,236	208,396	177,284	298	298
189,181	69,58	138,210	24,38	234	193
232,271	194,224	213,391	94,144	193	212
156,161	200,250	68,125	191,336	212	209
103,111	39,66	69,77	29,49	298	298
9,6	8,6	1,5	2,7	209	209
79,121	170,193	42,87	60,146	215	291
1766,2097	3503,3518	936,1711	1594,2977	209	242
90,67	26,24	20,60	20,20	298	157
84,116	26,24	36,93	20,20	298	157
107,138	26,24	43,101	20,20	298	157
92,59	392,335	34,73	198,268	178	239
753,876	1102,1102	288,686	421,975	210	252
50,68	51,61	27,48	22,61	211	231
1528,1781	814,820	866,1567	587,1063	281	198
31,30	57,65	14,27	30,59	189	238
86,84	289,328	31,85	112,212	174	206
0,2	41,28	0,5	28,52	244	231
38,19	41,28	14,42	28,52	231	231
612,665	1897,2105	398,603	1190,1872	216	298
49,46	73,96	33,45	29,65	185	233
2,0	73,96	0,1	29,65	200	233
141,154	72,101	54,103	53,64	257	222
66,85	86,82	35,74	27,63	230	188
240,209	669,645	86,223	342,668	177	236
156,187	341,337	101,216	212,350	211	249
77,48	73,50	25,57	44,81	190	214
18,17	2,5	6,10	0,4	298	298
84,79	6,8	30,44	4,4	230	182
1661,1714	2469,2742	764,1482	1109,2413	233	298
0,0	0,2	0,5	0,2	298	298
71,56	163,145	46,77	102,188	249	298
2756,2897	492,456	1569,2974	320,525	286	225
374,365	325,324	303,487	256,416	212	212
135,120	240,202	54,141	119,198	201	201
62,81	854,952	40,74	483,848	197	298
65,92	92,79	35,90	34,92	288	294
99,97	78,57	37,69	27,52	262	238
36,36	175,155	14,12	86,189	292	242
9,12	5,0	3,13	0,0	214	202
114,146	42,37	109,147	16,52	298	241
34,30	53,32	8,28	31,26	298	228
918,1189	879,1170	688,1115	729,1225	197	197
968,1351	906,1119	704,1241	829,1243	215	218
405,572	3,0	238,449	0,2	197	197
401,570	803,1060	238,449	597,1043	197	197
404,568	728,944	236,449	544,927	197	197
401,566	454,668	237,449	338,572	197	197
11,15	60,83	11,13	38,33	247	198
363,385	136,139	173,331	62,107	239	215
1294,1730	509,620	834,1532	302,515	298	183
2,4	45,69	0,0	21,40	208	260
