ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
0	3,7	20,30	1,0	10,7	225	149	1	1.0	0.09,0.134	0.062,0.0	0.081
1	151,134	349,313	57,139	285,415	252	149	1	1.0	0.204,0.202	0.106,0.165	0.068
2	58,42	481,484	37,97	316,520	251	149	1	1.0	0.067,0.049	0.065,0.1	-0.025
3	7,6	65,26	7,6	20,40	227	149	1	1.0	0.066,0.132	0.187,0.09	-0.04
4	53,42	209,166	24,36	114,221	273	149	1	1.0	0.122,0.121	0.103,0.082	0.029
5	27,14	228,179	7,31	104,145	246	149	1	1.0	0.067,0.045	0.039,0.115	-0.021
6	18,21	10,14	16,19	5,19	296	149	1	1.0	0.475,0.43	0.617,0.335	-0.023
7	37,21	2,8	21,36	1,8	241	149	1	1.0	0.92,0.619	0.928,0.736	-0.062
8	690,666	132,138	316,490	87,132	238	149	1	1.0	0.766,0.751	0.695,0.699	0.061
9	18,12	0,0	14,16	0,2	242	149	1	1.0	1.0,1.0	1.0,0.831	0.085
10	240,253	647,754	86,174	458,717	228	149	1	1.0	0.195,0.18	0.109,0.137	0.065
11	274,358	5326,5982	240,361	4020,6533	212	149	1	1.0	0.035,0.04	0.04,0.037	-0.001
12	62,52	97,109	39,58	56,118	255	149	1	1.0	0.272,0.218	0.289,0.223	-0.011
13	154,120	525,513	78,137	338,612	225	149	1	1.0	0.163,0.134	0.133,0.129	0.018
14	7,9	72,42	5,10	39,64	232	149	1	1.0	0.059,0.121	0.076,0.091	0.007
15	31,26	64,78	10,41	31,78	246	149	1	1.0	0.227,0.168	0.163,0.241	-0.005
16	5,10	96,75	7,13	48,92	247	149	1	1.0	0.03,0.074	0.081,0.079	-0.028
17	235,234	29,48	101,208	28,44	272	149	1	1.0	0.816,0.728	0.664,0.721	0.08
18	1,0	97,107	0,1	55,87	251	149	1	1.0	0.006,0.0	0.0,0.007	-0.001
19	61,83	123,167	39,76	77,139	232	149	1	1.0	0.242,0.242	0.245,0.26	-0.011
20	2,7	85,95	4,27	56,109	298	149	1	1.0	0.012,0.036	0.034,0.11	-0.048
21	1,2	50,31	1,1	14,28	225	149	1	1.0	0.013,0.041	0.045,0.023	-0.007
22	28,26	323,233	7,25	150,275	298	149	1	1.0	0.042,0.053	0.023,0.043	0.014
23	7,8	25,16	3,0	6,5	244	149	0.946332122031	1.0	0.146,0.234	0.234,0.0	0.073
24	5,11	15,12	5,10	9,19	215	149	1	1.0	0.188,0.388	0.278,0.267	0.016
26	117,132	121,110	69,150	53,110	287	149	1	1.0	0.334,0.384	0.403,0.415	-0.05
27	6,1	576,581	13,13	372,623	231	149	1	1.0	0.007,0.001	0.022,0.013	-0.013
28	13,17	0,0	25,32	0,4	241	149	1	1.0	1.0,1.0	1.0,0.832	0.084
29	72,88	3993,4309	36,71	1973,4138	224	149	1	1.0	0.012,0.013	0.012,0.011	0.001
30	98,111	3175,3652	49,122	1581,3300	240	149	1	1.0	0.019,0.019	0.019,0.022	-0.001
31	9,21	268,335	4,19	174,247	237	149	1	1.0	0.021,0.038	0.014,0.046	-0.001
32	183,219	8,2	92,220	2,0	259	149	1	1.0	0.929,0.984	0.964,1.0	-0.025
33	249,315	1,0	151,295	0,0	294	149	1	1.0	0.992,1.0	1.0,1.0	-0.004
34	6,18	43,45	40,85	20,32	298	149	3.60190488546e-09	1.0445524167834e-06	0.065,0.167	0.5,0.57	-0.419
35	81,86	629,698	61,115	382,609	230	149	1	1.0	0.077,0.074	0.094,0.109	-0.026
36	13,12	100,80	11,7	42,91	277	149	1	1.0	0.065,0.075	0.123,0.04	-0.011
37	7,11	117,170	1,2	56,100	221	149	1	1.0	0.039,0.042	0.012,0.013	0.028
40	35,52	364,362	15,30	218,326	220	149	1	1.0	0.061,0.089	0.045,0.059	0.023
41	270,233	21,27	109,257	6,23	227	149	1	1.0	0.894,0.85	0.923,0.88	-0.029
43	12,10	14,16	8,26	10,17	246	149	0.863666477734	1.0	0.342,0.275	0.326,0.481	-0.095
44	14,8	19,10	13,13	26,18	222	149	1	1.0	0.331,0.349	0.251,0.326	0.051
45	8,3	5,4	0,2	1,0	227	149	1	1.0	0.512,0.33	0.0,1.0	-0.079
46	9,3	16,11	0,2	0,1	239	149	1	1.0	0.26,0.145	NA,0.555	-0.353
47	14,3	24,19	0,0	5,1	298	149	0.404349886077	1.0	0.226,0.073	0.0,0.0	0.149
48	16,9	6,1	0,3	1,1	298	149	0.172978087323	1.0	0.571,0.818	0.0,0.6	0.394
49	10,10	23,14	0,3	5,4	253	149	0.479644017656	1.0	0.204,0.296	0.0,0.306	0.097
50	132,158	761,679	32,77	398,655	251	149	1	1.0	0.093,0.121	0.046,0.065	0.051
51	348,340	3,5	230,329	4,8	240	149	1	1.0	0.986,0.977	0.973,0.962	0.014
52	17,12	0,1	8,21	0,0	267	149	1	1.0	1.0,0.87	1.0,1.0	-0.065
53	16,15	11,16	7,22	6,23	298	149	1	1.0	0.421,0.319	0.368,0.324	0.024
54	9,9	1,4	2,9	2,8	253	149	0.129326952759	1.0	0.841,0.57	0.371,0.399	0.321
