IncLevel1	IncLevel2	IncLevelDifference
0.998,0.999	0.994,0.997	0.003
1.0,0.982	0.977,0.986	0.009
1.0,0.996	1.0,1.0	-0.002
1.0,1.0	1.0,0.983	0.008
0.994,0.993	0.985,1.0	0.001
1.0,1.0	1.0,0.953	0.024
1.0,0.972	0.953,1.0	0.01
0.996,0.998	0.994,1.0	0.0
0.996,0.998	1.0,1.0	-0.003
0.038,0.189	0.0,0.0	0.114
0.528,0.527	0.297,0.373	0.193
0.973,1.0	1.0,1.0	-0.014
0.992,0.994	0.982,0.986	0.009
0.659,0.471	0.375,0.673	0.041
1.0,1.0	1.0,0.975	0.012
1.0,1.0	0.955,1.0	0.022
0.985,0.997	0.987,0.985	0.005
1.0,1.0	0.986,1.0	0.007
1.0,0.995	0.987,1.0	0.004
1.0,1.0	0.99,1.0	0.005
0.0,0.0	0.516,0.043	-0.28
0.977,0.953	0.982,0.99	-0.021
0.997,1.0	1.0,1.0	-0.002
0.92,0.973	1.0,0.937	-0.022
0.915,0.974	1.0,0.938	-0.024
1.0,0.721	1.0,1.0	-0.139
0.825,0.832	0.261,1.0	0.198
0.79,0.951	0.796,0.757	0.094
0.0,1.0	NA,1.0	-0.5
0.819,1.0	1.0,1.0	-0.091
0.997,1.0	1.0,1.0	-0.002
1.0,0.943	1.0,1.0	-0.028
0.985,1.0	0.992,1.0	-0.004
0.994,1.0	1.0,0.997	-0.001
0.992,0.999	1.0,1.0	-0.004
1.0,0.996	0.977,0.997	0.011
1.0,0.962	1.0,0.981	-0.009
0.985,0.994	0.986,0.983	0.005
0.999,1.0	1.0,1.0	-0.0
0.014,0.035	0.051,0.037	-0.019
0.096,0.066	0.207,0.117	-0.081
0.978,0.993	1.0,1.0	-0.014
0.957,0.986	1.0,1.0	-0.028
0.997,0.999	1.0,1.0	-0.002
0.999,1.0	1.0,1.0	-0.0
1.0,0.998	1.0,0.998	0.0
1.0,0.996	1.0,1.0	-0.002
1.0,0.995	0.957,1.0	0.019
0.998,1.0	1.0,1.0	-0.001
0.996,1.0	1.0,1.0	-0.002
0.995,0.997	0.998,0.997	-0.002
0.994,0.994	0.995,0.994	-0.0
0.015,0.008	0.016,0.014	-0.003
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	0.977,1.0	0.012
1.0,0.978	1.0,1.0	-0.011
0.893,1.0	1.0,1.0	-0.053
0.003,0.0	0.004,0.002	-0.002
1.0,1.0	1.0,0.995	0.002
0.996,0.998	1.0,1.0	-0.003
0.987,0.992	1.0,1.0	-0.01
0.999,1.0	1.0,0.999	0.0
1.0,1.0	1.0,0.998	0.001
0.993,1.0	1.0,1.0	-0.004
0.999,1.0	1.0,0.999	0.0
1.0,0.997	1.0,1.0	-0.002
1.0,1.0	1.0,0.994	0.003
0.562,0.473	0.362,0.408	0.133
0.164,0.219	0.23,0.252	-0.049
0.164,0.183	0.217,0.234	-0.052
0.999,1.0	1.0,1.0	-0.0
0.967,0.981	1.0,1.0	-0.026
0.997,1.0	0.983,1.0	0.007
0.733,0.789	0.167,0.657	0.349
1.0,1.0	0.667,0.862	0.236
0.974,0.986	0.898,1.0	0.031
1.0,1.0	1.0,0.999	0.0
0.946,0.889	1.0,0.98	-0.073
0.415,0.408	0.381,0.286	0.078
1.0,0.983	1.0,1.0	-0.008
1.0,0.985	1.0,1.0	-0.008
0.995,1.0	1.0,0.999	-0.002
1.0,1.0	1.0,0.993	0.004
0.996,1.0	1.0,1.0	-0.002
1.0,1.0	0.995,1.0	0.002
1.0,0.991	1.0,0.975	0.008
1.0,1.0	0.94,0.993	0.034
0.714,0.667	0.773,0.788	-0.09
0.984,0.969	0.976,0.932	0.022
1.0,0.89	1.0,0.85	0.02
1.0,1.0	1.0,0.621	0.19
0.996,1.0	1.0,0.983	0.006
0.991,1.0	1.0,1.0	-0.004
0.974,1.0	1.0,1.0	-0.013
0.982,1.0	1.0,1.0	-0.009
0.97,1.0	1.0,1.0	-0.015
1.0,0.963	0.982,0.983	-0.001
1.0,0.962	1.0,1.0	-0.019
1.0,1.0	1.0,0.998	0.001
0.966,0.966	0.87,0.913	0.075
1.0,0.982	1.0,1.0	-0.009
1.0,1.0	0.999,1.0	0.0
1.0,1.0	1.0,0.996	0.002
1.0,1.0	1.0,0.996	0.002
0.996,0.997	1.0,1.0	-0.004
0.976,0.995	0.991,0.958	0.011
1.0,1.0	1.0,0.985	0.008
0.792,0.701	0.83,0.639	0.012
0.737,0.733	0.824,0.764	-0.059
0.411,0.486	0.585,0.518	-0.103
0.188,0.382	0.421,0.334	-0.092
0.978,0.992	1.0,1.0	-0.015
0.986,0.995	1.0,1.0	-0.01
1.0,1.0	1.0,0.999	0.0
1.0,0.891	0.918,0.98	-0.004
1.0,0.989	1.0,1.0	-0.006
0.963,1.0	0.777,1.0	0.093
0.926,0.923	0.953,0.97	-0.037
0.556,0.349	0.862,0.273	-0.115
1.0,0.993	1.0,1.0	-0.004
0.785,0.675	0.802,0.901	-0.122
0.783,1.0	1.0,1.0	-0.109
0.996,1.0	1.0,1.0	-0.002
1.0,0.989	1.0,1.0	-0.006
0.035,0.022	0.0,0.052	0.003
1.0,1.0	1.0,0.97	0.015
0.99,0.984	1.0,1.0	-0.013
0.992,0.996	1.0,0.996	-0.004
1.0,0.999	1.0,1.0	-0.0
0.953,1.0	1.0,1.0	-0.024
1.0,1.0	0.99,1.0	0.005
1.0,0.998	1.0,1.0	-0.001
1.0,0.979	1.0,1.0	-0.01
0.107,0.077	0.168,0.103	-0.044
0.917,1.0	1.0,1.0	-0.041
0.987,1.0	1.0,1.0	-0.006
0.733,0.832	0.88,0.732	-0.024
0.996,1.0	0.98,0.997	0.01
1.0,1.0	1.0,0.995	0.002
0.994,1.0	0.985,0.956	0.027
1.0,0.991	1.0,1.0	-0.004
0.327,0.219	0.678,0.637	-0.384
0.948,0.867	0.953,0.964	-0.051
0.885,0.951	1.0,1.0	-0.082
0.892,0.959	1.0,1.0	-0.075
0.944,0.977	1.0,1.0	-0.04
0.897,0.952	1.0,1.0	-0.076
1.0,1.0	0.882,1.0	0.059
0.999,1.0	1.0,1.0	-0.0
1.0,0.981	1.0,1.0	-0.01
0.821,0.854	0.917,0.779	-0.011
0.984,0.981	0.96,0.964	0.02
0.982,1.0	1.0,1.0	-0.009
0.879,0.926	1.0,0.857	-0.026
1.0,0.997	1.0,1.0	-0.002
0.994,1.0	1.0,0.983	0.005
1.0,1.0	1.0,0.997	0.002
0.942,0.943	0.977,0.99	-0.041
0.986,0.973	0.927,1.0	0.016
0.0,0.001	0.001,0.0	0.0
1.0,1.0	0.965,1.0	0.018
0.984,1.0	1.0,0.986	-0.001
0.098,0.094	0.056,0.157	-0.01
0.0,0.156	0.043,0.092	0.01
0.524,0.571	0.447,0.511	0.069
0.264,0.585	0.341,0.214	0.147
1.0,1.0	1.0,0.999	0.0
1.0,0.996	0.99,1.0	0.003
0.997,1.0	0.991,1.0	0.003
0.976,0.983	0.969,0.979	0.006
0.902,0.902	0.891,0.883	0.015
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	1.0,0.988	0.006
1.0,0.906	1.0,1.0	-0.047
1.0,0.97	0.771,1.0	0.1
0.957,0.972	0.979,0.991	-0.021
0.978,0.99	0.99,0.99	-0.006
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	1.0,0.999	0.0
1.0,0.998	0.998,0.999	0.001
0.001,0.003	0.003,0.003	-0.001
1.0,0.992	1.0,0.99	0.001
0.04,0.049	0.008,0.015	0.033
0.975,0.993	0.987,1.0	-0.01
1.0,1.0	1.0,0.978	0.011
1.0,0.991	1.0,1.0	-0.004
1.0,0.998	1.0,1.0	-0.001
1.0,1.0	1.0,0.999	0.0
0.997,1.0	1.0,1.0	-0.002
1.0,1.0	0.924,1.0	0.038
0.997,1.0	1.0,1.0	-0.002
0.957,0.952	0.906,0.95	0.026
NA,0.339	0.0,0.0	0.339
1.0,0.982	1.0,1.0	-0.009
0.397,0.516	0.66,0.623	-0.185
NA,0.0	0.139,NA	-0.139
