ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
3	7,1	157,244	0,1	95,49	230	149
4	1,5	2,2	6,2	0,1	208	149
5	0,0	7,20	2,0	8,3	170	149
7	0,1	15,18	0,0	15,19	200	149
8	55,53	6,17	64,54	15,12	184	149
9	48,47	0,1	55,43	0,2	184	149
10	3,2	151,282	6,1	190,84	359	149
13	225,357	0,1	240,100	0,2	283	149
14	15,16	4,0	1,3	0,0	458	149
15	2,3	6,9	0,2	4,2	242	149
16	3,3	11,11	0,2	6,5	365	149
17	3,3	1,0	0,2	0,0	330	149
18	1,0	11,11	0,0	6,5	184	149
19	29,46	0,0	49,11	1,0	155	149
20	8,11	43,65	9,15	45,24	734	149
21	179,273	22,34	225,93	38,13	170	149
22	22,28	22,34	18,10	38,13	236	149
23	7,4	164,249	1,2	208,85	215	149
24	90,107	1,0	55,53	2,0	736	149
25	2,9	0,0	11,7	2,1	153	149
27	1,2	82,112	0,0	62,18	293	149
29	131,151	1,0	85,34	0,0	421	149
30	677,798	2,6	695,319	1,0	161	149
31	12,18	32,40	4,2	28,18	179	149
32	4,3	200,313	3,0	239,89	359	149
33	27,12	202,296	25,9	248,84	188	149
34	2,5	52,73	1,2	53,28	308	149
35	8,5	124,248	5,2	106,94	395	149
36	0,4	19,16	0,0	14,8	161	149
37	135,160	11,9	105,64	13,6	374	149
38	2,0	309,332	4,1	349,114	188	149
39	27,41	6,9	24,11	2,2	268	149
40	106,223	13,9	144,73	3,1	161	149
42	26,29	197,254	24,12	249,109	316	149
43	7,13	215,258	13,10	165,76	177	149
44	53,77	133,186	66,39	153,66	359	149
45	3,2	164,296	2,2	232,107	157	149
46	25,24	0,1	12,25	0,0	984	149
48	186,254	1,0	179,101	1,0	1909	149
49	69,123	0,2	62,48	0,0	167	149
52	45,103	0,1	110,42	3,0	170	149
53	92,138	0,0	111,52	1,1	339	149
54	17,29	80,87	27,8	97,47	268	149
55	297,322	12,3	430,188	28,9	715	149
56	6,6	229,318	4,1	106,97	311	149
57	231,312	0,0	351,130	3,0	157	149
58	10,3	151,272	4,4	251,145	151	149
59	7,17	44,46	4,4	70,31	204	149
60	9,13	9,17	4,4	9,8	204	149
61	2,3	243,308	2,0	292,123	373	149
62	16,26	1,0	10,7	7,0	169	149
63	9,7	0,1	16,9	1,0	153	149
64	4,20	1,0	12,2	3,0	153	149
65	7,13	10,13	2,6	25,9	161	149
66	19,24	4,0	41,16	0,2	190	149
67	52,61	171,260	18,6	222,138	167	149
68	5,5	275,403	5,2	294,113	157	149
69	18,29	101,109	10,4	66,51	525	149
70	13,18	16,21	2,2	16,2	233	149
72	8,9	0,10	10,3	3,5	343	149
73	128,174	0,1	120,49	0,0	277	149
74	132,157	1,0	102,50	0,0	325	149
75	363,449	0,2	278,203	0,0	847	149
76	404,496	0,2	315,231	0,0	875	149
78	60,105	4,6	79,20	13,5	542	149
79	14,29	723,1055	27,9	717,361	153	149
80	2,2	34,36	1,3	36,24	177	149
81	34,38	23,20	37,24	13,8	278	149
82	2,3	8,11	1,1	20,4	177	149
83	2,4	2,0	1,0	5,1	181	149
85	12,22	1297,1911	19,3	1902,773	153	149
86	466,735	2,4	660,422	0,0	406	149
87	16,23	806,1129	36,25	1004,429	152	149
88	1,3	1,1	4,1	0,0	161	149
89	18,30	186,258	11,7	210,112	343	149
90	1,4	3,3	1,1	0,1	167	149
91	7,10	3,3	26,12	0,1	209	149
92	6,7	0,1	25,11	0,0	191	149
93	145,165	0,0	230,75	2,0	189	149
94	179,244	6,0	254,134	0,0	408	149
95	1,0	24,28	0,0	21,2	206	149
97	23,69	0,1	35,5	1,0	1832	149
98	5,3	31,78	0,0	67,28	155	149
99	0,1	8,24	2,2	18,11	175	149
100	13,17	111,124	16,5	147,73	206	149
101	0,3	87,118	0,0	82,45	242	149
102	90,134	3,6	82,43	2,3	191	149
104	120,141	0,1	90,52	1,1	271	149
105	128,158	9,8	158,86	4,3	272	149
106	18,21	484,643	17,21	443,251	412	149
107	217,303	7,18	175,87	13,1	346	149
108	1,16	42,46	7,3	62,30	169	149
110	874,1155	5,5	1134,531	7,0	176	149
111	0,4	3,4	1,3	20,3	171	149
112	1,3	18,33	6,4	49,22	294	149
113	4,13	109,193	8,11	144,58	154	149
114	162,139	0,0	200,75	2,1	251	149
115	35,39	840,940	38,13	717,220	685	149
116	33,63	0,1	24,8	0,0	484	149
117	5,0	14,14	1,1	24,7	165	149
119	2,5	8,18	15,2	1,8	165	149
120	0,5	14,35	0,0	21,4	231	149
121	1,6	337,550	2,1	449,186	182	149
122	12,2	339,423	5,1	435,195	368	149
123	130,111	1,0	294,84	6,3	297	149
124	66,81	4,4	35,19	11,4	737	149
125	870,1292	0,1	1169,550	10,5	155	149
126	95,125	0,0	170,64	0,2	199	149
127	45,69	1,1	20,15	1,2	163	149
128	5,10	1,0	0,2	0,0	163	149
129	5,5	22,41	3,3	15,8	160	149
130	23,20	8,5	27,14	4,1	152	149
131	22,45	26,29	51,29	35,14	683	149
132	3,4	255,293	4,1	316,138	336	149
133	158,243	4,0	116,74	0,0	711	149
134	6,24	96,135	7,3	72,43	285	149
135	127,197	0,8	148,86	2,0	153	149
137	0,0	6,17	1,1	10,3	188	149
138	0,2	10,12	0,0	9,3	245	149
140	3,10	82,143	9,1	123,54	847	149
141	81,92	29,31	39,12	81,20	214	149
142	5,8	56,70	4,4	27,13	396	149
144	8,13	89,100	20,4	55,18	249	149
145	22,51	105,122	1,1	179,110	158	149
147	2,1	8,28	2,2	4,2	507	149
148	27,52	16,24	62,35	21,22	401	149
149	15,8	330,455	2,1	279,119	303	149
150	2,3	421,625	3,4	522,223	180	149
151	1,0	55,90	0,1	49,28	345	149
152	35,36	83,93	8,4	72,28	393	149
153	8,7	4,8	9,2	2,2	413	149
154	1,20	2,3	11,4	0,0	185	149
155	150,251	46,109	24,20	45,20	173	149
156	1,4	1072,1421	6,3	1562,583	369	149
158	853,1041	3,5	944,406	0,0	258	149
159	13,11	7,13	22,16	2,1	230	149
160	21,26	0,0	25,21	2,0	541	149
162	260,346	42,81	343,138	53,25	519	149
