ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
0	42,26	36,47	25,7	38,14	232	149	1	1.0
1	36,29	0,0	36,11	1,0	293	149	1	1.0
2	8,14	105,169	8,3	146,53	178	149	1	1.0
3	421,448	33,33	532,192	36,9	158	149	1	1.0
4	400,583	15,35	450,227	30,4	155	149	1	1.0
5	3104,4188	1,0	3749,1807	0,0	154	149	1	1.0
6	173,236	0,6	167,79	0,0	155	149	1	1.0
7	73,116	0,2	64,36	1,0	152	149	1	1.0
8	157,214	1,0	110,58	0,0	159	149	1	1.0
10	971,1303	0,0	703,319	1,1	153	149	1	1.0
11	36,45	14,16	22,9	2,0	182	149	0.00502728565148	0.42944620892065694
12	54,86	0,1	38,21	0,0	200	149	1	1.0
13	16,16	172,227	15,16	228,78	160	149	1	1.0
14	5,1	151,282	6,4	190,84	310	149	1	1.0
15	297,452	1,1	360,179	2,2	154	149	1	1.0
16	605,788	7,8	866,369	4,1	156	149	1	1.0
17	7,14	70,71	13,1	47,27	152	149	1	1.0
18	73,100	22,21	55,28	13,10	157	149	1	1.0
20	220,297	6,5	247,96	14,2	167	149	1	1.0
21	144,234	0,1	187,93	2,1	152	149	1	1.0
22	6,3	8,0	0,2	4,0	161	149	0.543376739447	1.0
23	11,13	4,0	0,1	0,0	295	149	1	1.0
24	2759,4025	437,604	4037,1862	905,446	155	149	1	1.0
25	7,7	22,19	3,1	10,1	158	149	1	1.0
26	14,19	58,72	10,5	76,24	161	149	1	1.0
27	14,14	102,112	40,23	88,43	170	149	0.0147931425115	0.9387305576583286
28	38,60	25,27	31,37	53,20	347	149	0.58348235896	1.0
29	40,63	116,176	36,39	89,51	359	149	1	1.0
30	27,30	116,176	58,22	89,51	161	149	0.0430354283704	1.0
31	0,0	1,2	2,0	0,2	152	149	0.90035762295	1.0
32	7,8	142,184	1,4	178,66	332	149	1	1.0
33	38,41	48,58	38,9	32,15	156	149	1	1.0
34	171,270	0,0	246,114	1,0	315	149	1	1.0
36	102,176	6,5	90,54	10,4	152	149	1	1.0
37	2,28	80,98	30,3	181,53	186	149	1	1.0
38	149,262	4,7	171,84	2,2	152	149	1	1.0
39	18,25	15,16	28,4	24,10	169	149	0.733169736309	1.0
43	70,102	293,479	95,40	391,180	236	149	1	1.0
44	96,169	9,6	82,27	9,3	180	149	1	1.0
45	0,2	11,13	8,0	19,9	159	149	0.593434174785	1.0
46	7,12	20,58	15,3	28,13	164	149	1	1.0
47	2,1	40,39	0,0	40,23	166	149	1	1.0
48	11,12	18,34	20,10	24,16	167	149	0.803367468897	1.0
49	142,217	11,9	113,73	13,6	458	149	1	1.0
50	85,105	11,9	34,39	13,6	499	149	0.292291206656	1.0
51	9,8	64,119	4,8	81,38	190	149	1	1.0
53	38,50	1,0	41,10	0,0	162	149	1	1.0
54	31,46	35,39	35,11	24,17	152	149	1	1.0
55	47,62	0,1	27,28	0,0	747	149	1	1.0
56	8,19	1,0	8,8	3,0	243	149	1	1.0
57	17,10	2,0	13,9	4,1	227	149	0.373811558519	1.0
58	8,4	20,35	19,4	18,12	152	149	0.229930712886	1.0
61	47,58	36,35	39,24	28,17	152	149	1	1.0
62	1168,1419	0,0	1759,587	3,0	154	149	1	1.0
63	1,13	1,6	6,3	5,1	297	149	1	1.0
64	26,53	60,67	33,16	49,23	297	149	1	1.0
65	0,0	2,0	0,2	1,0	155	149	1	1.0
68	94,207	4,7	99,66	1,3	164	149	1	1.0
70	231,324	44,58	294,119	35,17	152	149	1	1.0
71	27,51	0,8	20,11	6,0	210	149	1	1.0
74	3,6	3,1	1,2	4,1	158	149	0.230422559496	1.0
75	18,32	5,5	21,8	2,0	152	149	0.47546849656	1.0
76	7,14	1,1	15,6	3,0	211	149	1	1.0
78	23,48	8,13	42,30	29,11	234	149	0.618957515049	1.0
79	115,187	0,0	135,49	1,1	356	149	1	1.0
80	40,56	16,20	81,26	25,15	170	149	1	1.0
82	176,245	12,3	262,111	28,9	298	149	0.961751676553	1.0
83	13,15	50,76	20,2	51,13	152	149	1	1.0
84	5,7	127,162	9,6	103,50	165	149	1	1.0
85	267,380	75,114	239,116	77,35	152	149	1	1.0
86	316,443	119,135	290,124	106,35	152	149	1	1.0
88	131,206	39,52	153,77	27,29	164	149	1	1.0
89	10,10	1,1	8,7	0,0	164	149	1	1.0
90	0,1	65,126	3,7	95,56	317	149	1	1.0
91	7,4	1,11	3,2	3,0	182	149	0.582059094239	1.0
92	23,34	233,395	24,18	261,130	158	149	1	1.0
93	9,8	71,64	14,6	111,40	167	149	1	1.0
94	1342,1631	0,1	1658,579	1,0	153	149	1	1.0
95	133,197	615,1013	140,59	603,300	232	149	1	1.0
97	109,168	23,30	68,52	18,8	230	149	1	1.0
98	11,11	97,160	3,3	139,63	163	149	1	1.0
99	8,14	1,0	4,16	0,0	164	149	1	1.0
100	97,143	126,178	184,83	138,59	156	149	0.365837237082	1.0
101	384,485	5,5	387,158	0,4	288	149	1	1.0
102	3,1	247,424	0,0	329,136	182	149	1	1.0
103	442,636	10,20	559,228	15,15	161	149	1	1.0
105	177,217	1,6	156,58	3,1	172	149	1	1.0
106	32,60	5224,8257	40,16	8105,3552	158	149	1	1.0
107	118,129	1,0	85,47	0,0	284	149	1	1.0
108	10,10	6,5	7,5	1,0	164	149	0.00199116769426	0.26014020287949763
109	2,1	8,26	0,0	8,8	165	149	1	1.0
110	460,580	0,2	363,252	0,0	710	149	1	1.0
111	2,3	6,25	1,0	3,5	152	149	1	1.0
112	22,26	0,1	27,6	0,2	184	149	1	1.0
114	22,20	14,23	15,5	17,1	158	149	1	1.0
115	52,62	2,2	64,31	0,0	184	149	1	1.0
116	85,101	1,3	88,31	0,0	328	149	1	1.0
119	83,147	6,0	106,76	0,1	222	149	1	1.0
120	10,5	45,48	5,2	49,24	170	149	1	1.0
121	1,4	317,399	3,5	511,202	185	149	1	1.0
122	64046,80089	174,204	87204,38266	220,100	170	149	1	1.0
123	65,58	2,6	63,21	3,0	206	149	1	1.0
125	23,49	23,20	9,6	13,8	758	149	0.682460845713	1.0
126	61,84	23,20	35,28	13,8	801	149	1	1.0
128	68,93	24,40	83,48	41,19	353	149	1	1.0
129	75,86	33,59	51,42	56,36	411	149	0.639462454356	1.0
130	16,24	2,0	24,16	5,1	166	149	1	1.0
131	23,33	682,795	30,7	824,280	330	149	1	1.0
133	239,328	15,29	237,104	24,16	484	149	1	1.0
134	30,41	586,654	51,13	683,296	168	149	1	1.0
135	15,9	0,0	9,5	0,2	195	149	1	1.0
136	48,119	27,68	82,20	41,23	154	149	1	1.0
137	9,10	231,256	8,0	229,159	318	149	1	1.0
138	2,5	81,56	1,0	47,22	155	149	1	1.0
139	3,3	6,3	2,0	1,2	152	149	0.309929418348	1.0
140	1054,1634	0,4	1351,649	2,0	177	149	1	1.0
141	0,0	2,0	0,2	0,0	154	149	1	1.0
142	0,0	18,32	0,1	20,13	161	149	1	1.0
143	33,58	186,258	32,24	210,112	321	149	1	1.0
145	45,75	3,8	57,20	3,3	152	149	1	1.0
146	3,6	179,243	4,5	159,56	197	149	1	1.0
147	296,518	107,190	360,192	125,88	209	149	1	1.0
148	3805,5574	3,5	6571,2175	2,1	218	149	1	1.0
149	229,281	34,38	177,62	26,5	171	149	1	1.0
150	14,21	1,2	10,3	3,0	158	149	1	1.0
151	10,12	9,18	16,5	23,7	157	149	1	1.0
153	22,50	2,2	39,25	0,0	437	149	1	1.0
155	18,8	0,2	10,6	6,0	161	149	0.493475368229	1.0
156	299,346	53,74	382,192	84,31	582	149	1	1.0
157	11,17	102,107	26,0	125,62	179	149	1	1.0
158	27,35	0,0	34,7	0,1	158	149	1	1.0
159	2,16	77,75	3,7	67,22	415	149	1	1.0
160	0,2	70,84	0,0	29,35	209	149	1	1.0
161	111,104	0,1	87,19	0,0	158	149	1	1.0
162	39,60	29,37	12,13	16,10	164	149	0.905747338345	1.0
163	51,76	0,0	32,30	0,2	162	149	1	1.0
164	13,27	115,160	16,3	144,50	161	149	1	1.0
165	64,99	11,8	52,29	4,2	210	149	1	1.0
166	238,316	7,22	328,164	17,9	188	149	1	1.0
167	18,46	81,63	21,4	72,32	166	149	0.943009224058	1.0
169	31,66	218,339	31,21	219,132	152	149	1	1.0
170	3,8	82,132	0,2	100,37	298	149	1	1.0
171	43,77	0,0	35,35	2,3	156	149	1	1.0
172	442,720	40,60	377,245	58,42	283	149	1	1.0
173	111,156	17,4	114,34	8,3	152	149	1	1.0
174	2,8	137,249	18,1	197,88	190	149	1	1.0
176	92,123	3,6	75,45	8,4	152	149	1	1.0
